"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco"
"P05","Tiene Decidido que va a ir a votar.",0.909,0.823,0.82,1,0.625,0.93,0.394
"P05","Tiene dudas sobre si va a ir a  votar",0.08,0.099,0.152,0,0.314,0,0.444
"P05","Tiene Decidido que no va a ir a votar",0.011,0.078,0.028,0,0.061,0.07,0.162
"P06","Mucho",0.592,0.398,0.445,0.229,0.54,0.373,0.245
"P06","Bastante",0.263,0.358,0.313,0.438,0.311,0.372,0.01
"P06","Poco",0.082,0.192,0.16,0.026,0.073,0.246,0.388
"P06","Nada",0.054,0.052,0.065,0.039,0.035,0.009,0.303
"P06","No sabe",0.009,0,0.017,0.268,0.041,0,0.054
"P07","Siempre",0.267,0.232,0.25,0.178,0.301,0.458,0.191
"P07","Casi siempre",0.351,0.368,0.274,0.181,0.235,0.219,0.01
"P07","Casi nunca",0.246,0.271,0.315,0.306,0.331,0.229,0.692
"P07","Nunca, pero esta es una excepción",0.136,0.129,0.161,0.335,0.133,0.094,0.107
"P14","Totalmente seguro.",0.817,0.719,0.691,0.643,0.441,0.666,0.49
"P14","Bastante seguro",0.067,0.129,0.123,0.055,0.112,0.138,0.05
"P14","Algo seguro",0.044,0.109,0.113,0.035,0.263,0.042,0.01
"P14","Para nada seguro",0.072,0.043,0.073,0.267,0.184,0.154,0.45
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.147,0.608,0.681,0.253,0.281,0.258,0.172
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.136,0.307,0.15,0.594,0.109,0.42,0.066
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.486,0.043,0.053,0.119,0.305,0.279,0
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.1,0.003,0.034,0,0.027,0,0.403
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.064,0.022,0.007,0.034,0.147,0.043,0.044
"P22","No sabe",0.067,0.017,0.075,0,0.131,0,0.315
"P23","No estaba enterado del tema",0.165,0.23,0.164,0.465,0.122,0.076,0.223
"P23","Un tema de la vida privada de él",0.27,0.075,0.124,0.196,0.198,0.308,0.324
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.487,0.201,0.209,0.101,0.303,0.111,0.079
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.024,0.172,0.107,0.029,0.096,0.303,0.091
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.017,0.306,0.364,0.209,0.247,0.139,0.173
