"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Tiene Decidido que va a ir a votar.",0.882,0.779,0.873,0.597
"P05","Tiene dudas sobre si va a ir a  votar",0.078,0.221,0.127,0.385
"P05","Tiene Decidido que no va a ir a votar",0.04,0,0,0.018
"P06","Mucho",0.559,0.222,0.522,0.28
"P06","Bastante",0.287,0.45,0.272,0.329
"P06","Poco",0.092,0.232,0.157,0.217
"P06","Nada",0.047,0.05,0.014,0.161
"P06","No sabe",0.015,0.046,0.035,0.013
"P07","Siempre",0.283,0.12,0.317,0.133
"P07","Casi siempre",0.31,0.552,0.191,0.211
"P07","Casi nunca",0.276,0.233,0.397,0.349
"P07","Nunca, pero esta es una excepción",0.131,0.095,0.095,0.307
"P11","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.416,0.231,0.171,0.208
"P11","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.17,0.23,0.204,0.082
"P11","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.292,0.367,0.365,0.202
"P11","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.018,0.011,0.007,0.06
"P11","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.052,0.097,0.182,0.168
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.021,0.03,0.01,0.038
"P11","En blanco",0.014,0,0.002,0.102
"P11","No sabe",0.017,0.034,0.059,0.14
"P18","Si",0.486,0.445,0.375,0.428
"P18","No",0.514,0.555,0.625,0.572
"P19","Pablo Todero a Diputado Nacional por Unión por la Patria",0.211,0.119,0.012,0.228
"P19","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.156,0.08,0.077,0.187
"P19","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.169,0.089,0.314,0.069
"P19","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.222,0.424,0.193,0.055
"P19","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.091,0.124,0.121,0.091
"P19","En blanco",0.087,0.035,0,0
"P19","No sabe",0.064,0.129,0.283,0.37
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.438,0.265,0.395,0.466
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.146,0.412,0.266,0.09
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.244,0.195,0.147,0.311
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.064,0.055,0.014,0.013
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.054,0.01,0.026,0.018
"P22","No sabe",0.054,0.063,0.152,0.102
"P23","No estaba enterado del tema",0.168,0.161,0.313,0.111
"P23","Un tema de la vida privada de él",0.165,0.357,0.081,0.203
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.308,0.251,0.304,0.408
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.097,0.08,0.077,0.069
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.227,0.115,0.193,0.209
"P23","No sabe",0.035,0.036,0.032,0
"P24","Ha aumentado significativamente",0.173,0.026,0.06,0.035
"P24","Ha aumentado ligeramente",0.194,0.336,0.246,0.161
"P24","Se mantiene igual",0.282,0.309,0.441,0.138
"P24","Ha disminuido ligeramente",0.152,0.245,0.087,0.161
"P24","Ha disminuido significativamente",0.199,0.084,0.166,0.505
"P25","No, ninguna dificultad",0.435,0.311,0.271,0.197
"P25","Alguna dificultad ocasional",0.296,0.455,0.357,0.26
"P25","Sí, dificultades frecuentes",0.269,0.234,0.372,0.543
"P26","Sí, absolutamente",0.546,0.404,0.445,0.648
"P26","Sí, en cierta medida",0.26,0.406,0.353,0.139
"P26","No, en absoluto",0.194,0.19,0.202,0.213
"P27","Reducir la inflación",0.457,0.369,0.663,0.431
"P27","Implementar reformas fiscales",0.101,0.226,0.037,0.161
"P27","Establecer políticas de control de precios",0.166,0.12,0.042,0.057
"P27","Reducir el gasto público",0.224,0.243,0.216,0.212
"P27","Estimular la inversión extranjera",0.044,0.038,0.006,0.139
"P27","Aumentar los subsidios a los servicios públicos",0.008,0.004,0.036,0
"P28","Muy positiva",0.295,0.138,0.169,0.222
"P28","Positiva",0.208,0.352,0.225,0.211
"P28","Neutral",0.254,0.259,0.413,0.251
"P28","Algo negativa",0.056,0.089,0.106,0.064
"P28","Negativa",0.111,0.025,0.012,0.152
"P28","No sabe",0.076,0.137,0.075,0.1
"P29","Muy positiva",0.413,0.305,0.219,0.413
"P29","Positiva",0.207,0.338,0.284,0.048
"P29","Neutral",0.166,0.265,0.343,0.244
"P29","Algo negativa",0.061,0.054,0.091,0.067
"P29","Negativa",0.127,0.034,0.028,0.135
"P29","No sabe",0.026,0.004,0.035,0.093
"P30","Muy positiva",0.296,0.249,0.175,0.305
"P30","Positiva",0.209,0.304,0.305,0.219
"P30","Neutral",0.223,0.137,0.414,0.118
"P30","Algo negativa",0.085,0.091,0.041,0.153
"P30","Negativa",0.143,0.114,0.004,0.023
"P30","No sabe",0.044,0.105,0.061,0.182
"P31","Muy positiva",0.551,0.484,0.27,0.298
"P31","Positiva",0.138,0.298,0.21,0.233
"P31","Neutral",0.114,0.058,0.436,0.088
"P31","Algo negativa",0.091,0.038,0.074,0.2
"P31","Negativa",0.094,0.122,0.01,0
"P31","No sabe",0.012,0,0,0.181
"P32","Muy positiva",0.503,0.406,0.269,0.343
"P32","Positiva",0.174,0.421,0.22,0.145
"P32","Neutral",0.136,0.112,0.282,0.1
"P32","Algo negativa",0.06,0.034,0.204,0
"P32","Negativa",0.084,0.022,0.01,0.072
"P32","No sabe",0.043,0.005,0.015,0.34
"P33","Muy buena",0.18,0.142,0.272,0.162
"P33","Buena",0.243,0.433,0.068,0.128
"P33","Ni buena ni mala",0.371,0.314,0.49,0.407
"P33","Mala",0.101,0.06,0.097,0.247
"P33","Muy mala",0.087,0.009,0.067,0.01
"P33","No sabe",0.018,0.042,0.006,0.046
"P34","Muy buena",0.12,0.174,0.113,0.107
"P34","Buena",0.228,0.301,0.147,0.377
"P34","Ni buena ni mala",0.297,0.329,0.516,0.102
"P34","Mala",0.169,0.143,0.074,0.348
"P34","Muy mala",0.171,0.035,0.139,0.066
"P34","No sabe",0.015,0.018,0.011,0
"P35","Muy buena",0.071,0.114,0.12,0
