"var","categoria","No estaba enterado del tema","Un tema de la vida privada de él","Un hecho vergonzoso de exclusiva responsabilidad de él","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa","No sabe"
"P05","Tiene Decidido que va a ir a votar.",0.816,0.771,0.901,0.857,0.876,0.744
"P05","Tiene dudas sobre si va a ir a  votar",0.094,0.218,0.099,0.041,0.119,0.226
"P05","Tiene Decidido que no va a ir a votar",0.09,0.011,0,0.102,0.005,0.03
"P06","Mucho",0.475,0.365,0.559,0.46,0.568,0.457
"P06","Bastante",0.222,0.384,0.298,0.384,0.331,0.158
"P06","Poco",0.198,0.155,0.074,0.13,0.081,0.138
"P06","Nada",0.055,0.068,0.059,0.026,0.013,0.101
"P06","No sabe",0.05,0.028,0.01,0,0.007,0.146
"P07","Siempre",0.396,0.196,0.231,0.149,0.279,0.497
"P07","Casi siempre",0.228,0.417,0.311,0.52,0.251,0.253
"P07","Casi nunca",0.261,0.225,0.3,0.231,0.32,0.23
"P07","Nunca, pero esta es una excepción",0.115,0.162,0.158,0.1,0.15,0.02
"P11","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.308,0.524,0.541,0.078,0.022,0.368
"P11","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.212,0.08,0.125,0.362,0.28,0.097
"P11","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.288,0.214,0.205,0.331,0.533,0.311
"P11","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.042,0.017,0.005,0.005,0.016,0
"P11","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.032,0.101,0.094,0.101,0.113,0.101
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.008,0.033,0.007,0.064,0.013,0.038
"P11","En blanco",0.019,0.026,0,0.015,0.012,0.049
"P11","No sabe",0.091,0.005,0.023,0.044,0.011,0.036
"P14","Totalmente seguro.",0.696,0.674,0.734,0.779,0.791,0.79
"P14","Bastante seguro",0.096,0.21,0.086,0.092,0.058,0.118
"P14","Algo seguro",0.167,0.043,0.094,0.08,0.087,0.092
"P14","Para nada seguro",0.041,0.073,0.086,0.049,0.064,0
"P18","Si",0.53,0.301,0.467,0.495,0.456,0.497
"P18","No",0.47,0.699,0.533,0.505,0.544,0.503
"P19","Pablo Todero a Diputado Nacional por Unión por la Patria",0.261,0.253,0.217,0.045,0.044,0.239
"P19","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.229,0.043,0.054,0.351,0.228,0.091
"P19","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.206,0.165,0.096,0.171,0.234,0
"P19","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.185,0.355,0.328,0.128,0.145,0
"P19","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.035,0.184,0.123,0.105,0.067,0.167
"P19","En blanco",0.009,0,0.053,0.118,0.114,0.458
"P19","No sabe",0.075,0,0.129,0.082,0.168,0.045
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.631,0.241,0.226,0.556,0.65,0.093
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.093,0.394,0.111,0.238,0.143,0.379
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.132,0.241,0.449,0.106,0.068,0.084
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.063,0.062,0.082,0,0.031,0.036
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.01,0.055,0.057,0.003,0.058,0.036
"P22","No sabe",0.071,0.007,0.075,0.097,0.05,0.372
"P24","Ha aumentado significativamente",0.236,0.247,0.142,0.027,0.016,0.106
"P24","Ha aumentado ligeramente",0.176,0.363,0.228,0.221,0.103,0.104
"P24","Se mantiene igual",0.275,0.177,0.38,0.269,0.24,0.555
"P24","Ha disminuido ligeramente",0.115,0.145,0.154,0.173,0.19,0.177
"P24","Ha disminuido significativamente",0.198,0.068,0.096,0.31,0.451,0.058
"P25","No, ninguna dificultad",0.439,0.537,0.472,0.276,0.189,0.284
"P25","Alguna dificultad ocasional",0.366,0.305,0.316,0.283,0.281,0.435
"P25","Sí, dificultades frecuentes",0.195,0.158,0.212,0.441,0.53,0.281
"P26","Sí, absolutamente",0.701,0.604,0.623,0.336,0.235,0.775
"P26","Sí, en cierta medida",0.149,0.314,0.276,0.29,0.364,0.133
"P26","No, en absoluto",0.15,0.082,0.101,0.374,0.401,0.092
"P27","Reducir la inflación",0.603,0.472,0.476,0.365,0.392,0.438
"P27","Implementar reformas fiscales",0.079,0.166,0.123,0.175,0.06,0.033
"P27","Establecer políticas de control de precios",0.134,0.181,0.243,0.046,0.03,0.106
"P27","Reducir el gasto público",0.129,0.115,0.114,0.38,0.477,0.152
