"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco"
"P05","Tiene Decidido que va a ir a votar.",0.91,0.832,0.821,0.626,0.931,0.445
"P05","Tiene dudas sobre si va a ir a  votar",0.079,0.094,0.151,0.313,0,0.407
"P05","Tiene Decidido que no va a ir a votar",0.011,0.074,0.028,0.061,0.069,0.148
"P06","Mucho",0.59,0.384,0.442,0.542,0.364,0.249
"P06","Bastante",0.265,0.356,0.317,0.31,0.387,0.069
"P06","Poco",0.08,0.183,0.159,0.072,0.24,0.355
"P06","Nada",0.056,0.049,0.065,0.035,0.009,0.277
"P06","No sabe",0.009,0.028,0.017,0.041,0,0.05
"P07","Siempre",0.266,0.22,0.255,0.3,0.447,0.199
"P07","Casi siempre",0.347,0.356,0.272,0.237,0.238,0.07
"P07","Casi nunca",0.251,0.274,0.313,0.33,0.223,0.633
"P07","Nunca, pero esta es una excepción",0.136,0.15,0.16,0.133,0.092,0.098
"P14","Totalmente seguro.",0.817,0.714,0.687,0.443,0.674,0.51
"P14","Bastante seguro",0.067,0.125,0.122,0.112,0.134,0.069
"P14","Algo seguro",0.045,0.103,0.112,0.262,0.041,0.009
"P14","Para nada seguro",0.071,0.058,0.079,0.183,0.151,0.412
"P18","Si",0.521,0.455,0.433,0.337,0.456,0.768
"P18","No",0.479,0.545,0.567,0.663,0.544,0.232
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.146,0.592,0.684,0.281,0.273,0.149
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.138,0.326,0.149,0.109,0.416,0.177
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.486,0.041,0.053,0.305,0.269,0.016
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.099,0.003,0.034,0.027,0,0.348
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.064,0.021,0.006,0.147,0.042,0.038
"P22","No sabe",0.067,0.017,0.074,0.131,0,0.272
"P23","No estaba enterado del tema",0.164,0.252,0.163,0.122,0.073,0.276
"P23","Un tema de la vida privada de él",0.272,0.075,0.123,0.198,0.308,0.317
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.486,0.193,0.207,0.303,0.107,0.084
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.023,0.166,0.106,0.096,0.316,0.079
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.018,0.298,0.369,0.247,0.135,0.149
"P23","No sabe",0.037,0.016,0.032,0.034,0.061,0.095
"P24","Ha aumentado significativamente",0.225,0.091,0.117,0.014,0.062,0.08
"P24","Ha aumentado ligeramente",0.257,0.207,0.149,0.271,0.249,0.108
"P24","Se mantiene igual",0.344,0.23,0.275,0.305,0.159,0.289
"P24","Ha disminuido ligeramente",0.111,0.2,0.161,0.199,0.329,0.038
"P24","Ha disminuido significativamente",0.063,0.272,0.298,0.211,0.201,0.485
"P25","No, ninguna dificultad",0.562,0.357,0.272,0.276,0.242,0.173
"P25","Alguna dificultad ocasional",0.296,0.37,0.308,0.263,0.219,0.564
"P25","Sí, dificultades frecuentes",0.142,0.273,0.42,0.461,0.539,0.263
"P26","Sí, absolutamente",0.712,0.359,0.398,0.568,0.451,0.844
"P26","Sí, en cierta medida",0.218,0.382,0.277,0.379,0.105,0.038
"P26","No, en absoluto",0.07,0.259,0.325,0.053,0.444,0.118
"P27","Reducir la inflación",0.479,0.39,0.484,0.504,0.669,0.232
"P27","Implementar reformas fiscales",0.114,0.133,0.087,0.155,0.135,0
"P27","Establecer políticas de control de precios",0.279,0.073,0.032,0.098,0,0.598
"P27","Reducir el gasto público",0.063,0.357,0.349,0.153,0.196,0.17
"P27","Estimular la inversión extranjera",0.04,0.047,0.046,0.09,0,0
"P27","Aumentar los subsidios a los servicios públicos",0.025,0,0.002,0,0,0
"P28","Muy positiva",0.4,0.168,0.166,0.231,0.494,0.114
"P28","Positiva",0.243,0.176,0.189,0.32,0.333,0.493
"P28","Neutral",0.192,0.356,0.328,0.237,0.033,0.157
"P28","Algo negativa",0.04,0.094,0.081,0.052,0.041,0
"P28","Negativa",0.044,0.13,0.139,0.09,0.062,0.114
"P28","No sabe",0.081,0.076,0.097,0.07,0.037,0.122
"P29","Muy positiva",0.671,0.175,0.222,0.202,0.572,0.191
"P29","Positiva",0.188,0.206,0.239,0.25,0.078,0.657
"P29","Neutral",0.058,0.26,0.283,0.375,0.174,0
"P29","Algo negativa",0.015,0.133,0.091,0.028,0.042,0
"P29","Negativa",0.043,0.178,0.149,0.108,0.134,0.039
"P29","No sabe",0.025,0.048,0.016,0.037,0,0.113
"P30","Muy positiva",0.471,0.134,0.163,0.233,0.358,0.023
"P30","Positiva",0.276,0.195,0.181,0.201,0.106,0.63
"P30","Neutral",0.122,0.286,0.294,0.373,0.186,0
"P30","Algo negativa",0.034,0.098,0.126,0.136,0.158,0.056
"P30","Negativa",0.053,0.219,0.167,0.005,0.154,0.094
"P30","No sabe",0.044,0.068,0.069,0.052,0.038,0.197
"P31","Muy positiva",0.728,0.242,0.418,0.478,0.564,0.167
"P31","Positiva",0.105,0.237,0.225,0.068,0.119,0.164
"P31","Neutral",0.062,0.199,0.194,0.162,0.026,0.088
"P31","Algo negativa",0.017,0.127,0.08,0.288,0.215,0.434
"P31","Negativa",0.054,0.188,0.072,0.004,0.076,0.038
"P31","No sabe",0.034,0.007,0.011,0,0,0.109
"P32","Muy positiva",0.684,0.331,0.293,0.354,0.551,0.166
"P32","Positiva",0.17,0.237,0.223,0.218,0.12,0.164
"P32","Neutral",0.045,0.235,0.21,0.205,0.145,0
"P32","Algo negativa",0.01,0.1,0.117,0.105,0.058,0
"P32","Negativa",0.036,0.083,0.121,0.004,0.126,0.13
"P32","No sabe",0.055,0.014,0.036,0.114,0,0.54
"P33","Muy buena",0.19,0.148,0.23,0.138,0.088,0.023
"P33","Buena",0.31,0.125,0.169,0.22,0.752,0.627
"P33","Ni buena ni mala",0.362,0.503,0.332,0.364,0.16,0.312
"P33","Mala",0.071,0.116,0.137,0.175,0,0
"P33","Muy mala",0.036,0.077,0.125,0.103,0,0.038
"P33","No sabe",0.031,0.031,0.007,0,0,0
"P34","Muy buena",0.185,0.082,0.086,0.109,0,0.107
"P34","Buena",0.345,0.171,0.17,0.099,0.312,0.117
"P34","Ni buena ni mala",0.317,0.277,0.334,0.247,0.507,0.144
"P34","Mala",0.091,0.224,0.202,0.269,0.181,0.162
"P34","Muy mala",0.055,0.218,0.19,0.27,0,0.47
"P34","No sabe",0.007,0.028,0.018,0.006,0,0
"P35","Muy buena",0.085,0.081,0.054,0.13,0.014,0
"P35","Buena",0.168,0.125,0.117,0.051,0.109,0.026
"P35","Ni buena ni mala",0.359,0.243,0.277,0.116,0.252,0.161
"P35","Mala",0.202,0.306,0.251,0.51,0.262,0.122
"P35","Muy mala",0.176,0.24,0.285,0.193,0.363,0.586
"P35","No sabe",0.01,0.005,0.016,0,0,0.105
"P36","Muy buena",0.118,0.116,0.091,0.125,0.027,0.186
"P36","Buena",0.233,0.237,0.103,0.046,0.244,0
"P36","Ni buena ni mala",0.332,0.31,0.413,0.155,0.332,0.124
"P36","Mala",0.16,0.227,0.162,0.291,0.101,0.104
"P36","Muy mala",0.122,0.088,0.209,0.354,0.296,0.586
"P36","No sabe",0.035,0.022,0.022,0.029,0,0
"P37","Muy buena",0.035,0.07,0.05,0.092,0,0.026
"P37","Buena",0.116,0.063,0.038,0.004,0.084,0
"P37","Ni buena ni mala",0.459,0.162,0.283,0.232,0.226,0.098
"P37","Mala",0.184,0.279,0.239,0.475,0.151,0.771
"P37","Muy mala",0.16,0.397,0.352,0.161,0.262,0.105
"P37","No sabe",0.046,0.029,0.038,0.036,0.277,0
"P38","Muy buena",0.108,0.051,0.033,0.101,0.043,0
"P38","Buena",0.102,0.071,0.024,0.025,0.083,0
"P38","Ni buena ni mala",0.471,0.233,0.314,0.328,0.141,0.088
"P38","Mala",0.14,0.222,0.252,0.25,0.224,0.807
"P38","Muy mala",0.117,0.373,0.321,0.269,0.232,0.105
"P38","No sabe",0.062,0.05,0.056,0.027,0.277,0
"P39","Si",0.339,0.395,0.31,0.38,0.3,0.158
"P39","No",0.661,0.605,0.69,0.62,0.7,0.842
"P11_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.986,0,0,0,0,0
"P11_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0,0.952,0,0,0,0
"P11_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0,0,0.994,0,0,0
"P11_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.014,0.048,0.006,0.003,0.024,0.085
"P11_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0,0,0,0.997,0,0
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0,0.976,0
"P11_imputada","En blanco",0,0,0,0,0,0.915
"P19_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.354,0.108,0.114,0.091,0.144,0.166
"P19_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.085,0.443,0.133,0.043,0.148,0
"P19_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.158,0.114,0.294,0.225,0.378,0.244
"P19_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.276,0.11,0.281,0.299,0.06,0.42
"P19_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.106,0.096,0.07,0.298,0.126,0.042
"P19_imputada","En blanco",0.021,0.129,0.108,0.044,0.144,0.128
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.67,0.057,0.05,0.032,0.062,0.14
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.04,0.711,0.055,0.017,0.09,0
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.08,0.052,0.704,0.087,0.143,0.19
