"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P05","Tiene Decidido que va a ir a votar.",0.917,0.868,0.813,0.945,0.706,0.886,0.78
"P05","Tiene dudas sobre si va a ir a  votar",0.061,0.105,0.152,0.055,0.236,0.047,0.22
"P05","Tiene Decidido que no va a ir a votar",0.022,0.027,0.035,0,0.058,0.067,0
"P06","Mucho",0.563,0.494,0.444,0.444,0.497,0.401,0.567
"P06","Bastante",0.267,0.351,0.321,0.348,0.32,0.295,0.261
"P06","Poco",0.087,0.119,0.16,0.104,0.16,0.203,0.094
"P06","Nada",0.074,0.036,0.05,0.02,0.023,0.054,0.051
"P06","No sabe",0.009,0,0.025,0.084,0,0.047,0.027
"P07","Siempre",0.272,0.226,0.289,0.37,0.137,0.117,0.139
"P07","Casi siempre",0.32,0.408,0.308,0.255,0.349,0.342,0.251
"P07","Casi nunca",0.255,0.239,0.311,0.179,0.304,0.414,0.443
"P07","Nunca, pero esta es una excepción",0.153,0.127,0.092,0.196,0.21,0.127,0.167
"P11","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.896,0.069,0.105,0.385,0.173,0.097,0.127
"P11","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.01,0.823,0.038,0.059,0.073,0.233,0.138
"P11","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.053,0.075,0.821,0.247,0.078,0.289,0.247
"P11","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0,0,0,0.185,0,0,0
"P11","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.008,0.01,0.011,0.074,0.661,0.027,0.104
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.004,0.01,0.011,0.002,0.015,0.26,0
"P11","En blanco",0.005,0,0.013,0.037,0,0.094,0.011
"P11","No sabe",0.024,0.013,0.001,0.011,0,0,0.373
"P14","Totalmente seguro.",0.842,0.731,0.706,0.71,0.612,0.754,0.441
"P14","Bastante seguro",0.054,0.122,0.122,0.164,0.077,0.121,0.101
"P14","Algo seguro",0.04,0.112,0.126,0.064,0.119,0.019,0.262
"P14","Para nada seguro",0.064,0.035,0.046,0.062,0.192,0.106,0.196
"P18","Si",0.322,0.403,0.305,0.921,0.422,0.711,0.804
"P18","No",0.678,0.597,0.695,0.079,0.578,0.289,0.196
"P19","Pablo Todero a Diputado Nacional por Unión por la Patria",1,0,0,0,0,0,0
"P19","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0,1,0,0.003,0,0,0
"P19","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0,0,1,0,0,0,0
"P19","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0,0,0,0.981,0,0,0
"P19","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0,0
"P19","En blanco",0,0,0,0,0,1,0
"P19","No sabe",0,0,0,0.016,0,0,1
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.196,0.611,0.591,0.344,0.264,0.595,0.391
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.129,0.317,0.177,0.181,0.14,0.205,0.104
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.464,0.036,0.106,0.302,0.325,0.136,0.086
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.08,0.004,0.04,0.15,0.046,0.017,0.006
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.053,0.008,0.002,0.006,0.215,0.047,0.092
"P22","No sabe",0.078,0.024,0.084,0.017,0.01,0,0.321
"P23","No estaba enterado del tema",0.156,0.227,0.193,0.216,0.066,0.051,0.256
"P23","Un tema de la vida privada de él",0.273,0.091,0.172,0.197,0.207,0.131,0.016
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.486,0.146,0.189,0.409,0.319,0.159,0.388
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.016,0.202,0.087,0.05,0.147,0.167,0.064
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.029,0.318,0.327,0.128,0.231,0.346,0.243
"P23","No sabe",0.04,0.016,0.032,0,0.03,0.146,0.033
"P24","Ha aumentado significativamente",0.212,0.12,0.114,0.231,0.028,0.062,0.012
"P24","Ha aumentado ligeramente",0.246,0.18,0.181,0.213,0.236,0.224,0.233
"P24","Se mantiene igual",0.319,0.231,0.314,0.251,0.287,0.101,0.48
"P24","Ha disminuido ligeramente",0.148,0.201,0.153,0.105,0.182,0.203,0.1
"P24","Ha disminuido significativamente",0.075,0.268,0.238,0.2,0.267,0.41,0.175
"P25","No, ninguna dificultad",0.553,0.339,0.258,0.586,0.196,0.302,0.367
"P25","Alguna dificultad ocasional",0.304,0.334,0.385,0.205,0.3,0.171,0.385
"P25","Sí, dificultades frecuentes",0.143,0.327,0.357,0.209,0.504,0.527,0.248
"P26","Sí, absolutamente",0.746,0.4,0.378,0.483,0.639,0.387,0.571
"P26","Sí, en cierta medida",0.22,0.344,0.3,0.252,0.343,0.153,0.278
"P26","No, en absoluto",0.034,0.256,0.322,0.265,0.018,0.46,0.151
"P27","Reducir la inflación",0.445,0.402,0.526,0.519,0.467,0.395,0.439
"P27","Implementar reformas fiscales",0.132,0.101,0.11,0.066,0.15,0.113,0.067
"P27","Establecer políticas de control de precios",0.28,0.078,0.021,0.192,0.146,0.048,0.199
"P27","Reducir el gasto público",0.065,0.372,0.284,0.197,0.155,0.437,0.282
"P27","Estimular la inversión extranjera",0.043,0.047,0.059,0.026,0.082,0,0.013
"P27","Aumentar los subsidios a los servicios públicos",0.035,0,0,0,0,0.007,0
"P28","Muy positiva",0.476,0.208,0.159,0.204,0.143,0.243,0.247
"P28","Positiva",0.225,0.17,0.226,0.229,0.337,0.111,0.255
"P28","Neutral",0.122,0.337,0.286,0.471,0.266,0.267,0.251
"P28","Algo negativa",0.032,0.088,0.075,0.029,0.082,0.098,0.106
"P28","Negativa",0.051,0.118,0.175,0.005,0.081,0.21,0.032
"P28","No sabe",0.094,0.079,0.079,0.062,0.091,0.071,0.109
"P29","Muy positiva",0.735,0.221,0.207,0.363,0.215,0.257,0.444
"P29","Positiva",0.124,0.194,0.267,0.371,0.29,0.125,0.151
"P29","Neutral",0.023,0.262,0.285,0.172,0.379,0.19,0.156
"P29","Algo negativa",0.024,0.12,0.101,0.05,0.023,0.027,0.047
"P29","Negativa",0.068,0.165,0.121,0.02,0.093,0.347,0.104
"P29","No sabe",0.026,0.038,0.019,0.024,0,0.054,0.098
"P30","Muy positiva",0.495,0.186,0.19,0.228,0.18,0.177,0.297
"P30","Positiva",0.316,0.212,0.124,0.294,0.25,0.126,0.173
"P30","Neutral",0.077,0.257,0.332,0.265,0.375,0.163,0.144
"P30","Algo negativa",0.026,0.067,0.123,0.101,0.139,0.15,0.108
"P30","Negativa",0.056,0.217,0.149,0.079,0.027,0.315,0.079
"P30","No sabe",0.03,0.061,0.082,0.033,0.029,0.069,0.199
"P31","Muy positiva",0.752,0.252,0.409,0.672,0.388,0.334,0.473
"P31","Positiva",0.082,0.268,0.223,0.07,0.168,0.118,0.26
"P31","Neutral",0.077,0.185,0.222,0.095,0.153,0.079,0.046
"P31","Algo negativa",0.017,0.086,0.083,0.06,0.288,0.242,0.101
"P31","Negativa",0.05,0.201,0.063,0.077,0.003,0.192,0
"P31","No sabe",0.022,0.008,0,0.026,0,0.035,0.12
"P32","Muy positiva",0.704,0.292,0.326,0.639,0.296,0.422,0.343
"P32","Positiva",0.156,0.279,0.198,0.106,0.258,0.113,0.372
"P32","Neutral",0.025,0.249,0.197,0.122,0.203,0.143,0.137
"P32","Algo negativa",0.009,0.052,0.16,0.024,0.113,0.125,0
"P32","Negativa",0.046,0.108,0.097,0.018,0.026,0.163,0.066
"P32","No sabe",0.06,0.02,0.022,0.091,0.104,0.034,0.082
"P33","Muy buena",0.2,0.122,0.231,0.229,0.106,0.047,0.269
"P33","Buena",0.269,0.156,0.188,0.422,0.222,0.267,0.196
"P33","Ni buena ni mala",0.421,0.466,0.309,0.267,0.424,0.304,0.383
"P33","Mala",0.079,0.144,0.14,0.006,0.166,0.08,0.087
"P33","Muy mala",0.024,0.077,0.126,0.021,0.082,0.286,0
"P33","No sabe",0.007,0.035,0.006,0.055,0,0.016,0.065
"P34","Muy buena",0.237,0.055,0.074,0.084,0.036,0.04,0.312
"P34","Buena",0.374,0.164,0.183,0.282,0.119,0.152,0.183
"P34","Ni buena ni mala",0.229,0.25,0.385,0.459,0.255,0.38,0.298
"P34","Mala",0.111,0.248,0.171,0.083,0.298,0.15,0.141
"P34","Muy mala",0.041,0.246,0.176,0.092,0.262,0.278,0.066
"P34","No sabe",0.008,0.037,0.011,0,0.03,0,0
"P35","Muy buena",0.109,0.057,0.064,0.102,0.029,0,0.127
"P35","Buena",0.123,0.12,0.127,0.342,0.015,0.068,0.044
"P35","Ni buena ni mala",0.345,0.238,0.301,0.347,0.131,0.119,0.417
"P35","Mala",0.209,0.335,0.225,0.105,0.556,0.216,0.303
"P35","Muy mala",0.203,0.226,0.278,0.104,0.244,0.597,0.109
"P35","No sabe",0.011,0.024,0.005,0,0.025,0,0
"P36","Muy buena",0.15,0.063,0.111,0.167,0.015,0.035,0.169
"P36","Buena",0.169,0.207,0.077,0.426,0.062,0.26,0.127
"P36","Ni buena ni mala",0.355,0.321,0.422,0.2,0.233,0.214,0.482
"P36","Mala",0.176,0.25,0.165,0.091,0.291,0.148,0.121
"P36","Muy mala",0.114,0.127,0.204,0.116,0.35,0.334,0.075
"P36","No sabe",0.036,0.032,0.021,0,0.049,0.009,0.026
"P37","Muy buena",0.054,0.008,0.069,0.08,0,0.019,0.143
"P37","Buena",0.086,0.095,0.062,0.104,0.021,0.038,0.015
"P37","Ni buena ni mala",0.433,0.164,0.228,0.545,0.188,0.178,0.463
"P37","Mala",0.21,0.295,0.237,0.199,0.547,0.119,0.088
"P37","Muy mala",0.179,0.399,0.373,0.072,0.19,0.511,0.156
"P37","No sabe",0.038,0.039,0.031,0,0.054,0.135,0.135
"P38","Muy buena",0.17,0.022,0.031,0.018,0.037,0.019,0.128
"P38","Buena",0.108,0.099,0.037,0,0.046,0.093,0.016
"P38","Ni buena ni mala",0.413,0.207,0.271,0.649,0.358,0.134,0.38
"P38","Mala",0.137,0.221,0.287,0.206,0.271,0.128,0.205
"P38","Muy mala",0.112,0.386,0.336,0.104,0.242,0.491,0.124
"P38","No sabe",0.06,0.065,0.038,0.023,0.046,0.135,0.147
"P39","Si",0.392,0.326,0.275,0.442,0.381,0.229,0.24
"P39","No",0.608,0.674,0.725,0.558,0.619,0.771,0.76
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.896,0.069,0.104,0.429,0.173,0.097,0.127
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.01,0.823,0.039,0.142,0.073,0.233,0.138
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.075,0.821,0.27,0.078,0.289,0.247
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.01,0.011,0.077,0.661,0.027,0.104
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.004,0.01,0.011,0.004,0.015,0.26,0
"PRESIDENTE","En blanco",0.005,0,0.013,0.056,0,0.094,0.011
"PRESIDENTE","No sabe",0.024,0.013,0.001,0.022,0,0,0.373
"CORTA_DIPUTADOS","Si",0.113,0.175,0.169,0.903,0.316,0.646,0.608
"CORTA_DIPUTADOS","No",0.887,0.825,0.831,0.097,0.684,0.354,0.392
