"var","categoria","Positiva","Negativa","No sabe"
"P07","Inflación",0.12,0.314,0.05
"P07","Inseguridad",0.181,0.11,0.025
"P07","Pandemia",0.23,0.117,0
"P07","Educación",0.186,0.05,0
"P07","Transporte público",0.042,0,0.23
"P07","Desempleo",0.123,0.183,0.142
"P07","Corrupción",0.018,0.178,0
"P07","Vivienda",0.031,0.026,0.096
"P07","Otros",0.03,0.022,0.048
"P07","No sabe",0.039,0,0.409
"P08","Gerardo Zamora",0.623,0.418,0.353
"P08","Pablo Mirolo",0.143,0.16,0
"P08","Rodrigo Posse",0,0.005,0
"P08","Natalia Neme",0,0.058,0
"P08","Emilio Rached",0.084,0.008,0
"P08","Marcelo Lugones",0,0.136,0.132
"P08","No sabe",0.15,0.215,0.515
"P09","Gerardo Zamora",0.44,0.371,0.303
"P09","Pablo Mirolo",0.333,0.248,0.05
"P09","Rodrigo Posse",0,0.071,0
"P09","Natalia Neme",0,0.027,0
"P09","Emilio Rached",0,0.045,0
"P09","Marcelo Lugones",0.084,0.07,0.132
"P09","No sabe",0.143,0.168,0.515
"P10","A los candidatos del Frente Cívico por Santiago",0.671,0.4,0.378
"P10","A los candidatos del Frente de Todos",0.104,0.122,0
"P10","A los candidatos de Cambiemos",0,0.197,0
"P10","A otros candidatos",0.007,0.046,0
"P10","No sabe",0.218,0.235,0.622
"P11","Positiva",0.523,0.239,0.274
"P11","Negativa",0.332,0.719,0.395
"P11","No sabe",0.145,0.042,0.331
"P12","Positiva",0.839,0.441,0.167
"P12","Negativa",0.14,0.506,0.23
"P12","No sabe",0.021,0.053,0.603
"P15","Positiva",0.622,0.376,0.345
"P15","Negativa",0.353,0.593,0
"P15","No sabe",0.025,0.031,0.655
"P16","Positiva",0.859,0.51,0.322
"P16","Negativa",0.114,0.44,0
"P16","No sabe",0.027,0.05,0.678
"P17","Positiva",0.692,0.114,0.124
"P17","Negativa",0.202,0.877,0.09
"P17","No sabe",0.106,0.009,0.786
"P19","Positiva",0.12,0.233,0
"P19","Neutra",0.438,0.24,0.316
"P19","Negativa",0.371,0.527,0.238
"P19","No sabe",0.071,0,0.446
"P20","Positiva",0.595,0.408,0.373
"P20","Neutra",0.214,0.289,0.142
"P20","Negativa",0.184,0.303,0.485
"P20","No sabe",0.007,0,0
"P21","Positiva",0.489,0.322,0.373
"P21","Neutra",0.166,0.278,0.142
"P21","Negativa",0.311,0.396,0.04
"P21","No sabe",0.034,0.004,0.445
"P22","Positiva",0.187,0.166,0
"P22","Neutra",0.506,0.316,0.079
"P22","Negativa",0.087,0.244,0.048
"P22","No sabe",0.22,0.274,0.873
"P23","Positiva",0.499,0.207,0.229
"P23","Neutra",0.311,0.34,0.481
"P23","Negativa",0.069,0.385,0.098
"P23","No sabe",0.121,0.068,0.192
"P24","Positiva",0.234,0.274,0.098
"P24","Neutra",0.403,0.27,0.073
"P24","Negativa",0.148,0.223,0.097
"P24","No sabe",0.215,0.233,0.732
"P25","Positiva",0.299,0.202,0
"P25","Neutra",0.443,0.339,0.132
"P25","Negativa",0.14,0.222,0.086
"P25","No sabe",0.118,0.237,0.782
"P26","Positiva",0.759,0.431,0.051
"P26","Neutra",0.209,0.355,0.416
"P26","Negativa",0.032,0.11,0.086
"P26","No sabe",0,0.104,0.447
"P27","Positiva",0.441,0.047,0
"P27","Neutra",0.437,0.274,0.414
"P27","Negativa",0.102,0.559,0
"P27","No sabe",0.02,0.12,0.586
"P28","Positiva",0.26,0.06,0
"P28","Neutra",0.327,0.278,0.086
"P28","Negativa",0.068,0.125,0.051
"P28","No sabe",0.345,0.537,0.863
"P29","Positiva",0.36,0.067,0
"P29","Neutra",0.302,0.319,0.217
"P29","Negativa",0.077,0.061,0
"P29","No sabe",0.261,0.553,0.783
"P30","Positiva",0.282,0.127,0
"P30","Neutra",0.464,0.256,0.213
"P30","Negativa",0.113,0.204,0
"P30","No sabe",0.141,0.413,0.787
"P31","Positiva",0.296,0.217,0.08
"P31","Neutra",0.386,0.318,0.136
"P31","Negativa",0.107,0.089,0
"P31","No sabe",0.211,0.376,0.784
"P32","Positiva",0.314,0.156,0
"P32","Neutra",0.332,0.175,0.216
"P32","Negativa",0.055,0.109,0
"P32","No sabe",0.299,0.56,0.784
"P33","Positiva",0.562,0.446,0.082
"P33","Neutra",0.162,0.279,0
"P33","Negativa",0.227,0.19,0.134
"P33","No sabe",0.049,0.085,0.784
"P34","Positiva",0.754,0.749,0.717
"P34","Neutra",0.146,0.123,0.082
"P34","Negativa",0.055,0.07,0
"P34","No sabe",0.045,0.058,0.201
"P35","Positiva",0.343,0.28,0
"P35","Neutra",0.511,0.265,0.335
"P35","Negativa",0.055,0.129,0
"P35","No sabe",0.091,0.326,0.665
