"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Santiago del Estero","La Banda","Resto"
"Inflación",0.327,0.361,0.294,0.245,0.433,0.338,0.183,0.261,0.332,0.484,0.332,0.174,0.348
"Inseguridad",0.129,0.138,0.121,0.101,0.113,0.174,0.188,0.165,0.094,0.094,0.151,0.081,0.125
"Pandemia",0.122,0.139,0.105,0.162,0.051,0.107,0.269,0.126,0.146,0.072,0.157,0.121,0.102
"Educación",0.072,0.054,0.089,0.076,0.078,0.063,0.056,0.082,0.051,0.08,0.072,0.126,0.063
"Transporte público",0.017,0.022,0.013,0.017,0.022,0.019,0,0.013,0.025,0.016,0.012,0.085,0.01
"Desempleo",0.119,0.086,0.15,0.149,0.141,0.05,0.079,0.148,0.095,0.083,0.092,0.186,0.123
"Corrupción",0.103,0.101,0.105,0.076,0.074,0.17,0.164,0.058,0.161,0.126,0.071,0.027,0.133
"Vivienda",0.042,0.022,0.061,0.057,0.039,0.04,0.009,0.061,0.027,0.016,0.021,0.044,0.053
"Otros",0.025,0.03,0.022,0.024,0.025,0.031,0.022,0.015,0.041,0.027,0.049,0.015,0.014
"No sabe",0.044,0.047,0.04,0.093,0.024,0.008,0.03,0.071,0.028,0.002,0.043,0.141,0.029
