"var","categoria","Positiva","Negativa","No sabe"
"P07","Inflación",0.277,0.359,0.235
"P07","Inseguridad",0.104,0.095,0.111
"P07","Pandemia",0.195,0.08,0.032
"P07","Educación",0.078,0.076,0.067
"P07","Transporte público",0.004,0.057,0.032
"P07","Desempleo",0.172,0.079,0
"P07","Corrupción",0.02,0.22,0.111
"P07","Vivienda",0.037,0.006,0.069
"P07","Otros",0.063,0.028,0.183
"P07","No sabe",0.05,0,0.16
"P08","Gerardo Zamora",0.767,0.208,0.332
"P08","Pablo Mirolo",0.016,0.112,0.077
"P08","Rodrigo Posse",0.016,0.1,0
"P08","Natalia Neme",0.006,0.095,0.158
"P08","Emilio Rached",0.004,0.111,0.057
"P08","Marcelo Lugones",0.019,0.119,0
"P08","No sabe",0.172,0.255,0.376
"P09","Gerardo Zamora",0.546,0.159,0.505
"P09","Pablo Mirolo",0.1,0.102,0.146
"P09","Rodrigo Posse",0.047,0.104,0
"P09","Natalia Neme",0.012,0.131,0.014
"P09","Emilio Rached",0.023,0.096,0.023
"P09","Marcelo Lugones",0.052,0.066,0.025
"P09","No sabe",0.22,0.342,0.287
"P10","A los candidatos del Frente Cívico por Santiago",0.668,0.253,0.371
"P10","A los candidatos del Frente de Todos",0.073,0.117,0
"P10","A los candidatos de Cambiemos",0.058,0.361,0.156
"P10","A otros candidatos",0.028,0.106,0.172
"P10","No sabe",0.173,0.163,0.301
"P11","Positiva",0.522,0.076,0.275
"P11","Negativa",0.374,0.873,0.591
"P11","No sabe",0.104,0.051,0.134
"P12","Positiva",0.767,0.045,0.203
"P12","Negativa",0.132,0.9,0.119
"P12","No sabe",0.101,0.055,0.678
"P15","Positiva",0.782,0.183,0.304
"P15","Negativa",0.173,0.776,0.24
"P15","No sabe",0.045,0.041,0.456
"P16","Positiva",0.897,0.309,0.595
"P16","Negativa",0.047,0.675,0.032
"P16","No sabe",0.056,0.016,0.373
"P19","Positiva",0.115,0.384,0.153
"P19","Neutra",0.233,0.243,0.181
"P19","Negativa",0.588,0.355,0.447
"P19","No sabe",0.064,0.018,0.219
"P20","Positiva",0.662,0.184,0.232
"P20","Neutra",0.202,0.176,0.4
"P20","Negativa",0.101,0.604,0.217
"P20","No sabe",0.035,0.036,0.151
"P21","Positiva",0.629,0.221,0.56
"P21","Neutra",0.136,0.157,0.031
"P21","Negativa",0.207,0.589,0.339
"P21","No sabe",0.028,0.033,0.07
"P22","Positiva",0.282,0.559,0.151
"P22","Neutra",0.309,0.147,0.292
"P22","Negativa",0.207,0.189,0.077
"P22","No sabe",0.202,0.105,0.48
"P23","Positiva",0.269,0.175,0.101
"P23","Neutra",0.358,0.176,0.218
"P23","Negativa",0.156,0.565,0.166
"P23","No sabe",0.217,0.084,0.515
"P24","Positiva",0.105,0.518,0.104
"P24","Neutra",0.305,0.085,0.159
"P24","Negativa",0.387,0.267,0.186
"P24","No sabe",0.203,0.13,0.551
"P25","Positiva",0.126,0.419,0.31
"P25","Neutra",0.367,0.206,0.114
"P25","Negativa",0.34,0.248,0.096
"P25","No sabe",0.167,0.127,0.48
"P26","Positiva",0.806,0.312,0.648
"P26","Neutra",0.127,0.244,0.176
"P26","Negativa",0.053,0.408,0.055
"P26","No sabe",0.014,0.036,0.121
"P27","Positiva",0.416,0.277,0.098
"P27","Neutra",0.315,0.432,0.321
"P27","Negativa",0.096,0.144,0.127
"P27","No sabe",0.173,0.147,0.454
"P28","Positiva",0.051,0.195,0.059
"P28","Neutra",0.39,0.357,0.161
"P28","Negativa",0.156,0.236,0.089
"P28","No sabe",0.403,0.212,0.691
"P29","Positiva",0.095,0.26,0.074
"P29","Neutra",0.385,0.37,0.311
"P29","Negativa",0.205,0.173,0.033
"P29","No sabe",0.315,0.197,0.582
"P30","Positiva",0.224,0.281,0.176
"P30","Neutra",0.33,0.283,0.195
"P30","Negativa",0.191,0.258,0.084
"P30","No sabe",0.255,0.178,0.545
"P31","Positiva",0.164,0.307,0.126
"P31","Neutra",0.415,0.382,0.154
"P31","Negativa",0.101,0.105,0.035
"P31","No sabe",0.32,0.206,0.685
"P32","Positiva",0.09,0.22,0.123
"P32","Neutra",0.406,0.409,0.168
"P32","Negativa",0.091,0.112,0.079
"P32","No sabe",0.413,0.259,0.63
"P33","Positiva",0.133,0.151,0.092
"P33","Neutra",0.313,0.386,0.258
"P33","Negativa",0.377,0.305,0.257
"P33","No sabe",0.177,0.158,0.393
"P34","Positiva",0.789,0.257,0.404
"P34","Neutra",0.089,0.226,0.21
"P34","Negativa",0.039,0.478,0.181
"P34","No sabe",0.083,0.039,0.205
"P35","Positiva",0.541,0.093,0.116
"P35","Neutra",0.281,0.192,0.331
"P35","Negativa",0.06,0.553,0.021
"P35","No sabe",0.118,0.162,0.532
