"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Santiago del Estero","La Banda","Resto"
"Claudia Zamora","Positiva",0.596,0.562,0.626,0.581,0.596,0.643,0.545,0.69,0.59,0.403,0.682,0.791,0.519
"Claudia Zamora","Neutra",0.136,0.126,0.145,0.151,0.117,0.122,0.19,0.059,0.165,0.254,0.127,0.121,0.144
"Claudia Zamora","Negativa",0.192,0.234,0.154,0.231,0.207,0.151,0.113,0.16,0.161,0.311,0.136,0.035,0.246
"Claudia Zamora","No sabe",0.076,0.078,0.075,0.037,0.08,0.084,0.152,0.091,0.084,0.032,0.055,0.053,0.091
"Gerardo Zamora","Positiva",0.582,0.53,0.632,0.564,0.564,0.642,0.586,0.638,0.601,0.431,0.649,0.66,0.534
"Gerardo Zamora","Neutra",0.189,0.222,0.159,0.166,0.185,0.201,0.248,0.214,0.185,0.145,0.195,0.252,0.177
"Gerardo Zamora","Negativa",0.202,0.227,0.177,0.223,0.225,0.148,0.161,0.138,0.203,0.336,0.132,0.054,0.262
"Gerardo Zamora","No sabe",0.027,0.021,0.032,0.047,0.026,0.009,0.005,0.01,0.011,0.088,0.024,0.034,0.027
"Marcelo Lugones","Positiva",0.183,0.139,0.226,0.093,0.162,0.337,0.218,0.193,0.171,0.181,0.218,0.226,0.159
"Marcelo Lugones","Neutra",0.379,0.424,0.336,0.306,0.412,0.299,0.608,0.301,0.452,0.429,0.349,0.336,0.401
"Marcelo Lugones","Negativa",0.089,0.121,0.057,0.136,0.073,0.072,0.043,0.054,0.097,0.149,0.098,0.086,0.084
"Marcelo Lugones","No sabe",0.349,0.316,0.381,0.465,0.353,0.292,0.131,0.452,0.28,0.241,0.335,0.352,0.356
"Pablo Mirolo","Positiva",0.28,0.228,0.33,0.279,0.277,0.22,0.404,0.286,0.334,0.183,0.341,0.338,0.237
"Pablo Mirolo","Neutra",0.385,0.444,0.329,0.404,0.359,0.448,0.307,0.406,0.359,0.383,0.391,0.304,0.395
