clave	texto
encuesta_especial	Informe Diario Nacional
bajada_encuesta_especial	Encuesta Contínua
bajada_encuesta_especial_fecha	Fecha Nº 5
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	República Argentina
ficha_Estratificación	Cinco estratos regionales (NEA, NOA, Cuyo, Centro y Patagonia) y Cordones I,II y III de la RMBA e interior PBA.
ficha_Técnicas de recolección de información	ES - Encuesta Contínua Automática (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Probabilística, aleatoria simple
ficha_Tamaño muestral	El tamaño del corte actual es de 3.686 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 1.61 %

