"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P07","Si",0.913,0.845,0.777,0.925,0.784,0.843,0.734,0.389
"P07","Puede ser",0.059,0.107,0.135,0.051,0.172,0.135,0.235,0.257
"P07","No",0.028,0.048,0.088,0.024,0.044,0.022,0.031,0.354
"P23","Si",0.892,0.852,0.866,0.503,0.946,0.852,0.638,0.757
"P23","No",0.108,0.148,0.134,0.497,0.054,0.148,0.362,0.243
"P24","Inflación",0.315,0.18,0.134,0.352,0.097,0.084,0.107,0.173
"P24","Desempleo",0.214,0.05,0.12,0.084,0.205,0.079,0.161,0.073
"P24","Corrupción",0.061,0.47,0.444,0.332,0.365,0.59,0.354,0.239
"P24","Precio del dólar",0.092,0.027,0.035,0.032,0,0.005,0.048,0.014
"P24","Inseguridad",0.109,0.124,0.161,0.104,0.179,0.07,0.142,0.115
"P24","Pobreza",0.101,0.083,0.031,0.057,0.101,0.108,0.077,0.144
"P24","Narcotráfico",0.006,0.006,0,0,0,0.006,0,0.002
"P24","Tarifas",0.033,0.023,0,0,0.012,0,0.005,0.025
"P24","Otro",0.06,0.02,0.072,0.008,0.041,0,0.038,0.201
"P24","No sabe",0.009,0.017,0.003,0.031,0,0.058,0.068,0.014
"P30","Gran excedente habitual",0.002,0.024,0.003,0,0,0.017,0,0.008
"P30","Gran excedente excepcional",0.001,0.004,0.005,0.005,0,0,0,0
"P30","Pequeño excedente habitual",0.063,0.031,0.015,0.008,0.038,0.033,0.025,0.006
"P30","Pequeño excedente excepcional",0.068,0.058,0.024,0.016,0.058,0.027,0.005,0.043
"P30","Alcanza gastos familia",0.228,0.137,0.129,0.219,0.024,0.069,0.043,0.079
"P30","No alcanza gastos familia",0.168,0.15,0.252,0.216,0.06,0.14,0.196,0.098
"P30","Solo NBFamiliares",0.187,0.266,0.182,0.259,0.079,0.227,0.247,0.279
"P30","No alcanza NBFamiliares",0.273,0.327,0.349,0.269,0.728,0.41,0.403,0.419
"P30","No sabe",0.01,0.003,0.041,0.008,0.013,0.077,0.081,0.068
"P33","Mejor",0.4,0.03,0.019,0.085,0.195,0.1,0.089,0.05
"P33","Igual",0.248,0.184,0.235,0.214,0.081,0.073,0.187,0.161
"P33","Peor",0.164,0.678,0.734,0.505,0.514,0.792,0.484,0.529
"P33","No sabe",0.188,0.108,0.012,0.196,0.21,0.035,0.24,0.26
"P36","Mejor",0.551,0.007,0.028,0.073,0.245,0.007,0.048,0.064
"P36","Igual",0.203,0.074,0.12,0.187,0.129,0.107,0.201,0.288
"P36","Peor",0.151,0.86,0.845,0.673,0.612,0.883,0.52,0.577
"P36","No sabe",0.095,0.059,0.007,0.067,0.014,0.003,0.231,0.071
"P42","Muy buena",0.401,0.017,0.056,0.077,0,0.003,0.047,0.063
"P42","Buena",0.345,0.015,0.014,0.037,0.031,0,0.165,0.124
"P42","Ni buena ni mala",0.143,0.041,0.072,0.037,0.153,0.091,0.117,0.204
