"var","categoria","Muy seguro","Algo seguro","Seguro","Algo inseguro","Inseguro","Muy inseguro"
"P04","Gran excedente habitual",0.047,0.009,0.02,0.011,0.004,0.012
"P04","Gran excedente excepcional",0.007,0.006,0.004,0.001,0.004,0.003
"P04","Pequeño excedente habitual",0.077,0.033,0.091,0.036,0.038,0.01
"P04","Pequeño excedente excepcional",0.088,0.044,0.062,0.039,0.028,0.034
"P04","Alcanza gastos familia",0.177,0.147,0.152,0.149,0.104,0.033
"P04","No alcanza gastos familia",0.113,0.189,0.149,0.135,0.166,0.174
"P04","Solo NBFamiliares",0.216,0.264,0.257,0.322,0.239,0.181
"P04","No alcanza NBFamiliares",0.257,0.296,0.238,0.289,0.397,0.539
"P04","No sabe",0.018,0.012,0.027,0.018,0.02,0.014
"P05","Si",0.124,0.122,0.107,0.196,0.273,0.457
"P05","No",0.876,0.878,0.893,0.804,0.727,0.543
"P06","Robo en vivienda, en su presencia",0.538,0.274,0.131,0.205,0.22,0.382
"P06","Robo en vivienda, en su ausencia",0.126,0.216,0.137,0.267,0.263,0.267
"P06","Robo de auto",0.056,0.025,0.13,0.046,0.103,0.05
"P06","Robo de moto",0,0.021,0.008,0.025,0.057,0.03
"P06","Robo de bicicleta",0.053,0.098,0.201,0.077,0.043,0.065
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.056,0.073,0.052,0.146,0.104,0.094
"P06","Otro tipo de delito a la propiedad",0.171,0.293,0.341,0.234,0.21,0.112
"P07","Muy seguro",0.565,0.099,0.108,0.019,0.038,0.04
"P07","Algo seguro",0.229,0.585,0.296,0.2,0.113,0.063
"P07","Seguro",0.093,0.133,0.427,0.106,0.038,0.007
"P07","Algo inseguro",0.041,0.116,0.131,0.528,0.261,0.059
"P07","Inseguro",0.041,0.048,0.026,0.123,0.461,0.242
"P07","Muy inseguro",0.031,0.019,0.012,0.024,0.089,0.589
"P08","Han aumentado en el último mes",0.29,0.319,0.234,0.458,0.613,0.675
"P08","Han disminuido en el ultimo mes",0.108,0.119,0.064,0.061,0.049,0.046
"P08","Se mantienen igual que el mes anterior",0.382,0.398,0.509,0.339,0.23,0.217
"P08","No sabe",0.22,0.164,0.193,0.142,0.108,0.062
"P09","Si",0.166,0.083,0.086,0.102,0.269,0.443
"P09","No",0.834,0.917,0.914,0.898,0.731,0.557
"P10","Hurto",0.797,0.315,0.368,0.425,0.322,0.326
"P10","Robo con violencia",0.023,0.437,0.138,0.174,0.222,0.399
"P10","Agresión física",0.005,0.043,0.094,0.018,0.093,0.09
"P10","Acoso verbal o intimidación",0.02,0.097,0.144,0.291,0.071,0.034
"P10","Otros delitos en la vía pública",0.155,0.108,0.256,0.092,0.292,0.151
"P12","Han aumentado en el último mes",0.276,0.294,0.206,0.41,0.569,0.758
"P12","Han disminuido en el último mes",0.118,0.134,0.053,0.02,0.042,0.009
"P12","Se mantienen igual que el mes anterior",0.436,0.394,0.52,0.366,0.271,0.191
"P12","No sabe",0.17,0.178,0.221,0.204,0.118,0.042
"P13","Mayor presencia de policía en las calles",0.324,0.262,0.192,0.214,0.202,0.227
"P13","Presencia de Gendarmería en las calles",0.108,0.141,0.116,0.169,0.241,0.271
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.159,0.162,0.142,0.083,0.046,0.031
"P13","Más iluminación en espacios públicos",0.116,0.122,0.095,0.085,0.027,0.042
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.077,0.067,0.108,0.089,0.058,0.031
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.039,0.058,0.037,0.075,0.076,0.04
"P13","Todas las anteriores",0.088,0.153,0.223,0.212,0.284,0.305
"P13","No sabe",0.089,0.035,0.087,0.073,0.066,0.053
"P14","Mayor presencia de policía en las calles",0.317,0.244,0.187,0.228,0.216,0.293
"P14","Presencia de Gendarmería en las calles",0.158,0.176,0.158,0.15,0.164,0.166
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.118,0.124,0.151,0.104,0.086,0.045
"P14","Más iluminación en espacios públicos",0.104,0.106,0.113,0.068,0.048,0.024
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.088,0.073,0.061,0.07,0.033,0.024
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.051,0.049,0.058,0.071,0.043,0.03
"P14","Todas las anteriores",0.065,0.137,0.152,0.222,0.334,0.35
"P14","No sabe",0.099,0.091,0.12,0.087,0.076,0.068
"P15","El Gobierno Nacional",0.152,0.133,0.073,0.106,0.132,0.135
"P15","El Gobierno Provincial",0.28,0.3,0.253,0.243,0.215,0.201
"P15","El Municipio",0.203,0.202,0.237,0.175,0.123,0.096
"P15","Todos los niveles de gobierno son igualmente responsables",0.275,0.322,0.402,0.437,0.5,0.552
"P15","No sabe",0.09,0.043,0.035,0.039,0.03,0.016
