"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P05","Si",0.26,0.107,0.088,0.114,0.113,0.182,0.16,0.338,0.146
"P05","No",0.74,0.893,0.912,0.886,0.887,0.818,0.84,0.662,0.854
"P06","Robo en vivienda, en su presencia",0.448,0.174,0.246,0.17,0.226,0.286,0.177,0.343,0.206
"P06","Robo en vivienda, en su ausencia",0.025,0.14,0.21,0.227,0.182,0.182,0.251,0.225,0.513
"P06","Robo de auto",0.173,0.448,0.079,0.031,0.099,0.068,0.082,0.061,0.138
"P06","Robo de moto",0,0,0,0,0.027,0.024,0.023,0.043,0
"P06","Robo de bicicleta",0,0,0.086,0.084,0.086,0.038,0.084,0.083,0
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.027,0.082,0.13,0.237,0.129,0.174,0.103,0.067,0
"P06","Otro tipo de delito a la propiedad",0.327,0.156,0.249,0.251,0.251,0.228,0.28,0.178,0.143
"P07","Muy seguro",0.398,0.229,0.19,0.165,0.161,0.098,0.091,0.104,0.072
"P07","Algo seguro",0.249,0.312,0.325,0.34,0.292,0.33,0.321,0.267,0.253
"P07","Seguro",0.123,0.234,0.222,0.149,0.171,0.154,0.123,0.081,0.22
"P07","Algo inseguro",0.092,0.128,0.145,0.174,0.263,0.175,0.257,0.208,0.259
"P07","Inseguro",0.077,0.091,0.068,0.127,0.088,0.17,0.137,0.192,0.141
"P07","Muy inseguro",0.061,0.006,0.05,0.045,0.025,0.073,0.071,0.148,0.055
"P08","Han aumentado en el último mes",0.328,0.237,0.23,0.254,0.292,0.387,0.415,0.55,0.269
"P08","Han disminuido en el ultimo mes",0.079,0.08,0.085,0.082,0.075,0.071,0.09,0.071,0.154
"P08","Se mantienen igual que el mes anterior",0.457,0.639,0.477,0.492,0.457,0.379,0.346,0.251,0.244
"P08","No sabe",0.136,0.044,0.208,0.172,0.176,0.163,0.149,0.128,0.333
"P09","Si",0.248,0.067,0.032,0.12,0.09,0.162,0.14,0.273,0.111
"P09","No",0.752,0.933,0.968,0.88,0.91,0.838,0.86,0.727,0.889
"P10","Hurto",0.215,0,0.462,0.238,0.541,0.34,0.461,0.39,0.52
"P10","Robo con violencia",0.014,0.89,0.117,0.346,0.13,0.252,0.163,0.304,0.245
"P10","Agresión física",0,0,0.226,0,0.029,0.098,0.017,0.08,0
"P10","Acoso verbal o intimidación",0.175,0.11,0,0.126,0.182,0.078,0.148,0.072,0.176
"P10","Otros delitos en la vía pública",0.596,0,0.195,0.29,0.118,0.232,0.211,0.154,0.059
"P11","Muy seguro",0.364,0.195,0.187,0.208,0.144,0.079,0.091,0.088,0.114
"P11","Algo seguro",0.165,0.4,0.202,0.262,0.303,0.331,0.281,0.256,0.189
"P11","Seguro",0.181,0.131,0.265,0.175,0.149,0.125,0.13,0.098,0.199
"P11","Algo inseguro",0.179,0.06,0.185,0.192,0.254,0.196,0.285,0.208,0.236
"P11","Inseguro",0.044,0.145,0.142,0.102,0.129,0.176,0.154,0.208,0.194
"P11","Muy inseguro",0.067,0.069,0.019,0.061,0.021,0.093,0.059,0.142,0.068
"P12","Han aumentado en el último mes",0.272,0.325,0.202,0.233,0.268,0.367,0.389,0.514,0.379
"P12","Han disminuido en el último mes",0.079,0.054,0.078,0.069,0.079,0.068,0.083,0.051,0.16
"P12","Se mantienen igual que el mes anterior",0.377,0.531,0.532,0.483,0.457,0.375,0.363,0.303,0.285
"P12","No sabe",0.272,0.09,0.188,0.215,0.196,0.19,0.165,0.132,0.176
"P13","Mayor presencia de policía en las calles",0.108,0.083,0.265,0.21,0.21,0.193,0.253,0.266,0.144
"P13","Presencia de Gendarmería en las calles",0.095,0.089,0.062,0.097,0.113,0.153,0.145,0.25,0.102
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.094,0.177,0.122,0.073,0.119,0.146,0.102,0.105,0.055
"P13","Más iluminación en espacios públicos",0.118,0.019,0.082,0.142,0.116,0.088,0.093,0.064,0.026
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.092,0.072,0.132,0.105,0.107,0.075,0.07,0.047,0.111
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.095,0.09,0.044,0.046,0.067,0.083,0.045,0.055,0.08
"P13","Todas las anteriores",0.189,0.389,0.258,0.228,0.222,0.19,0.238,0.153,0.318
"P13","No sabe",0.209,0.081,0.035,0.099,0.046,0.072,0.054,0.06,0.164
"P14","Mayor presencia de policía en las calles",0.346,0.111,0.249,0.228,0.212,0.195,0.243,0.274,0.133
"P14","Presencia de Gendarmería en las calles",0.166,0.104,0.132,0.162,0.173,0.186,0.151,0.164,0.117
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.051,0.019,0.108,0.108,0.115,0.105,0.112,0.114,0.049
"P14","Más iluminación en espacios públicos",0.126,0.062,0.056,0.051,0.071,0.143,0.074,0.07,0.073
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.08,0.03,0.087,0.088,0.096,0.071,0.048,0.044,0.064
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.015,0.129,0.041,0.019,0.043,0.044,0.05,0.072,0.041
"P14","Todas las anteriores",0.09,0.33,0.21,0.183,0.174,0.17,0.24,0.195,0.366
"P14","No sabe",0.126,0.215,0.117,0.161,0.116,0.086,0.082,0.067,0.157
"P15","El Gobierno Nacional",0.156,0,0.099,0.112,0.07,0.091,0.102,0.176,0.205
"P15","El Gobierno Provincial",0.237,0.37,0.287,0.3,0.264,0.262,0.252,0.241,0.215
"P15","El Municipio",0.226,0.326,0.274,0.2,0.238,0.183,0.17,0.135,0.166
"P15","Todos los niveles de gobierno son igualmente responsables",0.254,0.304,0.287,0.335,0.374,0.406,0.458,0.407,0.396
"P15","No sabe",0.127,0,0.053,0.053,0.054,0.058,0.018,0.041,0.018
