"var","categoria","Mayor presencia de policía en las calles","Presencia de Gendarmería en las calles","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares","Más iluminación en espacios públicos","Capacitación a las fuerzas de seguridad para la prevención del delito","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc","Todas las anteriores","No sabe"
"P04","Gran excedente habitual",0.007,0.009,0.013,0.021,0.019,0.025,0.014,0.051
"P04","Gran excedente excepcional",0.001,0.002,0.007,0.001,0.004,0.006,0.008,0.005
"P04","Pequeño excedente habitual",0.053,0.017,0.051,0.044,0.083,0.036,0.06,0.026
"P04","Pequeño excedente excepcional",0.042,0.027,0.031,0.077,0.067,0.037,0.053,0.074
"P04","Alcanza gastos familia",0.122,0.093,0.147,0.183,0.198,0.156,0.15,0.099
"P04","No alcanza gastos familia",0.127,0.142,0.203,0.156,0.156,0.221,0.146,0.178
"P04","Solo NBFamiliares",0.282,0.228,0.241,0.28,0.249,0.202,0.308,0.228
"P04","No alcanza NBFamiliares",0.357,0.473,0.3,0.234,0.202,0.297,0.239,0.302
"P04","No sabe",0.009,0.009,0.007,0.004,0.022,0.02,0.022,0.037
"P05","Si",0.201,0.295,0.124,0.121,0.128,0.152,0.183,0.176
"P05","No",0.799,0.705,0.876,0.879,0.872,0.848,0.817,0.824
"P06","Robo en vivienda, en su presencia",0.282,0.358,0.294,0.445,0.063,0.123,0.233,0.311
"P06","Robo en vivienda, en su ausencia",0.208,0.287,0.237,0.173,0.221,0.248,0.178,0.291
"P06","Robo de auto",0.048,0.064,0.015,0.037,0.135,0.229,0.084,0.005
"P06","Robo de moto",0.03,0.039,0.023,0.01,0,0.058,0.021,0
"P06","Robo de bicicleta",0.091,0.06,0.128,0.013,0.169,0.099,0.08,0.01
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.104,0.074,0.136,0.018,0.058,0.066,0.142,0.139
"P06","Otro tipo de delito a la propiedad",0.237,0.118,0.167,0.304,0.354,0.177,0.262,0.244
"P07","Muy seguro",0.161,0.078,0.159,0.166,0.122,0.097,0.058,0.173
"P07","Algo seguro",0.313,0.254,0.374,0.398,0.323,0.298,0.238,0.265
"P07","Seguro",0.109,0.085,0.18,0.179,0.18,0.084,0.156,0.146
"P07","Algo inseguro",0.209,0.212,0.186,0.176,0.28,0.276,0.23,0.196
"P07","Inseguro",0.123,0.21,0.081,0.055,0.079,0.208,0.211,0.179
"P07","Muy inseguro",0.085,0.161,0.02,0.026,0.016,0.037,0.107,0.041
"P08","Han aumentado en el último mes",0.477,0.594,0.265,0.219,0.286,0.425,0.429,0.352
"P08","Han disminuido en el ultimo mes",0.087,0.064,0.088,0.12,0.086,0.068,0.054,0.085
"P08","Se mantienen igual que el mes anterior",0.312,0.259,0.505,0.435,0.443,0.341,0.357,0.357
"P08","No sabe",0.124,0.083,0.142,0.226,0.185,0.166,0.16,0.206
"P09","Si",0.213,0.23,0.085,0.086,0.096,0.124,0.139,0.112
"P09","No",0.787,0.77,0.915,0.914,0.904,0.876,0.861,0.888
"P10","Hurto",0.393,0.33,0.683,0.226,0.535,0.428,0.439,0.171
"P10","Robo con violencia",0.284,0.345,0.169,0.339,0.033,0.248,0.212,0.245
"P10","Agresión física",0.046,0.058,0,0.065,0.138,0.054,0.108,0
"P10","Acoso verbal o intimidación",0.124,0.066,0.031,0.304,0.047,0.184,0.087,0.111
"P10","Otros delitos en la vía pública",0.153,0.201,0.117,0.066,0.247,0.086,0.154,0.473
"P11","Muy seguro",0.149,0.07,0.155,0.144,0.113,0.072,0.047,0.154
"P11","Algo seguro",0.315,0.238,0.413,0.396,0.255,0.282,0.214,0.159
"P11","Seguro",0.109,0.093,0.172,0.146,0.196,0.085,0.148,0.185
"P11","Algo inseguro",0.207,0.23,0.169,0.223,0.273,0.292,0.239,0.262
"P11","Inseguro",0.14,0.235,0.068,0.051,0.128,0.212,0.228,0.17
"P11","Muy inseguro",0.08,0.134,0.023,0.04,0.035,0.057,0.124,0.07
"P12","Han aumentado en el último mes",0.507,0.548,0.167,0.162,0.292,0.35,0.406,0.354
"P12","Han disminuido en el último mes",0.084,0.1,0.052,0.061,0.081,0.073,0.038,0.058
"P12","Se mantienen igual que el mes anterior",0.309,0.264,0.675,0.374,0.414,0.329,0.363,0.365
"P12","No sabe",0.1,0.088,0.106,0.403,0.213,0.248,0.193,0.223
"P14","Mayor presencia de policía en las calles",0.482,0.237,0.229,0.186,0.123,0.146,0.099,0.104
"P14","Presencia de Gendarmería en las calles",0.13,0.415,0.115,0.088,0.108,0.113,0.115,0.036
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.108,0.101,0.253,0.133,0.112,0.061,0.054,0.074
"P14","Más iluminación en espacios públicos",0.072,0.04,0.09,0.332,0.057,0.089,0.022,0.096
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.042,0.041,0.071,0.036,0.349,0.054,0.013,0.034
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.04,0.049,0.047,0.035,0.057,0.253,0.029,0.029
"P14","Todas las anteriores",0.082,0.109,0.072,0.091,0.114,0.195,0.594,0.107
"P14","No sabe",0.044,0.008,0.123,0.099,0.08,0.089,0.074,0.52
