"var","categoria","Han aumentado en el último mes","Han disminuido en el ultimo mes","Se mantienen igual que el mes anterior","No sabe"
"P04","Gran excedente habitual",0.011,0.014,0.019,0.013
"P04","Gran excedente excepcional",0.002,0.004,0.007,0.001
"P04","Pequeño excedente habitual",0.023,0.046,0.058,0.057
"P04","Pequeño excedente excepcional",0.028,0.047,0.064,0.051
"P04","Alcanza gastos familia",0.092,0.126,0.174,0.152
"P04","No alcanza gastos familia",0.147,0.142,0.173,0.168
"P04","Solo NBFamiliares",0.258,0.298,0.259,0.251
"P04","No alcanza NBFamiliares",0.428,0.29,0.234,0.271
"P04","No sabe",0.011,0.033,0.012,0.036
"P05","Si",0.302,0.105,0.121,0.095
"P05","No",0.698,0.895,0.879,0.905
"P06","Robo en vivienda, en su presencia",0.284,0.259,0.294,0.184
"P06","Robo en vivienda, en su ausencia",0.259,0.135,0.171,0.152
"P06","Robo de auto",0.076,0.038,0.071,0.089
"P06","Robo de moto",0.037,0.04,0.021,0
"P06","Robo de bicicleta",0.078,0.073,0.071,0.074
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.098,0.184,0.094,0.12
"P06","Otro tipo de delito a la propiedad",0.168,0.271,0.278,0.381
"P07","Muy seguro",0.081,0.168,0.147,0.129
"P07","Algo seguro",0.244,0.553,0.312,0.303
"P07","Seguro",0.076,0.054,0.192,0.179
"P07","Algo inseguro",0.254,0.118,0.186,0.267
"P07","Inseguro",0.214,0.061,0.114,0.082
"P07","Muy inseguro",0.131,0.046,0.049,0.04
"P09","Si",0.304,0.133,0.072,0.08
"P09","No",0.696,0.867,0.928,0.92
"P10","Hurto",0.384,0.499,0.405,0.487
"P10","Robo con violencia",0.247,0.289,0.271,0.184
"P10","Agresión física",0.065,0.077,0.04,0.055
"P10","Acoso verbal o intimidación",0.107,0.036,0.132,0.035
"P10","Otros delitos en la vía pública",0.197,0.099,0.152,0.239
"P11","Muy seguro",0.077,0.149,0.119,0.16
"P11","Algo seguro",0.212,0.415,0.311,0.3
"P11","Seguro",0.074,0.107,0.189,0.168
"P11","Algo inseguro",0.253,0.176,0.22,0.217
"P11","Inseguro",0.247,0.104,0.109,0.12
"P11","Muy inseguro",0.137,0.049,0.052,0.035
"P12","Han aumentado en el último mes",0.75,0.238,0.119,0.125
"P12","Han disminuido en el último mes",0.052,0.278,0.062,0.03
"P12","Se mantienen igual que el mes anterior",0.136,0.343,0.702,0.254
"P12","No sabe",0.062,0.141,0.117,0.591
"P13","Mayor presencia de policía en las calles",0.27,0.264,0.205,0.198
"P13","Presencia de Gendarmería en las calles",0.239,0.137,0.121,0.094
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.071,0.125,0.156,0.107
"P13","Más iluminación en espacios públicos",0.046,0.134,0.106,0.134
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.051,0.082,0.091,0.093
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.06,0.051,0.056,0.066
"P13","Todas las anteriores",0.209,0.139,0.202,0.22
"P13","No sabe",0.054,0.068,0.063,0.088
"P14","Mayor presencia de policía en las calles",0.301,0.249,0.186,0.194
"P14","Presencia de Gendarmería en las calles",0.193,0.162,0.147,0.117
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.096,0.131,0.12,0.111
"P14","Más iluminación en espacios públicos",0.05,0.082,0.122,0.072
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.041,0.073,0.073,0.084
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.05,0.041,0.055,0.061
"P14","Todas las anteriores",0.222,0.167,0.188,0.195
"P14","No sabe",0.047,0.095,0.109,0.166
"P15","El Gobierno Nacional",0.16,0.158,0.079,0.093
"P15","El Gobierno Provincial",0.261,0.267,0.257,0.235
"P15","El Municipio",0.141,0.204,0.214,0.186
"P15","Todos los niveles de gobierno son igualmente responsables",0.416,0.321,0.406,0.401
"P15","No sabe",0.022,0.05,0.044,0.085
