"var","categoria","Han aumentado en el último mes","Han disminuido en el último mes","Se mantienen igual que el mes anterior","No sabe"
"P04","Gran excedente habitual",0.011,0.017,0.015,0.025
"P04","Gran excedente excepcional",0.004,0.003,0.006,0.002
"P04","Pequeño excedente habitual",0.024,0.052,0.067,0.052
"P04","Pequeño excedente excepcional",0.028,0.047,0.061,0.061
"P04","Alcanza gastos familia",0.095,0.155,0.17,0.161
"P04","No alcanza gastos familia",0.144,0.149,0.154,0.174
"P04","Solo NBFamiliares",0.262,0.311,0.257,0.259
"P04","No alcanza NBFamiliares",0.418,0.233,0.259,0.251
"P04","No sabe",0.014,0.033,0.011,0.015
"P05","Si",0.31,0.124,0.106,0.111
"P05","No",0.69,0.876,0.894,0.889
"P06","Robo en vivienda, en su presencia",0.303,0.16,0.301,0.168
"P06","Robo en vivienda, en su ausencia",0.246,0.23,0.23,0.134
"P06","Robo de auto",0.058,0.115,0.06,0.092
"P06","Robo de moto",0.035,0,0.023,0
"P06","Robo de bicicleta",0.08,0.082,0.055,0.094
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.101,0.071,0.092,0.194
"P06","Otro tipo de delito a la propiedad",0.177,0.342,0.239,0.318
"P07","Muy seguro",0.064,0.234,0.154,0.135
"P07","Algo seguro",0.222,0.462,0.323,0.346
"P07","Seguro",0.082,0.114,0.162,0.201
"P07","Algo inseguro",0.254,0.077,0.208,0.203
"P07","Inseguro",0.234,0.086,0.108,0.081
"P07","Muy inseguro",0.144,0.027,0.045,0.034
"P08","Han aumentado en el último mes",0.796,0.308,0.151,0.153
"P08","Han disminuido en el ultimo mes",0.047,0.309,0.072,0.066
"P08","Se mantienen igual que el mes anterior",0.109,0.318,0.674,0.249
"P08","No sabe",0.048,0.065,0.103,0.532
"P09","Si",0.266,0.114,0.073,0.094
"P09","No",0.734,0.886,0.927,0.906
"P10","Hurto",0.391,0.379,0.493,0.276
"P10","Robo con violencia",0.28,0.33,0.185,0.299
"P10","Agresión física",0.056,0.03,0.089,0.037
"P10","Acoso verbal o intimidación",0.113,0,0.063,0.146
"P10","Otros delitos en la vía pública",0.16,0.261,0.17,0.242
"P11","Muy seguro",0.078,0.185,0.129,0.111
"P11","Algo seguro",0.213,0.54,0.299,0.3
"P11","Seguro",0.07,0.101,0.187,0.177
"P11","Algo inseguro",0.237,0.064,0.222,0.275
"P11","Inseguro",0.241,0.1,0.12,0.116
"P11","Muy inseguro",0.161,0.01,0.043,0.021
"P13","Mayor presencia de policía en las calles",0.306,0.285,0.196,0.14
"P13","Presencia de Gendarmería en las calles",0.235,0.242,0.119,0.087
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.048,0.083,0.202,0.07
"P13","Más iluminación en espacios públicos",0.036,0.076,0.088,0.208
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.055,0.087,0.083,0.094
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.052,0.062,0.052,0.086
"P13","Todas las anteriores",0.211,0.112,0.198,0.232
"P13","No sabe",0.057,0.053,0.062,0.083
"P14","Mayor presencia de policía en las calles",0.304,0.244,0.206,0.161
"P14","Presencia de Gendarmería en las calles",0.198,0.19,0.137,0.126
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.093,0.186,0.115,0.107
"P14","Más iluminación en espacios públicos",0.046,0.098,0.106,0.104
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.039,0.047,0.079,0.081
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.038,0.044,0.063,0.068
"P14","Todas las anteriores",0.227,0.115,0.197,0.186
"P14","No sabe",0.055,0.076,0.097,0.167
"P15","El Gobierno Nacional",0.169,0.133,0.093,0.067
"P15","El Gobierno Provincial",0.262,0.263,0.264,0.22
"P15","El Municipio",0.133,0.232,0.211,0.19
"P15","Todos los niveles de gobierno son igualmente responsables",0.414,0.33,0.389,0.438
"P15","No sabe",0.022,0.042,0.043,0.085
