"var","categoria","Si","No"
"P04","Gran excedente habitual",0.017,0.013
"P04","Gran excedente excepcional",0.002,0.005
"P04","Pequeño excedente habitual",0.016,0.046
"P04","Pequeño excedente excepcional",0.023,0.048
"P04","Alcanza gastos familia",0.067,0.142
"P04","No alcanza gastos familia",0.137,0.168
"P04","Solo NBFamiliares",0.192,0.273
"P04","No alcanza NBFamiliares",0.534,0.285
"P04","No sabe",0.012,0.02
"P07","Muy seguro",0.061,0.131
"P07","Algo seguro",0.138,0.338
"P07","Seguro",0.076,0.141
"P07","Algo inseguro",0.233,0.214
"P07","Inseguro",0.248,0.126
"P07","Muy inseguro",0.244,0.05
"P08","Han aumentado en el último mes",0.66,0.362
"P08","Han disminuido en el ultimo mes",0.043,0.088
"P08","Se mantienen igual que el mes anterior",0.22,0.378
"P08","No sabe",0.077,0.172
"P09","Si",0.421,0.118
"P09","No",0.579,0.882
"P10","Hurto",0.398,0.404
"P10","Robo con violencia",0.278,0.222
"P10","Agresión física",0.088,0.038
"P10","Acoso verbal o intimidación",0.091,0.11
"P10","Otros delitos en la vía pública",0.145,0.226
"P11","Muy seguro",0.072,0.119
"P11","Algo seguro",0.176,0.3
"P11","Seguro",0.074,0.145
"P11","Algo inseguro",0.236,0.228
"P11","Inseguro",0.24,0.151
"P11","Muy inseguro",0.202,0.057
"P12","Han aumentado en el último mes",0.644,0.331
"P12","Han disminuido en el último mes",0.046,0.076
"P12","Se mantienen igual que el mes anterior",0.211,0.41
"P12","No sabe",0.099,0.183
"P13","Mayor presencia de policía en las calles",0.253,0.232
"P13","Presencia de Gendarmería en las calles",0.263,0.145
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.073,0.12
"P13","Más iluminación en espacios públicos",0.056,0.094
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.051,0.08
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.047,0.061
"P13","Todas las anteriores",0.198,0.204
"P13","No sabe",0.059,0.064
"P14","Mayor presencia de policía en las calles",0.27,0.233
"P14","Presencia de Gendarmería en las calles",0.194,0.155
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.117,0.108
"P14","Más iluminación en espacios públicos",0.034,0.093
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.033,0.068
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.041,0.055
"P14","Todas las anteriores",0.252,0.19
"P14","No sabe",0.059,0.098
"P15","El Gobierno Nacional",0.167,0.11
"P15","El Gobierno Provincial",0.217,0.265
"P15","El Municipio",0.131,0.19
"P15","Todos los niveles de gobierno son igualmente responsables",0.466,0.388
"P15","No sabe",0.019,0.047
