"var","categoria","Muy seguro","Algo seguro","Seguro","Algo inseguro","Inseguro","Muy inseguro"
"P04","Gran excedente habitual",0.049,0.012,0.014,0.006,0.008,0.01
"P04","Gran excedente excepcional",0.009,0.005,0.008,0.003,0.003,0
"P04","Pequeño excedente habitual",0.067,0.045,0.072,0.028,0.019,0.024
"P04","Pequeño excedente excepcional",0.061,0.05,0.051,0.035,0.037,0.022
"P04","Alcanza gastos familia",0.178,0.126,0.173,0.157,0.076,0.037
"P04","No alcanza gastos familia",0.135,0.178,0.194,0.13,0.183,0.135
"P04","Solo NBFamiliares",0.201,0.278,0.25,0.308,0.238,0.211
"P04","No alcanza NBFamiliares",0.289,0.291,0.207,0.312,0.419,0.55
"P04","No sabe",0.011,0.015,0.031,0.021,0.017,0.011
"P05","Si",0.1,0.089,0.114,0.207,0.321,0.537
"P05","No",0.9,0.911,0.886,0.793,0.679,0.463
"P06","Robo en vivienda, en su presencia",0.566,0.235,0.133,0.168,0.291,0.414
"P06","Robo en vivienda, en su ausencia",0.111,0.296,0.093,0.226,0.225,0.21
"P06","Robo de auto",0.031,0.093,0.144,0.093,0.059,0.041
"P06","Robo de moto",0.06,0.005,0.005,0.047,0.046,0.018
"P06","Robo de bicicleta",0.026,0.071,0.027,0.082,0.098,0.063
"P06","Vandalismo, como pintura de paredes, rotura de vidrios, o similares",0.056,0.04,0.118,0.14,0.101,0.1
"P06","Otro tipo de delito a la propiedad",0.15,0.26,0.48,0.244,0.18,0.154
"P08","Han aumentado en el último mes",0.287,0.339,0.244,0.479,0.61,0.673
"P08","Han disminuido en el ultimo mes",0.112,0.145,0.033,0.042,0.033,0.044
"P08","Se mantienen igual que el mes anterior",0.433,0.361,0.512,0.293,0.271,0.207
"P08","No sabe",0.168,0.155,0.211,0.186,0.086,0.076
"P09","Si",0.123,0.146,0.078,0.133,0.264,0.473
"P09","No",0.877,0.854,0.922,0.867,0.736,0.527
"P10","Hurto",0.537,0.381,0.606,0.434,0.354,0.346
"P10","Robo con violencia",0.189,0.21,0.081,0.181,0.317,0.334
"P10","Agresión física",0.037,0.038,0.008,0.057,0.077,0.095
"P10","Acoso verbal o intimidación",0.082,0.15,0.174,0.156,0.057,0.041
"P10","Otros delitos en la vía pública",0.155,0.221,0.131,0.172,0.195,0.184
"P11","Muy seguro",0.526,0.085,0.077,0.02,0.031,0.042
"P11","Algo seguro",0.233,0.546,0.273,0.143,0.091,0.066
"P11","Seguro",0.121,0.132,0.418,0.077,0.023,0.02
"P11","Algo inseguro",0.038,0.155,0.181,0.542,0.192,0.07
"P11","Inseguro",0.054,0.064,0.047,0.195,0.525,0.185
"P11","Muy inseguro",0.028,0.018,0.004,0.023,0.138,0.617
"P12","Han aumentado en el último mes",0.206,0.292,0.239,0.459,0.603,0.699
"P12","Han disminuido en el último mes",0.135,0.109,0.059,0.025,0.04,0.024
"P12","Se mantienen igual que el mes anterior",0.473,0.404,0.451,0.358,0.267,0.207
"P12","No sabe",0.186,0.195,0.251,0.158,0.09,0.07
"P13","Mayor presencia de policía en las calles",0.315,0.247,0.191,0.228,0.193,0.254
"P13","Presencia de Gendarmería en las calles",0.108,0.142,0.106,0.163,0.235,0.34
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.147,0.139,0.148,0.095,0.06,0.029
"P13","Más iluminación en espacios públicos",0.12,0.116,0.116,0.071,0.032,0.028
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.075,0.08,0.099,0.096,0.039,0.015
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.047,0.059,0.037,0.075,0.081,0.027
"P13","Todas las anteriores",0.098,0.161,0.235,0.215,0.285,0.275
"P13","No sabe",0.09,0.056,0.068,0.057,0.075,0.032
"P14","Mayor presencia de policía en las calles",0.29,0.23,0.175,0.245,0.243,0.293
"P14","Presencia de Gendarmería en las calles",0.148,0.172,0.146,0.14,0.211,0.146
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.105,0.148,0.127,0.092,0.071,0.066
"P14","Más iluminación en espacios públicos",0.152,0.083,0.11,0.07,0.048,0.023
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.068,0.08,0.054,0.074,0.029,0.024
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.049,0.047,0.059,0.068,0.046,0.039
"P14","Todas las anteriores",0.073,0.158,0.195,0.234,0.263,0.359
"P14","No sabe",0.115,0.082,0.134,0.077,0.089,0.05
"P15","El Gobierno Nacional",0.125,0.129,0.072,0.104,0.146,0.161
"P15","El Gobierno Provincial",0.237,0.283,0.28,0.238,0.254,0.19
"P15","El Municipio",0.279,0.182,0.245,0.172,0.073,0.131
"P15","Todos los niveles de gobierno son igualmente responsables",0.29,0.356,0.359,0.457,0.496,0.498
"P15","No sabe",0.069,0.05,0.044,0.029,0.031,0.02
