"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert por los liberales","Otros candidatos","Votaría en blanco o anularía"
"P24","Inflación",0.222,0.182,0.173,0.22,0.281,0.2,0.118,0.165
"P24","Desempleo",0.177,0.087,0.169,0.269,0.115,0.192,0.26,0.136
"P24","Corrupción",0.131,0.481,0.527,0.299,0.434,0.381,0.386,0.329
"P24","Precio del dólar",0.065,0.033,0,0.015,0,0.079,0.104,0.15
"P24","Inseguridad",0.133,0.106,0.049,0.108,0.009,0.028,0.057,0.032
"P24","Pobreza",0.13,0.08,0.071,0.059,0.071,0.084,0.02,0.131
"P24","Narcotráfico",0.008,0.007,0,0.014,0.021,0,0.006,0
"P24","Tarifas",0.018,0,0,0,0,0,0,0.023
"P24","Otro",0.097,0.019,0.007,0.008,0.069,0.036,0.017,0.034
"P24","No sabe",0.019,0.005,0.004,0.008,0,0,0.032,0
"P30","Gran excedente habitual",0.007,0,0,0.019,0,0.09,0,0
"P30","Gran excedente excepcional",0,0,0,0,0,0,0,0
"P30","Pequeño excedente habitual",0.042,0.049,0.047,0,0.012,0.005,0.081,0
"P30","Pequeño excedente excepcional",0.058,0.03,0.065,0,0,0.051,0.006,0.015
"P30","Alcanza gastos familia",0.23,0.13,0.111,0.048,0.075,0.215,0.101,0.157
"P30","No alcanza gastos familia",0.162,0.204,0.182,0.129,0.07,0.286,0.101,0.261
"P30","Solo NBFamiliares",0.252,0.321,0.251,0.383,0.419,0.172,0.097,0.085
"P30","No alcanza NBFamiliares",0.224,0.218,0.333,0.421,0.31,0.125,0.561,0.438
"P30","No sabe",0.025,0.048,0.011,0,0.114,0.056,0.053,0.044
"P33","Mejor",0.371,0.016,0.024,0.14,0.072,0.003,0.042,0.027
"P33","Igual",0.273,0.254,0.173,0.072,0.598,0.096,0.158,0.458
"P33","Peor",0.169,0.63,0.686,0.68,0.204,0.772,0.505,0.405
"P33","No sabe",0.187,0.1,0.117,0.108,0.126,0.129,0.295,0.11
"P36","Mejor",0.526,0.046,0.075,0.074,0.097,0,0.134,0.036
"P36","Igual",0.21,0.12,0.09,0.093,0.263,0.045,0.186,0.283
"P36","Peor",0.141,0.771,0.688,0.747,0.459,0.85,0.514,0.559
"P36","No sabe",0.123,0.063,0.147,0.086,0.181,0.105,0.166,0.122
"P42","Muy buena",0.432,0.036,0.022,0.069,0.099,0,0.392,0.053
"P42","Buena",0.319,0.052,0.026,0.119,0.04,0,0.009,0.185
"P42","Ni buena ni mala",0.121,0.045,0.052,0.111,0.28,0.021,0.049,0.189
"P42","Mala",0.046,0.136,0.206,0.272,0.358,0.048,0.265,0.391
"P42","Muy mala",0.082,0.727,0.668,0.429,0.019,0.931,0.28,0.159
"P42","No sabe",0,0.004,0.026,0,0.204,0,0.005,0.023
"P43","Muy buena",0.684,0.048,0.079,0.03,0.178,0.026,0.273,0.16
"P43","Buena",0.133,0.005,0.007,0.098,0,0,0.016,0.192
"P43","Ni buena ni mala",0.057,0.055,0.05,0,0.081,0.01,0.219,0.1
"P43","Mala",0.032,0.041,0.044,0.195,0.445,0.102,0.176,0.045
"P43","Muy mala",0.094,0.846,0.82,0.677,0.296,0.862,0.277,0.498
"P43","No sabe",0,0.005,0,0,0,0,0.039,0.005
"P44","Muy buena",0.099,0.218,0.101,0,0,0.004,0.019,0.044
"P44","Buena",0.004,0.3,0.088,0,0,0.316,0.065,0.217
"P44","Ni buena ni mala",0.011,0.278,0.367,0.022,0.02,0.316,0.1,0.066
