"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P07","Muy buena",0.095,0.156,0.178,0.07,0.222
"P07","Buena",0.205,0.269,0.048,0.054,0.307
"P07","Ni buena ni mala",0.228,0.138,0.273,0.215,0.162
"P07","Mala",0.167,0.199,0.125,0.174,0.121
"P07","Muy mala",0.29,0.236,0.376,0.478,0.124
"P07","No sabe",0.015,0.002,0,0.009,0.064
"P08","Muy buena",0.089,0.182,0.12,0.031,0.097
"P08","Buena",0.14,0.136,0.108,0.163,0.079
"P08","Ni buena ni mala",0.454,0.286,0.327,0.298,0.44
"P08","Mala",0.057,0.099,0.078,0.151,0.082
"P08","Muy mala",0.131,0.157,0.063,0.289,0.103
"P08","No sabe",0.129,0.14,0.304,0.068,0.199
"P09","Muy buena",0.084,0.153,0.072,0.11,0.196
"P09","Buena",0.161,0.257,0.123,0.069,0.215
"P09","Ni buena ni mala",0.271,0.178,0.459,0.201,0.219
"P09","Mala",0.126,0.062,0.093,0.251,0.065
"P09","Muy mala",0.222,0.254,0.235,0.339,0.215
"P09","No sabe",0.136,0.096,0.018,0.03,0.09
"P10","Muy buena",0.055,0.105,0.015,0.006,0.043
"P10","Buena",0.1,0.163,0.108,0.048,0.066
"P10","Ni buena ni mala",0.432,0.364,0.436,0.328,0.374
"P10","Mala",0.081,0.106,0.082,0.219,0.152
"P10","Muy mala",0.113,0.131,0.096,0.288,0.091
"P10","No sabe",0.219,0.131,0.263,0.111,0.274
"P11","Muy buena",0.089,0.153,0.019,0.076,0.051
"P11","Buena",0.108,0.123,0.128,0.122,0.076
"P11","Ni buena ni mala",0.298,0.307,0.301,0.15,0.326
"P11","Mala",0.172,0.135,0.148,0.257,0.123
"P11","Muy mala",0.279,0.252,0.279,0.372,0.272
"P11","No sabe",0.054,0.03,0.125,0.023,0.152
"P12","Muy buena",0.048,0.075,0.062,0.071,0.046
"P12","Buena",0.088,0.17,0.055,0.121,0.059
"P12","Ni buena ni mala",0.428,0.387,0.403,0.242,0.3
"P12","Mala",0.054,0.088,0.147,0.171,0.096
"P12","Muy mala",0.154,0.093,0.036,0.2,0.065
"P12","No sabe",0.228,0.187,0.297,0.195,0.434
"P13","Muy buena",0.034,0.039,0.047,0.05,0.065
"P13","Buena",0.071,0.004,0.067,0.009,0.022
"P13","Ni buena ni mala",0.404,0.455,0.33,0.326,0.373
