"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda"
"P26","Totalmente seguro",0.646,0.709,0.614,0.639
"P26","Bastante seguro",0.156,0.196,0.07,0.18
"P26","Algo seguro",0.102,0.058,0.246,0
"P26","Para nada seguro",0.096,0.037,0.07,0.181
"P27","Tiene Decidido que va a ir a votar",0.944,0.925,0.872,0.818
"P27","Tiene dudas sobre si va a ir a  votar",0.043,0.055,0.055,0.119
"P27","Tiene Decidido que no va a ir a votar",0.013,0.02,0.073,0.063
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.769,0.147,0.197,0.303
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.107,0.809,0.21,0.27
"P28","En blanco",0.051,0.011,0.401,0.303
"P28","No sabe",0.073,0.033,0.192,0.124
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.368,0.783,0.22,0.167
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.097,0.142,0.601,0.246
"P29","En blanco",0.309,0.02,0.145,0.587
"P29","No sabe",0.226,0.055,0.034,0
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.799,0.203,0.117,0.417
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.091,0.269,0.665,0.239
"P30","En blanco",0.089,0.32,0.191,0.323
"P30","No sabe",0.021,0.208,0.027,0.021
"P38","Inflación",0.438,0.342,0.337,0.242
"P38","Desempleo",0.09,0.075,0.108,0
"P38","Corrupción",0.168,0.415,0.392,0.233
"P38","Inseguridad",0.111,0.085,0.068,0.364
"P38","Precio del dólar",0.003,0.004,0,0
"P38","Pobreza",0.101,0.025,0.059,0.114
"P38","Narcotráfico",0.003,0.005,0.013,0
"P38","Tarifas",0.004,0.003,0,0
"P38","Otro",0.073,0.037,0.023,0.047
"P38","No sabe",0.009,0.009,0,0
