"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.087,0.124,0.043,0,0.1,0.085,0.127,0.155,0.062,0.076,0.123,0.02,0.064,0.131,0.039,0,0,0,6
"Buena",0.219,0.221,0.215,0.295,0.185,0.245,0.194,0.087,0.374,0.136,0.293,0.122,0,0.245,0.173,0,0,0,6
"Ni buena ni mala",0.358,0.348,0.37,0.393,0.292,0.387,0.432,0.726,0.238,0.291,0.323,0.362,0.569,0.371,0.342,0,0,0,6
"Mala",0.162,0.165,0.159,0,0.205,0.172,0.184,0.032,0.157,0.231,0.127,0.235,0.335,0.143,0.196,0,0,0,6
"Muy mala",0.148,0.113,0.19,0.255,0.199,0.087,0.042,0,0.151,0.219,0.112,0.243,0,0.083,0.242,0,0,0,6
"No sabe",0.026,0.029,0.023,0.057,0.019,0.024,0.021,0,0.018,0.047,0.022,0.018,0.032,0.027,0.008,0,0,0,6
"Positiva",0.306,0.345,0.258,0.295,0.285,0.33,0.321,0.242,0.436,0.212,0.416,0.142,0.064,0.376,0.212,0,0,0,4
"Neutra",0.358,0.348,0.37,0.393,0.292,0.387,0.432,0.726,0.238,0.291,0.323,0.362,0.569,0.371,0.342,0,0,0,4
"Negativa",0.31,0.278,0.349,0.255,0.404,0.259,0.226,0.032,0.308,0.45,0.239,0.478,0.335,0.226,0.438,0,0,0,4
"No sabe",0.026,0.029,0.023,0.057,0.019,0.024,0.021,0,0.018,0.047,0.022,0.018,0.032,0.027,0.008,0,0,0,4
