"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Alberto Weretilneck","Positiva",0.418,0.492,0.318,0.44,0.431,0.613,0.179,0.488,0.468,0.367,0.617,0.289,0,0.448,0.298,0,0,0
"Alberto Weretilneck","Neutra",0.225,0.168,0.304,0.119,0.226,0.143,0.37,0.214,0.236,0.224,0.167,0.2,0.388,0.302,0.181,0,0,0
"Alberto Weretilneck","Negativa",0.355,0.34,0.373,0.441,0.343,0.244,0.442,0.298,0.296,0.405,0.216,0.511,0.612,0.25,0.521,0,0,0
"Alberto Weretilneck","No sabe",0.002,0,0.005,0,0,0,0.009,0,0,0.004,0,0,0,0,0,0,0,0
"Marcos Castro","Positiva",0.254,0.283,0.216,0,0.354,0.338,0.109,0.214,0.452,0.166,0.331,0.311,0,0.206,0.29,0,0,0
"Marcos Castro","Neutra",0.414,0.433,0.39,0.559,0.331,0.258,0.665,0.512,0.329,0.425,0.32,0.355,0.893,0.582,0.267,0,0,0
"Marcos Castro","Negativa",0.29,0.243,0.352,0.441,0.309,0.357,0.092,0.214,0.196,0.364,0.313,0.249,0.107,0.203,0.399,0,0,0
"Marcos Castro","No sabe",0.042,0.041,0.042,0,0.006,0.047,0.134,0.06,0.023,0.045,0.036,0.085,0,0.009,0.044,0,0,0
"Aníbal Tortoriello","Positiva",0.297,0.355,0.22,0.441,0.247,0.347,0.271,0.348,0.275,0.292,0.294,0.672,0.033,0.158,0.486,0,0,0
"Aníbal Tortoriello","Neutra",0.29,0.233,0.367,0.118,0.234,0.412,0.38,0.429,0.24,0.267,0.266,0.252,0.135,0.387,0.229,0,0,0
"Aníbal Tortoriello","Negativa",0.378,0.39,0.362,0.441,0.495,0.209,0.27,0.164,0.467,0.406,0.403,0.066,0.832,0.429,0.261,0,0,0
"Aníbal Tortoriello","No sabe",0.035,0.022,0.051,0,0.024,0.032,0.079,0.059,0.018,0.035,0.037,0.01,0,0.026,0.024,0,0,0
"Victoria Villarruel","Positiva",0.389,0.49,0.255,0.357,0.339,0.483,0.422,0.407,0.384,0.387,0.294,0.88,0.067,0.022,0.749,0,0,0
"Victoria Villarruel","Neutra",0.104,0.111,0.094,0.321,0.065,0.087,0.075,0,0.032,0.177,0.156,0.054,0.034,0.129,0.045,0,0,0
