"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.064,0.101,0.022,0.046,0.075,0.058,0.064,0.082,0.042,0.075,0.097,0,0.138,0.079,0.028,0,0,0,6
"Buena",0.246,0.173,0.327,0.165,0.198,0.374,0.26,0.195,0.326,0.189,0.379,0.073,0,0.308,0.18,0,0,0,6
"Ni buena ni mala",0.312,0.372,0.245,0.37,0.306,0.247,0.36,0.465,0.281,0.253,0.264,0.297,0.155,0.323,0.308,0,0,0,6
"Mala",0.228,0.27,0.181,0.161,0.277,0.234,0.174,0.181,0.205,0.282,0.129,0.376,0.707,0.233,0.261,0,0,0,6
"Muy mala",0.126,0.071,0.188,0.246,0.144,0.07,0.034,0,0.138,0.191,0.089,0.249,0,0.051,0.213,0,0,0,6
"No sabe",0.024,0.013,0.037,0.012,0,0.017,0.108,0.077,0.008,0.01,0.042,0.005,0,0.006,0.01,0,0,0,6
"Positiva",0.31,0.274,0.349,0.211,0.273,0.432,0.324,0.277,0.368,0.264,0.476,0.073,0.138,0.387,0.208,0,0,0,4
"Neutra",0.312,0.372,0.245,0.37,0.306,0.247,0.36,0.465,0.281,0.253,0.264,0.297,0.155,0.323,0.308,0,0,0,4
"Negativa",0.354,0.341,0.369,0.407,0.421,0.304,0.208,0.181,0.343,0.473,0.218,0.625,0.707,0.284,0.474,0,0,0,4
"No sabe",0.024,0.013,0.037,0.012,0,0.017,0.108,0.077,0.008,0.01,0.042,0.005,0,0.006,0.01,0,0,0,4
