"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.206,0.245,0.163,0.311,0.13,0.261,0.2,0.212,0.19,0.22,0.148,0.378,0.052,0.039,0.426,0,0,0,6
"Buena",0.14,0.131,0.15,0,0.168,0.158,0.196,0.054,0.175,0.154,0.113,0.272,0.014,0.026,0.262,0,0,0,6
"Ni buena ni mala",0.235,0.215,0.257,0.449,0.134,0.201,0.301,0.443,0.213,0.132,0.261,0.191,0.48,0.204,0.13,0,0,0,6
"Mala",0.134,0.129,0.14,0.027,0.155,0.177,0.136,0.115,0.114,0.167,0.145,0.119,0.146,0.188,0.089,0,0,0,6
"Muy mala",0.28,0.279,0.281,0.213,0.408,0.203,0.15,0.176,0.303,0.319,0.332,0.028,0.308,0.536,0.088,0,0,0,6
"No sabe",0.005,0.001,0.009,0,0.005,0,0.017,0,0.005,0.008,0.001,0.012,0,0.007,0.005,0,0,0,6
"Positiva",0.346,0.376,0.313,0.311,0.298,0.419,0.396,0.266,0.365,0.374,0.261,0.65,0.066,0.065,0.688,0,0,0,4
"Neutra",0.235,0.215,0.257,0.449,0.134,0.201,0.301,0.443,0.213,0.132,0.261,0.191,0.48,0.204,0.13,0,0,0,4
"Negativa",0.414,0.408,0.421,0.24,0.563,0.38,0.286,0.291,0.417,0.486,0.477,0.147,0.454,0.724,0.177,0,0,0,4
"No sabe",0.005,0.001,0.009,0,0.005,0,0.017,0,0.005,0.008,0.001,0.012,0,0.007,0.005,0,0,0,4
