"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.204,0.222,0.18,0.238,0.201,0.317,0.075,0.214,0.197,0.204,0.117,0.518,0,0,0.469,0,0,0,6
"Buena",0.133,0.198,0.046,0.321,0.015,0.13,0.276,0.133,0.038,0.183,0.148,0.209,0.034,0.083,0.207,0,0,0,6
"Ni buena ni mala",0.102,0.115,0.085,0,0.145,0.101,0.071,0.06,0.143,0.095,0.139,0.114,0,0.014,0.076,0,0,0,6
"Mala",0.088,0.074,0.105,0.119,0.097,0.061,0.076,0,0.055,0.135,0.095,0.097,0.106,0.093,0.063,0,0,0,6
"Muy mala",0.473,0.391,0.584,0.322,0.542,0.391,0.502,0.593,0.567,0.383,0.501,0.062,0.86,0.81,0.185,0,0,0,6
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.337,0.42,0.226,0.559,0.216,0.447,0.351,0.347,0.235,0.387,0.265,0.727,0.034,0.083,0.676,0,0,0,4
"Neutra",0.102,0.115,0.085,0,0.145,0.101,0.071,0.06,0.143,0.095,0.139,0.114,0,0.014,0.076,0,0,0,4
"Negativa",0.561,0.465,0.689,0.441,0.639,0.452,0.578,0.593,0.622,0.518,0.596,0.159,0.966,0.903,0.248,0,0,0,4
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
