"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Inseguridad y narcotráfico",0.347,0.326,0.375,0.323,0.433,0.187,0.345,0.226,0.304,0.415,0.458,0.199,0.419,0.509,0.221,0,0,0
"Altos impuestos y tarifas",0.119,0.074,0.178,0,0.163,0.08,0.133,0.046,0.184,0.112,0.139,0.104,0.101,0.055,0.177,0,0,0
"Educación y estado de las escuelas",0.133,0.208,0.033,0.232,0.059,0.27,0.091,0.202,0.059,0.145,0.104,0.202,0.034,0.117,0.136,0,0,0
"Inflación",0.181,0.151,0.221,0.116,0.094,0.171,0.398,0.324,0.067,0.185,0.076,0.213,0,0.21,0.143,0,0,0
"Estado de la salud",0.117,0.093,0.15,0.329,0.055,0.222,0.025,0.202,0.155,0.066,0.1,0.233,0,0.047,0.239,0,0,0
"Corrupción",0.065,0.09,0.031,0,0.127,0.043,0,0,0.134,0.054,0.106,0.039,0,0.009,0.058,0,0,0
"Pobreza",0.029,0.051,0,0,0.061,0.009,0,0,0.089,0.008,0,0.01,0.446,0.049,0.007,0,0,0
"Medio ambiente, incendios y contaminación",0.003,0,0.008,0,0.008,0,0,0,0,0.007,0.007,0,0,0,0.009,0,0,0
"Falta de trabajo",0.004,0.004,0.004,0,0,0.018,0,0,0.008,0.004,0.007,0,0,0.004,0.005,0,0,0
"No sabe",0.002,0.003,0,0,0,0,0.008,0,0,0.004,0.003,0,0,0,0.005,0,0,0
