"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.107,0.137,0.073,0,0.157,0.105,0.089,0.105,0.127,0.09,0.183,0.006,0.062,0.162,0.026,0,0,0,6
"Buena",0.239,0.237,0.242,0.237,0.16,0.364,0.238,0.227,0.313,0.174,0.375,0.078,0,0.281,0.204,0,0,0,6
"Ni buena ni mala",0.347,0.359,0.333,0.307,0.351,0.276,0.466,0.502,0.311,0.305,0.258,0.371,0.358,0.317,0.371,0,0,0,6
"Mala",0.153,0.179,0.122,0.056,0.173,0.191,0.135,0.028,0.122,0.244,0.074,0.314,0.217,0.113,0.199,0,0,0,6
"Muy mala",0.151,0.082,0.23,0.383,0.159,0.064,0.067,0.138,0.127,0.179,0.104,0.231,0.363,0.12,0.2,0,0,0,6
"No sabe",0.003,0.006,0,0.017,0,0,0.005,0,0,0.008,0.006,0,0,0.007,0,0,0,0,6
"Positiva",0.346,0.374,0.315,0.237,0.317,0.469,0.327,0.332,0.44,0.264,0.558,0.084,0.062,0.443,0.23,0,0,0,4
"Neutra",0.347,0.359,0.333,0.307,0.351,0.276,0.466,0.502,0.311,0.305,0.258,0.371,0.358,0.317,0.371,0,0,0,4
"Negativa",0.304,0.261,0.352,0.439,0.332,0.255,0.202,0.166,0.249,0.423,0.178,0.545,0.58,0.233,0.399,0,0,0,4
"No sabe",0.003,0.006,0,0.017,0,0,0.005,0,0,0.008,0.006,0,0,0.007,0,0,0,0,4
