"var","categoria","Es parte de una persecución ideológica","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados","Representa una reasignación del gasto público en algo mas necesario","Logra disminuir los cargos militantes presentes en el estado","Contribuye a la libertad de pensamiento","No sabe"
"P10","Siempre",0.202,0.202,0.141,0.206,0.244,0.201
"P10","Casi siempre",0.318,0.298,0.298,0.29,0.281,0.326
"P10","Casi nunca",0.33,0.368,0.361,0.379,0.351,0.262
"P10","Nunca, pero esta es una excepción",0.15,0.132,0.2,0.125,0.124,0.211
"P11","El gobierno de Javier Milei",0.558,0.585,0.191,0.118,0.192,0.185
"P11","El gobierno de Alberto Fernández",0.247,0.165,0.679,0.748,0.606,0.425
"P11","Ambos",0.145,0.207,0.081,0.09,0.151,0.202
"P11","No sabe",0.05,0.043,0.049,0.044,0.051,0.188
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.117,0.087,0.217,0.208,0.218,0.167
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.245,0.282,0.393,0.423,0.375,0.432
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.085,0.095,0.13,0.164,0.169,0.07
"P12","Retirarla y no presentar nada",0.467,0.481,0.111,0.092,0.124,0.072
"P12","Volverla a presentar igual",0.081,0.014,0.089,0.092,0.1,0.077
"P12","No sabe",0.005,0.041,0.06,0.021,0.014,0.182
"P13","Javier Milei",0.256,0.148,0.62,0.666,0.638,0.308
"P13","Los gobernadores",0.7,0.717,0.223,0.23,0.281,0.36
"P13","No sabe",0.044,0.135,0.157,0.104,0.081,0.332
"P14","Muy de acuerdo",0.498,0.368,0.144,0.127,0.253,0.177
"P14","De acuerdo",0.168,0.226,0.069,0.133,0.089,0.183
"P14","Ni de acuerdo ni en desacuerdo",0.139,0.271,0.226,0.14,0.193,0.375
"P14","En desacuerdo",0.098,0.1,0.345,0.356,0.202,0.182
"P14","Muy en desacuerdo",0.079,0.005,0.181,0.238,0.263,0.071
"P14","No sabe",0.018,0.03,0.035,0.006,0,0.012
"P15","Muy de acuerdo",0.229,0.112,0.536,0.558,0.551,0.294
"P15","De acuerdo",0.046,0.126,0.179,0.194,0.141,0.08
"P15","Ni de acuerdo ni en desacuerdo",0.22,0.326,0.135,0.128,0.129,0.524
"P15","En desacuerdo",0.282,0.261,0.11,0.065,0.075,0.072
"P15","Muy en desacuerdo",0.185,0.127,0.024,0.044,0.089,0.012
"P15","No sabe",0.038,0.048,0.016,0.011,0.015,0.018
"P16","Muy positivo",0.221,0.092,0.527,0.582,0.586,0.298
"P16","Positivo",0.079,0.07,0.17,0.178,0.117,0.142
"P16","Ni positivo ni negativo",0.073,0.233,0.164,0.128,0.174,0.383
"P16","Negativo",0.267,0.294,0.08,0.078,0.074,0.041
"P16","Muy negativo",0.339,0.276,0.043,0.028,0.043,0.065
"P16","No sabe",0.021,0.035,0.016,0.006,0.006,0.071
"P17","Si",0.271,0.165,0.443,0.527,0.559,0.259
"P17","No",0.682,0.784,0.495,0.412,0.356,0.663
"P17","No sabe",0.047,0.051,0.062,0.061,0.085,0.078
"P18","Salva muchas vidas",0.179,0.163,0.242,0.23,0.279,0.236
"P18","Logra disminuir la cantidad de abortos que se producen",0.097,0.104,0.116,0.183,0.136,0.259
"P18","Representa una reasignación del gasto público en algo más necesario",0.046,0.058,0.26,0.21,0.185,0.112
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.238,0.34,0.16,0.203,0.155,0.188
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.417,0.308,0.162,0.093,0.193,0.063
"P18","No sabe",0.023,0.027,0.06,0.081,0.052,0.142
"P20","Si",0.263,0.142,0.684,0.636,0.657,0.389
"P20","No",0.617,0.781,0.23,0.249,0.222,0.397
"P20","No sabe",0.12,0.077,0.086,0.115,0.121,0.214
"P21","Logra disminuir los cargos militantes presentes en el estado",0.135,0.082,0.225,0.305,0.358,0.229
"P21","Evita la manipulación de la información por parte del estado",0.106,0.131,0.158,0.241,0.144,0.212
"P21","Representa una reasignación del gasto público en algo más necesario",0.044,0.043,0.315,0.236,0.137,0.156
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.293,0.537,0.149,0.129,0.192,0.119
"P21","Es parte de la persecución ideológica",0.411,0.181,0.082,0.081,0.15,0.089
