"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.252,0.263,0.24,0.178,0.232,0.305,0.332,0.244,0.257,0.251,0.072,0.496,0.185,0.283,0.195,0.191,0.256,0.048,0.505,6
"Buena",0.188,0.212,0.164,0.189,0.183,0.195,0.186,0.186,0.193,0.182,0.084,0.268,0.23,0.191,0.243,0.257,0.153,0.041,0.24,6
"Ni buena ni mala",0.143,0.14,0.147,0.224,0.13,0.113,0.095,0.179,0.155,0.095,0.105,0.133,0.198,0.144,0.19,0.145,0.123,0.109,0.098,6
"Mala",0.126,0.11,0.141,0.138,0.119,0.109,0.147,0.154,0.13,0.095,0.208,0.037,0.131,0.093,0.16,0.178,0.134,0.216,0.048,6
"Muy mala",0.287,0.272,0.302,0.268,0.33,0.273,0.237,0.234,0.259,0.373,0.527,0.064,0.254,0.283,0.207,0.227,0.331,0.582,0.109,6
"No sabe",0.004,0.003,0.006,0.003,0.006,0.005,0.003,0.003,0.006,0.004,0.004,0.002,0.002,0.006,0.005,0.002,0.003,0.004,0,6
"Positiva",0.44,0.475,0.404,0.367,0.415,0.5,0.518,0.43,0.45,0.433,0.156,0.764,0.415,0.474,0.438,0.448,0.409,0.089,0.745,4
"Neutra",0.143,0.14,0.147,0.224,0.13,0.113,0.095,0.179,0.155,0.095,0.105,0.133,0.198,0.144,0.19,0.145,0.123,0.109,0.098,4
"Negativa",0.413,0.382,0.443,0.406,0.449,0.382,0.384,0.388,0.389,0.468,0.735,0.101,0.385,0.376,0.367,0.405,0.465,0.798,0.157,4
"No sabe",0.004,0.003,0.006,0.003,0.006,0.005,0.003,0.003,0.006,0.004,0.004,0.002,0.002,0.006,0.005,0.002,0.003,0.004,0,4
"Positiva",0.538,0.581,0.495,0.516,0.51,0.575,0.58,0.551,0.558,0.5,0.21,0.865,0.532,0.566,0.56,0.551,0.502,0.097,0.878,2
"Negativa",0.458,0.416,0.499,0.481,0.484,0.42,0.417,0.446,0.437,0.496,0.786,0.133,0.466,0.428,0.435,0.447,0.495,0.9,0.117,2
"No sabe",0.004,0.003,0.006,0.003,0.006,0.005,0.003,0.003,0.005,0.004,0.004,0.002,0.002,0.006,0.005,0.002,0.003,0.003,0.005,2
