"var","categoria","Si","No","No sabe"
"P10","Siempre",0.187,0.19,0.216
"P10","Casi siempre",0.256,0.319,0.361
"P10","Casi nunca",0.382,0.336,0.238
"P10","Nunca, pero esta es una excepción",0.175,0.155,0.185
"P11","El gobierno de Javier Milei",0.076,0.577,0.278
"P11","El gobierno de Alberto Fernández",0.809,0.13,0.552
"P11","Ambos",0.064,0.246,0.093
"P11","No sabe",0.051,0.047,0.077
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.244,0.097,0.155
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.395,0.299,0.363
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.183,0.068,0.135
"P12","Retirarla y no presentar nada",0.018,0.473,0.251
"P12","Volverla a presentar igual",0.116,0.016,0.083
"P12","No sabe",0.044,0.047,0.013
"P13","Javier Milei",0.772,0.105,0.511
"P13","Los gobernadores",0.114,0.743,0.396
"P13","No sabe",0.114,0.152,0.093
"P14","Muy de acuerdo",0.112,0.401,0.258
"P14","De acuerdo",0.065,0.227,0.08
"P14","Ni de acuerdo ni en desacuerdo",0.214,0.232,0.231
"P14","En desacuerdo",0.341,0.092,0.264
"P14","Muy en desacuerdo",0.25,0.015,0.159
"P14","No sabe",0.018,0.033,0.008
"P15","Muy de acuerdo",0.626,0.101,0.498
"P15","De acuerdo",0.178,0.118,0.104
"P15","Ni de acuerdo ni en desacuerdo",0.102,0.341,0.149
"P15","En desacuerdo",0.048,0.271,0.147
"P15","Muy en desacuerdo",0.036,0.118,0.093
"P15","No sabe",0.01,0.051,0.009
"P16","Muy positivo",0.653,0.048,0.516
"P16","Positivo",0.175,0.119,0.116
"P16","Ni positivo ni negativo",0.119,0.243,0.122
"P16","Negativo",0.03,0.303,0.11
"P16","Muy negativo",0.015,0.253,0.12
"P16","No sabe",0.008,0.034,0.016
"P17","Si",0.547,0.175,0.451
"P17","No",0.393,0.762,0.494
"P17","No sabe",0.06,0.063,0.055
"P18","Salva muchas vidas",0.264,0.134,0.28
"P18","Logra disminuir la cantidad de abortos que se producen",0.127,0.145,0.137
"P18","Representa una reasignación del gasto público en algo más necesario",0.244,0.064,0.091
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.156,0.308,0.229
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.116,0.315,0.216
"P18","No sabe",0.093,0.034,0.047
"P21","Logra disminuir los cargos militantes presentes en el estado",0.354,0.077,0.177
"P21","Evita la manipulación de la información por parte del estado",0.16,0.161,0.185
"P21","Representa una reasignación del gasto público en algo más necesario",0.265,0.061,0.157
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.113,0.398,0.27
"P21","Es parte de la persecución ideológica",0.083,0.245,0.162
"P21","No sabe",0.025,0.058,0.049
"P23","Si",0.818,0.174,0.601
"P23","No",0.096,0.723,0.301
"P23","No sabe",0.086,0.103,0.098
"P24","Es parte de una persecución ideológica",0.081,0.215,0.169
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.068,0.424,0.168
"P24","Representa una reasignación del gasto público en algo mas necesario",0.301,0.115,0.174
"P24","Logra disminuir los cargos militantes presentes en el estado",0.358,0.159,0.298
"P24","Contribuye a la libertad de pensamiento",0.176,0.068,0.15
"P24","No sabe",0.016,0.019,0.041
"P27","Inflación",0.221,0.305,0.269
"P27","Desempleo",0.068,0.151,0.092
"P27","Corrupción",0.482,0.153,0.371
"P27","Inseguridad",0.149,0.064,0.077
"P27","Precio del dólar",0.013,0.024,0.025
"P27","Pobreza",0.027,0.187,0.074
"P27","Narcotráfico",0.013,0.008,0.012
"P27","Tarifas",0.001,0.029,0.039
"P27","Otro",0.022,0.073,0.041
"P27","No sabe",0.004,0.006,0
"P31","Sin deuda",0.378,0.248,0.336
"P31","Menos de 10%",0.169,0.141,0.165
"P31","Entre 10 y 20%",0.123,0.112,0.189
"P31","Entre 20 y 30%",0.092,0.089,0.083
"P31","Entre 30 y 40%",0.068,0.116,0.043
"P31","Mas del 40%",0.136,0.243,0.172
"P31","No sabe",0.034,0.051,0.012
"P32","Gran excedente habitual",0.018,0.002,0.004
"P32","Gran excedente excepcional",0.003,0.005,0.004
"P32","Pequeño excedente habitual",0.069,0.052,0.073
"P32","Pequeño excedente excepcional",0.075,0.039,0.082
"P32","Alcanza gastos familia",0.147,0.108,0.121
"P32","No alcanza gastos familia",0.093,0.14,0.114
"P32","Solo NBFamiliares",0.316,0.276,0.287
"P32","No alcanza NBFamiliares",0.256,0.375,0.309
"P32","No sabe",0.023,0.003,0.006
"P33","Muy buena",0.086,0.028,0.064
"P33","Buena",0.211,0.105,0.146
"P33","Ni buena ni mala",0.454,0.338,0.438
"P33","Mala",0.193,0.388,0.263
"P33","Muy mala",0.037,0.133,0.062
"P33","No sabe",0.019,0.008,0.027
"P34","Mejor",0.224,0.025,0.113
"P34","Igual",0.442,0.134,0.383
"P34","Peor",0.316,0.804,0.459
"P34","No sabe",0.018,0.037,0.045
"P35","Mejor",0.548,0.062,0.421
"P35","Igual",0.237,0.122,0.14
"P35","Peor",0.133,0.741,0.397
"P35","No sabe",0.082,0.075,0.042
"P36","Muy buena",0.087,0.046,0.053
"P36","Buena",0.119,0.036,0.058
"P36","Ni buena ni mala",0.304,0.135,0.329
"P36","Mala",0.349,0.345,0.356
"P36","Muy mala",0.123,0.432,0.204
"P36","No sabe",0.018,0.006,0
"P37","Mejor",0.419,0.036,0.319
"P37","Igual",0.298,0.082,0.177
"P37","Peor",0.211,0.823,0.416
"P37","No sabe",0.072,0.059,0.088
"P38","Mejor",0.678,0.086,0.398
"P38","Igual",0.15,0.112,0.16
"P38","Peor",0.111,0.734,0.399
"P38","No sabe",0.061,0.068,0.043
"P39","Muy buena",0.469,0.045,0.403
"P39","Buena",0.259,0.064,0.207
"P39","Ni buena ni mala",0.171,0.168,0.103
"P39","Mala",0.084,0.229,0.078
"P39","Muy mala",0.014,0.473,0.197
"P39","No sabe",0.003,0.021,0.012
"P41","Muy buena",0.433,0.028,0.325
"P41","Buena",0.282,0.063,0.216
"P41","Ni buena ni mala",0.147,0.18,0.15
"P41","Mala",0.08,0.285,0.108
"P41","Muy mala",0.045,0.425,0.198
"P41","No sabe",0.013,0.019,0.003
"P42","Muy buena",0.342,0.031,0.274
"P42","Buena",0.302,0.053,0.24
"P42","Ni buena ni mala",0.21,0.177,0.15
"P42","Mala",0.105,0.254,0.118
"P42","Muy mala",0.033,0.478,0.2
"P42","No sabe",0.008,0.007,0.018
"P43","Muy buena",0.462,0.038,0.312
"P43","Buena",0.272,0.079,0.213
"P43","Ni buena ni mala",0.17,0.197,0.125
"P43","Mala",0.069,0.282,0.154
"P43","Muy mala",0.022,0.388,0.183
"P43","No sabe",0.005,0.016,0.013
"P44","Muy buena",0.041,0.07,0.017
"P44","Buena",0.013,0.158,0.097
"P44","Ni buena ni mala",0.068,0.294,0.105
"P44","Mala",0.266,0.269,0.311
"P44","Muy mala",0.612,0.208,0.464
"P44","No sabe",0,0.001,0.006
"P45","Muy buena",0.043,0.365,0.196
"P45","Buena",0.011,0.19,0.1
"P45","Ni buena ni mala",0.057,0.156,0.062
"P45","Mala",0.238,0.145,0.144
"P45","Muy mala",0.65,0.137,0.476
"P45","No sabe",0.001,0.007,0.022
"P46","Muy buena",0.205,0.043,0.178
"P46","Buena",0.285,0.052,0.218
"P46","Ni buena ni mala",0.274,0.115,0.185
"P46","Mala",0.144,0.271,0.18
"P46","Muy mala",0.089,0.513,0.234
"P46","No sabe",0.003,0.006,0.005
"P47","Muy buena",0.068,0.041,0.085
"P47","Buena",0.136,0.081,0.1
"P47","Ni buena ni mala",0.286,0.35,0.241
"P47","Mala",0.274,0.305,0.318
"P47","Muy mala",0.217,0.195,0.212
"P47","No sabe",0.019,0.028,0.044
"P48","Muy buena",0.053,0.229,0.099
"P48","Buena",0.017,0.197,0.108
"P48","Ni buena ni mala",0.06,0.298,0.184
"P48","Mala",0.258,0.156,0.203
"P48","Muy mala",0.61,0.112,0.399
"P48","No sabe",0.002,0.008,0.007
"P49","Muy buena",0.154,0.033,0.316
"P49","Buena",0.249,0.069,0.16
"P49","Ni buena ni mala",0.343,0.236,0.17
"P49","Mala",0.153,0.246,0.155
"P49","Muy mala",0.095,0.398,0.164
"P49","No sabe",0.006,0.018,0.035
"P50","Muy buena",0.035,0.389,0.18
"P50","Buena",0.027,0.204,0.091
"P50","Ni buena ni mala",0.083,0.185,0.102
"P50","Mala",0.206,0.091,0.187
"P50","Muy mala",0.647,0.112,0.417
"P50","No sabe",0.002,0.019,0.023
"P51","Muy buena",0.268,0.033,0.27
"P51","Buena",0.247,0.057,0.224
"P51","Ni buena ni mala",0.339,0.22,0.169
"P51","Mala",0.044,0.173,0.078
"P51","Muy mala",0.083,0.484,0.24
"P51","No sabe",0.019,0.033,0.019
"P52","Muy buena",0.601,0.031,0.513
"P52","Buena",0.194,0.069,0.115
"P52","Ni buena ni mala",0.14,0.126,0.072
"P52","Mala",0.037,0.209,0.099
"P52","Muy mala",0.024,0.555,0.2
"P52","No sabe",0.004,0.01,0.001
"P53","Muy buena",0.493,0.048,0.286
"P53","Buena",0.259,0.066,0.308
"P53","Ni buena ni mala",0.159,0.133,0.088
"P53","Mala",0.039,0.21,0.069
"P53","Muy mala",0.046,0.541,0.249
"P53","No sabe",0.004,0.002,0
"P54","Muy buena",0.059,0.194,0.096
"P54","Buena",0.072,0.185,0.176
"P54","Ni buena ni mala",0.272,0.324,0.27
"P54","Mala",0.197,0.136,0.157
"P54","Muy mala",0.347,0.118,0.231
"P54","No sabe",0.053,0.043,0.07
"P55","Muy buena",0.022,0.05,0.05
"P55","Buena",0.029,0.202,0.16
"P55","Ni buena ni mala",0.183,0.45,0.244
"P55","Mala",0.184,0.115,0.126
"P55","Muy mala",0.52,0.13,0.313
"P55","No sabe",0.062,0.053,0.107
"P56","Muy buena",0.029,0.019,0.082
"P56","Buena",0.112,0.115,0.126
"P56","Ni buena ni mala",0.284,0.475,0.389
"P56","Mala",0.214,0.232,0.174
"P56","Muy mala",0.323,0.119,0.172
"P56","No sabe",0.038,0.04,0.057
"P58","Muy buena",0.555,0.052,0.423
"P58","Buena",0.191,0.081,0.208
"P58","Ni buena ni mala",0.127,0.182,0.098
"P58","Mala",0.052,0.179,0.034
"P58","Muy mala",0.064,0.466,0.221
"P58","No sabe",0.011,0.04,0.016
"P59","Muy buena",0.164,0.067,0.215
"P59","Buena",0.242,0.117,0.204
"P59","Ni buena ni mala",0.419,0.355,0.279
"P59","Mala",0.106,0.231,0.12
"P59","Muy mala",0.044,0.19,0.126
"P59","No sabe",0.025,0.04,0.056
"P60","Muy buena",0.28,0.014,0.191
"P60","Buena",0.279,0.064,0.235
"P60","Ni buena ni mala",0.311,0.172,0.194
"P60","Mala",0.081,0.16,0.053
"P60","Muy mala",0.029,0.56,0.308
"P60","No sabe",0.02,0.03,0.019
"P61","Muy buena",0.213,0.011,0.111
"P61","Buena",0.214,0.045,0.131
"P61","Ni buena ni mala",0.355,0.336,0.384
"P61","Mala",0.076,0.208,0.088
"P61","Muy mala",0.034,0.333,0.221
"P61","No sabe",0.108,0.067,0.065
"P64","Muy buena",0.057,0.045,0.077
"P64","Buena",0.115,0.088,0.107
"P64","Ni buena ni mala",0.42,0.467,0.497
"P64","Mala",0.169,0.169,0.115
"P64","Muy mala",0.117,0.143,0.131
"P64","No sabe",0.122,0.088,0.073
"P65","Radio",0.103,0.163,0.177
"P65","Televisión",0.385,0.34,0.406
"P65","Diario",0.055,0.067,0.057
"P65","Medio digital",0.239,0.206,0.203
"P65","Redes Sociales",0.188,0.176,0.097
"P65","Ninguno en particular",0.029,0.047,0.06
"P65","No sabe",0.001,0.001,0
"P66","Muy buena",0.062,0.06,0.067
"P66","Buena",0.091,0.226,0.16
"P66","Ni buena ni mala",0.246,0.39,0.411
"P66","Mala",0.34,0.199,0.248
"P66","Muy mala",0.238,0.112,0.099
"P66","No sabe",0.023,0.013,0.015
"P67","Muy buena",0.045,0.02,0.015
"P67","Buena",0.085,0.055,0.107
"P67","Ni buena ni mala",0.269,0.271,0.401
"P67","Mala",0.359,0.279,0.261
"P67","Muy mala",0.229,0.371,0.214
"P67","No sabe",0.013,0.004,0.002
