"var","categoria","Mejor","Igual","Peor","No sabe"
"P10","Siempre",0.181,0.202,0.189,0.183
"P10","Casi siempre",0.296,0.326,0.303,0.283
"P10","Casi nunca",0.354,0.333,0.357,0.348
"P10","Nunca, pero esta es una excepción",0.169,0.139,0.151,0.186
"P11","El gobierno de Javier Milei",0.021,0.16,0.614,0.123
"P11","El gobierno de Alberto Fernández",0.876,0.661,0.129,0.499
"P11","Ambos",0.07,0.139,0.209,0.267
"P11","No sabe",0.033,0.04,0.048,0.111
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.236,0.198,0.115,0.167
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.368,0.459,0.261,0.396
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.181,0.126,0.086,0.161
"P12","Retirarla y no presentar nada",0.025,0.093,0.467,0.118
"P12","Volverla a presentar igual",0.155,0.06,0.016,0.068
"P12","No sabe",0.035,0.064,0.055,0.09
"P13","Javier Milei",0.836,0.565,0.12,0.433
"P13","Los gobernadores",0.08,0.29,0.774,0.293
"P13","No sabe",0.084,0.145,0.106,0.274
"P14","Muy de acuerdo",0.077,0.136,0.46,0.151
"P14","De acuerdo",0.059,0.112,0.234,0.08
"P14","Ni de acuerdo ni en desacuerdo",0.151,0.277,0.189,0.375
"P14","En desacuerdo",0.372,0.295,0.072,0.277
"P14","Muy en desacuerdo",0.325,0.143,0.033,0.084
"P14","No sabe",0.016,0.037,0.012,0.033
"P15","Muy de acuerdo",0.705,0.44,0.115,0.288
"P15","De acuerdo",0.147,0.214,0.104,0.162
"P15","Ni de acuerdo ni en desacuerdo",0.079,0.218,0.291,0.349
"P15","En desacuerdo",0.035,0.074,0.278,0.103
"P15","Muy en desacuerdo",0.022,0.033,0.143,0.048
"P15","No sabe",0.012,0.021,0.069,0.05
"P16","Muy positivo",0.802,0.42,0.084,0.355
"P16","Positivo",0.122,0.22,0.076,0.139
"P16","Ni positivo ni negativo",0.044,0.205,0.201,0.358
"P16","Negativo",0.009,0.077,0.318,0.066
"P16","Muy negativo",0.015,0.056,0.307,0.039
"P16","No sabe",0.008,0.022,0.014,0.043
"P17","Si",0.57,0.386,0.221,0.43
"P17","No",0.362,0.563,0.725,0.453
"P17","No sabe",0.068,0.051,0.054,0.117
"P18","Salva muchas vidas",0.314,0.186,0.118,0.28
"P18","Logra disminuir la cantidad de abortos que se producen",0.13,0.216,0.111,0.065
"P18","Representa una reasignación del gasto público en algo más necesario",0.221,0.184,0.076,0.192
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.158,0.18,0.299,0.162
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.109,0.159,0.369,0.215
"P18","No sabe",0.068,0.075,0.027,0.086
"P20","Si",0.779,0.628,0.152,0.519
"P20","No",0.077,0.283,0.739,0.417
"P20","No sabe",0.144,0.089,0.109,0.064
"P21","Logra disminuir los cargos militantes presentes en el estado",0.364,0.236,0.085,0.317
"P21","Evita la manipulación de la información por parte del estado",0.154,0.264,0.12,0.145
"P21","Representa una reasignación del gasto público en algo más necesario",0.283,0.2,0.077,0.164
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.116,0.161,0.423,0.243
"P21","Es parte de la persecución ideológica",0.049,0.119,0.272,0.076
"P21","No sabe",0.034,0.02,0.023,0.055
"P23","Si",0.847,0.647,0.231,0.594
"P23","No",0.055,0.254,0.683,0.336
"P23","No sabe",0.098,0.099,0.086,0.07
"P24","Es parte de una persecución ideológica",0.074,0.08,0.243,0.08
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.05,0.178,0.391,0.199
"P24","Representa una reasignación del gasto público en algo mas necesario",0.327,0.21,0.131,0.254
"P24","Logra disminuir los cargos militantes presentes en el estado",0.386,0.36,0.127,0.264
"P24","Contribuye a la libertad de pensamiento",0.15,0.128,0.098,0.152
"P24","No sabe",0.013,0.044,0.01,0.051
"P27","Inflación",0.218,0.256,0.313,0.198
"P27","Desempleo",0.054,0.121,0.136,0.099
"P27","Corrupción",0.533,0.37,0.151,0.322
"P27","Inseguridad",0.112,0.119,0.085,0.131
"P27","Precio del dólar",0.015,0.007,0.029,0.029
"P27","Pobreza",0.025,0.068,0.166,0.098
"P27","Narcotráfico",0.008,0.02,0.01,0.013
"P27","Tarifas",0.007,0.009,0.038,0.007
"P27","Otro",0.022,0.025,0.065,0.08
"P27","No sabe",0.006,0.005,0.007,0.023
"P31","Sin deuda",0.398,0.359,0.242,0.223
"P31","Menos de 10%",0.161,0.181,0.141,0.133
"P31","Entre 10 y 20%",0.125,0.145,0.11,0.152
"P31","Entre 20 y 30%",0.083,0.074,0.117,0.084
"P31","Entre 30 y 40%",0.07,0.077,0.1,0.086
"P31","Mas del 40%",0.134,0.126,0.238,0.216
"P31","No sabe",0.029,0.038,0.052,0.106
"P32","Gran excedente habitual",0.015,0.012,0.004,0.002
