"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P10","Siempre",0.218,0.182,0.155,0.178,0.176,0.153
"P10","Casi siempre",0.307,0.334,0.25,0.285,0.296,0.207
"P10","Casi nunca",0.333,0.31,0.382,0.352,0.341,0.356
"P10","Nunca, pero esta es una excepción",0.142,0.174,0.213,0.185,0.187,0.284
"P11","El gobierno de Javier Milei",0.633,0.444,0.241,0.064,0.041,0.154
"P11","El gobierno de Alberto Fernández",0.175,0.227,0.419,0.82,0.89,0.455
"P11","Ambos",0.158,0.269,0.249,0.089,0.032,0.146
"P11","No sabe",0.034,0.06,0.091,0.027,0.037,0.245
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.121,0.144,0.173,0.232,0.216,0.08
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.257,0.345,0.357,0.442,0.323,0.194
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.076,0.095,0.146,0.148,0.198,0.149
"P12","Retirarla y no presentar nada",0.485,0.37,0.148,0.042,0.02,0.125
"P12","Volverla a presentar igual",0.026,0.022,0.038,0.105,0.19,0.092
"P12","No sabe",0.035,0.024,0.138,0.031,0.053,0.36
"P13","Javier Milei",0.209,0.122,0.347,0.767,0.852,0.331
"P13","Los gobernadores",0.734,0.797,0.345,0.113,0.069,0.212
"P13","No sabe",0.057,0.081,0.308,0.12,0.079,0.457
"P15","Muy de acuerdo",0.215,0.13,0.226,0.596,0.735,0.277
"P15","De acuerdo",0.089,0.174,0.173,0.187,0.11,0.163
"P15","Ni de acuerdo ni en desacuerdo",0.227,0.298,0.423,0.099,0.029,0.163
"P15","En desacuerdo",0.289,0.238,0.093,0.098,0.013,0.06
"P15","Muy en desacuerdo",0.122,0.124,0.039,0.005,0.106,0.018
"P15","No sabe",0.058,0.036,0.046,0.015,0.007,0.319
"P16","Muy positivo",0.179,0.111,0.263,0.592,0.773,0.201
"P16","Positivo",0.054,0.132,0.169,0.219,0.139,0.178
"P16","Ni positivo ni negativo",0.159,0.234,0.338,0.109,0.058,0.143
"P16","Negativo",0.31,0.265,0.138,0.049,0.006,0.069
"P16","Muy negativo",0.286,0.229,0.039,0.022,0.018,0.062
"P16","No sabe",0.012,0.029,0.053,0.009,0.006,0.347
"P17","Si",0.309,0.219,0.297,0.521,0.635,0.242
"P17","No",0.64,0.717,0.637,0.399,0.309,0.721
"P17","No sabe",0.051,0.064,0.066,0.08,0.056,0.037
"P18","Salva muchas vidas",0.162,0.148,0.197,0.259,0.289,0.139
"P18","Logra disminuir la cantidad de abortos que se producen",0.127,0.201,0.152,0.136,0.143,0.121
"P18","Representa una reasignación del gasto público en algo más necesario",0.095,0.055,0.167,0.209,0.242,0.013
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.261,0.312,0.218,0.175,0.164,0.207
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.322,0.279,0.175,0.12,0.091,0.393
"P18","No sabe",0.033,0.005,0.091,0.101,0.071,0.127
"P20","Si",0.212,0.225,0.454,0.71,0.841,0.358
"P20","No",0.684,0.715,0.442,0.173,0.045,0.609
"P20","No sabe",0.104,0.06,0.104,0.117,0.114,0.033
"P21","Logra disminuir los cargos militantes presentes en el estado",0.124,0.137,0.174,0.322,0.347,0.351
"P21","Evita la manipulación de la información por parte del estado",0.088,0.228,0.185,0.17,0.189,0.157
"P21","Representa una reasignación del gasto público en algo más necesario",0.062,0.051,0.185,0.279,0.278,0.102
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.366,0.377,0.252,0.139,0.104,0.175
"P21","Es parte de la persecución ideológica",0.341,0.18,0.106,0.054,0.075,0.097
"P21","No sabe",0.019,0.027,0.098,0.036,0.007,0.118
"P23","Si",0.274,0.256,0.469,0.813,0.885,0.386
"P23","No",0.618,0.624,0.456,0.108,0.034,0.424
"P23","No sabe",0.108,0.12,0.075,0.079,0.081,0.19
"P24","Es parte de una persecución ideológica",0.284,0.174,0.102,0.061,0.077,0.144
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.326,0.364,0.309,0.097,0.008,0.368
"P24","Representa una reasignación del gasto público en algo mas necesario",0.118,0.102,0.239,0.309,0.255,0.394
"P24","Logra disminuir los cargos militantes presentes en el estado",0.133,0.253,0.189,0.408,0.426,0.081
"P24","Contribuye a la libertad de pensamiento",0.126,0.081,0.124,0.11,0.225,0
"P24","No sabe",0.013,0.026,0.037,0.015,0.009,0.013
"P27","Inflación",0.324,0.305,0.241,0.227,0.211,0.176
"P27","Desempleo",0.14,0.153,0.133,0.051,0.036,0.117
"P27","Corrupción",0.174,0.177,0.285,0.485,0.581,0.239
"P27","Inseguridad",0.077,0.105,0.123,0.133,0.084,0.098
"P27","Precio del dólar",0.016,0.028,0.022,0.01,0.021,0.046
"P27","Pobreza",0.144,0.151,0.104,0.033,0.037,0.08
"P27","Narcotráfico",0.007,0.007,0.018,0.017,0.004,0
"P27","Tarifas",0.044,0.025,0.011,0.009,0.002,0.024
"P27","Otro",0.069,0.047,0.046,0.023,0.021,0.129
"P27","No sabe",0.005,0.002,0.017,0.012,0.003,0.091
"P31","Sin deuda",0.263,0.299,0.268,0.367,0.406,0.225
"P31","Menos de 10%",0.128,0.174,0.15,0.172,0.16,0.078
"P31","Entre 10 y 20%",0.118,0.13,0.13,0.12,0.136,0.01
"P31","Entre 20 y 30%",0.105,0.123,0.087,0.103,0.072,0.057
"P31","Entre 30 y 40%",0.094,0.089,0.086,0.073,0.077,0.066
"P31","Mas del 40%",0.255,0.158,0.177,0.133,0.117,0.408
"P31","No sabe",0.037,0.027,0.102,0.032,0.032,0.156
"P32","Gran excedente habitual",0.004,0.007,0.001,0.008,0.028,0.011
"P32","Gran excedente excepcional",0.004,0.001,0.01,0.003,0.01,0.003
"P32","Pequeño excedente habitual",0.047,0.057,0.037,0.054,0.105,0
"P32","Pequeño excedente excepcional",0.041,0.053,0.039,0.06,0.105,0.1
"P32","Alcanza gastos familia",0.091,0.134,0.088,0.184,0.203,0.072
"P32","No alcanza gastos familia",0.128,0.149,0.133,0.133,0.091,0.091
"P32","Solo NBFamiliares",0.229,0.278,0.287,0.312,0.291,0.316
"P32","No alcanza NBFamiliares",0.448,0.31,0.399,0.228,0.149,0.348
"P32","No sabe",0.008,0.011,0.006,0.018,0.018,0.059
"P33","Muy buena",0.04,0.047,0.043,0.055,0.058,0.046
"P33","Buena",0.112,0.16,0.1,0.177,0.245,0.033
"P33","Ni buena ni mala",0.303,0.392,0.432,0.462,0.437,0.393
"P33","Mala",0.403,0.3,0.32,0.252,0.196,0.269
"P33","Muy mala",0.131,0.086,0.094,0.049,0.055,0.205
"P33","No sabe",0.011,0.015,0.011,0.005,0.009,0.054
"P34","Mejor",0.039,0.082,0.075,0.146,0.207,0.112
"P34","Igual",0.112,0.141,0.288,0.477,0.505,0.324
"P34","Peor",0.819,0.737,0.576,0.348,0.257,0.539
"P34","No sabe",0.03,0.04,0.061,0.029,0.031,0.025
"P35","Mejor",0.098,0.133,0.232,0.526,0.691,0.261
"P35","Igual",0.099,0.144,0.24,0.236,0.171,0.337
"P35","Peor",0.749,0.673,0.369,0.13,0.088,0.255
"P35","No sabe",0.054,0.05,0.159,0.108,0.05,0.147
"P36","Muy buena",0.049,0.073,0.044,0.05,0.07,0.022
"P36","Buena",0.05,0.072,0.064,0.123,0.126,0.06
