"var","categoria","Salva muchas vidas","Logra disminuir la cantidad de abortos que se producen","Representa una reasignación del gasto público en algo más necesario","Deja desprotegidas a las mujeres que lo hacen clandestinamente","Representa un retroceso en la lucha de los derechos de las mujeres","No sabe"
"P10","Siempre",0.162,0.239,0.18,0.184,0.192,0.183
"P10","Casi siempre",0.286,0.324,0.258,0.307,0.3,0.306
"P10","Casi nunca",0.354,0.295,0.381,0.337,0.355,0.289
"P10","Nunca, pero esta es una excepción",0.198,0.142,0.181,0.172,0.153,0.222
"P11","El gobierno de Javier Milei",0.206,0.285,0.149,0.377,0.499,0.163
"P11","El gobierno de Alberto Fernández",0.607,0.48,0.707,0.406,0.28,0.615
"P11","Ambos",0.128,0.177,0.089,0.168,0.183,0.112
"P11","No sabe",0.059,0.058,0.055,0.049,0.038,0.11
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.183,0.149,0.254,0.16,0.137,0.134
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.317,0.397,0.348,0.363,0.319,0.332
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.173,0.143,0.195,0.09,0.058,0.171
"P12","Retirarla y no presentar nada",0.139,0.224,0.075,0.317,0.403,0.103
"P12","Volverla a presentar igual",0.126,0.05,0.082,0.039,0.033,0.062
"P12","No sabe",0.062,0.037,0.046,0.031,0.05,0.198
"P13","Javier Milei",0.545,0.4,0.725,0.347,0.269,0.579
"P13","Los gobernadores",0.298,0.445,0.138,0.518,0.637,0.125
"P13","No sabe",0.157,0.155,0.137,0.135,0.094,0.296
"P14","Muy de acuerdo",0.195,0.217,0.158,0.292,0.388,0.127
"P14","De acuerdo",0.094,0.179,0.048,0.182,0.176,0.01
"P14","Ni de acuerdo ni en desacuerdo",0.222,0.241,0.259,0.226,0.197,0.322
"P14","En desacuerdo",0.28,0.207,0.311,0.175,0.129,0.342
"P14","Muy en desacuerdo",0.192,0.135,0.222,0.101,0.061,0.149
"P14","No sabe",0.017,0.021,0.002,0.024,0.049,0.05
"P15","Muy de acuerdo",0.51,0.281,0.546,0.312,0.251,0.446
"P15","De acuerdo",0.158,0.191,0.115,0.14,0.128,0.155
"P15","Ni de acuerdo ni en desacuerdo",0.145,0.291,0.216,0.254,0.201,0.242
"P15","En desacuerdo",0.109,0.166,0.078,0.177,0.245,0.091
"P15","Muy en desacuerdo",0.051,0.06,0.036,0.08,0.133,0.04
"P15","No sabe",0.027,0.011,0.009,0.037,0.042,0.026
"P16","Muy positivo",0.51,0.294,0.596,0.281,0.199,0.448
"P16","Positivo",0.147,0.18,0.154,0.142,0.116,0.16
"P16","Ni positivo ni negativo",0.175,0.256,0.165,0.188,0.157,0.204
"P16","Negativo",0.104,0.192,0.068,0.194,0.205,0.128
"P16","Muy negativo",0.051,0.058,0.006,0.166,0.285,0.015
"P16","No sabe",0.013,0.02,0.011,0.029,0.038,0.045
"P17","Si",0.617,0.342,0.676,0.143,0.22,0.376
"P17","No",0.309,0.596,0.26,0.805,0.715,0.574
"P17","No sabe",0.074,0.062,0.064,0.052,0.065,0.05
"P20","Si",0.594,0.444,0.759,0.323,0.261,0.696
"P20","No",0.272,0.455,0.181,0.576,0.636,0.229
"P20","No sabe",0.134,0.101,0.06,0.101,0.103,0.075
"P21","Logra disminuir los cargos militantes presentes en el estado",0.328,0.185,0.278,0.153,0.128,0.319
"P21","Evita la manipulación de la información por parte del estado",0.148,0.279,0.16,0.171,0.086,0.201
"P21","Representa una reasignación del gasto público en algo más necesario",0.183,0.156,0.324,0.112,0.099,0.183
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.178,0.23,0.138,0.347,0.344,0.147
"P21","Es parte de la persecución ideológica",0.105,0.125,0.077,0.18,0.311,0.036
"P21","No sabe",0.058,0.025,0.023,0.037,0.032,0.114
"P23","Si",0.642,0.509,0.81,0.357,0.346,0.736
"P23","No",0.241,0.436,0.102,0.567,0.533,0.174
"P23","No sabe",0.117,0.055,0.088,0.076,0.121,0.09
"P24","Es parte de una persecución ideológica",0.121,0.106,0.043,0.156,0.282,0.064
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.171,0.176,0.084,0.345,0.324,0.113
"P24","Representa una reasignación del gasto público en algo mas necesario",0.235,0.183,0.349,0.15,0.158,0.235
"P24","Logra disminuir los cargos militantes presentes en el estado",0.285,0.367,0.359,0.243,0.116,0.411
"P24","Contribuye a la libertad de pensamiento",0.166,0.13,0.151,0.089,0.114,0.124
"P24","No sabe",0.022,0.038,0.014,0.017,0.006,0.053
"P27","Inflación",0.237,0.215,0.221,0.285,0.335,0.17
"P27","Desempleo",0.123,0.169,0.045,0.114,0.1,0.05
"P27","Corrupción",0.432,0.321,0.482,0.238,0.2,0.473
"P27","Inseguridad",0.102,0.124,0.17,0.076,0.078,0.122
"P27","Precio del dólar",0.018,0.016,0.04,0.012,0.01,0.028
"P27","Pobreza",0.032,0.066,0.007,0.182,0.172,0.066
"P27","Narcotráfico",0.018,0.015,0.006,0.016,0.003,0.008
"P27","Tarifas",0.012,0.01,0.002,0.02,0.034,0.014
"P27","Otro",0.023,0.056,0.023,0.049,0.067,0.069
"P27","No sabe",0.003,0.008,0.004,0.008,0.001,0
"P31","Sin deuda",0.354,0.299,0.333,0.314,0.313,0.243
"P31","Menos de 10%",0.178,0.187,0.132,0.146,0.143,0.173
"P31","Entre 10 y 20%",0.131,0.101,0.137,0.115,0.125,0.177
"P31","Entre 20 y 30%",0.071,0.127,0.091,0.091,0.087,0.074
"P31","Entre 30 y 40%",0.101,0.081,0.081,0.092,0.07,0.085
"P31","Mas del 40%",0.117,0.177,0.16,0.218,0.224,0.238
"P31","No sabe",0.048,0.028,0.066,0.024,0.038,0.01
"P32","Gran excedente habitual",0.005,0.014,0.023,0.009,0.005,0.002
"P32","Gran excedente excepcional",0.005,0,0.006,0.002,0.003,0.019
"P32","Pequeño excedente habitual",0.052,0.064,0.073,0.063,0.071,0.038
"P32","Pequeño excedente excepcional",0.078,0.056,0.031,0.068,0.046,0.123
"P32","Alcanza gastos familia",0.091,0.101,0.151,0.159,0.119,0.184
"P32","No alcanza gastos familia",0.117,0.115,0.065,0.155,0.125,0.043
"P32","Solo NBFamiliares",0.304,0.354,0.262,0.259,0.316,0.286
"P32","No alcanza NBFamiliares",0.339,0.295,0.337,0.281,0.311,0.288
"P32","No sabe",0.009,0.001,0.052,0.004,0.004,0.017
"P33","Muy buena",0.11,0.034,0.074,0.029,0.06,0.008
"P33","Buena",0.198,0.173,0.143,0.144,0.144,0.173
"P33","Ni buena ni mala",0.432,0.412,0.444,0.383,0.363,0.417
"P33","Mala",0.211,0.269,0.272,0.303,0.324,0.342
"P33","Muy mala",0.046,0.083,0.043,0.111,0.108,0.051
"P33","No sabe",0.003,0.029,0.024,0.03,0.001,0.009
"P34","Mejor",0.232,0.106,0.196,0.074,0.063,0.116
"P34","Igual",0.316,0.398,0.475,0.241,0.171,0.457
"P34","Peor",0.43,0.462,0.304,0.628,0.76,0.394
"P34","No sabe",0.022,0.034,0.025,0.057,0.006,0.033
"P35","Mejor",0.503,0.326,0.483,0.238,0.156,0.421
