"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.112,0.127,0.097,0.134,0.117,0.094,0.093,0.141,0.104,0.095,0.069,0.123,0.213,0.144,0.113,0.047,0.093,0.058,0.09,6
"Buena",0.177,0.206,0.15,0.194,0.162,0.178,0.187,0.178,0.172,0.183,0.093,0.253,0.247,0.202,0.205,0.216,0.141,0.091,0.231,6
"Ni buena ni mala",0.398,0.368,0.427,0.383,0.38,0.426,0.42,0.375,0.441,0.366,0.386,0.426,0.313,0.368,0.403,0.427,0.417,0.366,0.457,6
"Mala",0.147,0.143,0.15,0.15,0.155,0.14,0.133,0.125,0.14,0.175,0.215,0.09,0.115,0.153,0.112,0.145,0.155,0.23,0.11,6
"Muy mala",0.12,0.127,0.113,0.102,0.14,0.107,0.119,0.103,0.102,0.157,0.186,0.07,0.068,0.107,0.098,0.114,0.14,0.196,0.094,6
"No sabe",0.046,0.029,0.063,0.037,0.046,0.055,0.048,0.078,0.041,0.024,0.051,0.038,0.044,0.026,0.069,0.051,0.054,0.059,0.018,6
"Positiva",0.289,0.333,0.247,0.328,0.279,0.272,0.28,0.319,0.276,0.278,0.162,0.376,0.46,0.346,0.318,0.263,0.234,0.149,0.321,4
"Neutra",0.398,0.368,0.427,0.383,0.38,0.426,0.42,0.375,0.441,0.366,0.386,0.426,0.313,0.368,0.403,0.427,0.417,0.366,0.457,4
"Negativa",0.267,0.27,0.263,0.252,0.295,0.247,0.252,0.228,0.242,0.332,0.401,0.16,0.183,0.26,0.21,0.259,0.295,0.426,0.204,4
"No sabe",0.046,0.029,0.063,0.037,0.046,0.055,0.048,0.078,0.041,0.024,0.051,0.038,0.044,0.026,0.069,0.051,0.054,0.059,0.018,4
"Positiva",0.513,0.539,0.488,0.552,0.492,0.486,0.542,0.535,0.543,0.457,0.29,0.689,0.659,0.549,0.577,0.526,0.457,0.256,0.694,2
"Negativa",0.441,0.432,0.449,0.411,0.462,0.459,0.41,0.388,0.416,0.519,0.659,0.273,0.297,0.426,0.354,0.422,0.489,0.692,0.264,2
"No sabe",0.046,0.029,0.063,0.037,0.046,0.055,0.048,0.077,0.041,0.024,0.051,0.038,0.044,0.025,0.069,0.052,0.054,0.052,0.042,2
