"var","categoria","Logra disminuir los cargos militantes presentes en el estado","Evita la manipulación de la información por parte del estado","Representa una reasignación del gasto público en algo más necesario","Constituye una grave violación al derecho de libertad de expresión en Argentina","Es parte de la persecución ideológica","No sabe"
"P10","Siempre",0.201,0.171,0.162,0.212,0.215,0.133
"P10","Casi siempre",0.266,0.274,0.334,0.319,0.283,0.245
"P10","Casi nunca",0.36,0.355,0.367,0.336,0.335,0.357
"P10","Nunca, pero esta es una excepción",0.173,0.2,0.137,0.133,0.167,0.265
"P11","El gobierno de Javier Milei",0.1,0.228,0.125,0.503,0.595,0.297
"P11","El gobierno de Alberto Fernández",0.707,0.563,0.776,0.276,0.2,0.379
"P11","Ambos",0.094,0.149,0.084,0.173,0.171,0.281
"P11","No sabe",0.099,0.06,0.015,0.048,0.034,0.043
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.199,0.228,0.25,0.086,0.102,0.214
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.387,0.428,0.37,0.311,0.298,0.215
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.199,0.126,0.202,0.084,0.056,0.084
"P12","Retirarla y no presentar nada",0.047,0.158,0.044,0.426,0.48,0.281
"P12","Volverla a presentar igual",0.113,0.053,0.114,0.038,0.058,0.029
"P12","No sabe",0.055,0.007,0.02,0.055,0.006,0.177
"P13","Javier Milei",0.689,0.461,0.723,0.268,0.23,0.271
"P13","Los gobernadores",0.155,0.41,0.118,0.652,0.698,0.39
"P13","No sabe",0.156,0.129,0.159,0.08,0.072,0.339
"P14","Muy de acuerdo",0.144,0.136,0.093,0.37,0.541,0.113
"P14","De acuerdo",0.087,0.193,0.041,0.209,0.157,0.091
"P14","Ni de acuerdo ni en desacuerdo",0.171,0.245,0.238,0.218,0.143,0.508
"P14","En desacuerdo",0.334,0.237,0.378,0.127,0.077,0.196
"P14","Muy en desacuerdo",0.226,0.166,0.236,0.059,0.067,0.024
"P14","No sabe",0.038,0.023,0.014,0.017,0.015,0.068
"P15","Muy de acuerdo",0.631,0.345,0.583,0.199,0.245,0.281
"P15","De acuerdo",0.144,0.246,0.153,0.123,0.061,0.189
"P15","Ni de acuerdo ni en desacuerdo",0.119,0.232,0.178,0.238,0.237,0.376
"P15","En desacuerdo",0.043,0.111,0.054,0.253,0.294,0.1
"P15","Muy en desacuerdo",0.052,0.04,0.019,0.134,0.145,0.034
"P15","No sabe",0.011,0.026,0.013,0.053,0.018,0.02
"P16","Muy positivo",0.636,0.368,0.606,0.172,0.233,0.225
"P16","Positivo",0.166,0.217,0.164,0.104,0.065,0.081
"P16","Ni positivo ni negativo",0.134,0.193,0.179,0.17,0.115,0.358
"P16","Negativo",0.028,0.145,0.032,0.279,0.247,0.208
"P16","Muy negativo",0.022,0.059,0.008,0.258,0.321,0.011
"P16","No sabe",0.014,0.018,0.011,0.017,0.019,0.117
"P17","Si",0.548,0.403,0.54,0.201,0.309,0.175
"P17","No",0.369,0.544,0.392,0.746,0.653,0.786
"P17","No sabe",0.083,0.053,0.068,0.053,0.038,0.039
"P18","Salva muchas vidas",0.322,0.196,0.234,0.153,0.142,0.302
"P18","Logra disminuir la cantidad de abortos que se producen",0.114,0.231,0.126,0.124,0.106,0.081
"P18","Representa una reasignación del gasto público en algo más necesario",0.198,0.153,0.301,0.086,0.075,0.089
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.155,0.234,0.148,0.31,0.252,0.2
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.123,0.111,0.125,0.291,0.411,0.162
"P18","No sabe",0.088,0.075,0.066,0.036,0.014,0.166
"P20","Si",0.77,0.468,0.753,0.216,0.248,0.293
"P20","No",0.149,0.419,0.154,0.676,0.65,0.588
"P20","No sabe",0.081,0.113,0.093,0.108,0.102,0.119
"P23","Si",0.8,0.559,0.751,0.283,0.311,0.379
"P23","No",0.127,0.366,0.145,0.602,0.607,0.437
"P23","No sabe",0.073,0.075,0.104,0.115,0.082,0.184
"P24","Es parte de una persecución ideológica",0.091,0.094,0.039,0.166,0.373,0.052
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.085,0.18,0.059,0.473,0.255,0.195
"P24","Representa una reasignación del gasto público en algo mas necesario",0.217,0.2,0.398,0.122,0.108,0.48
"P24","Logra disminuir los cargos militantes presentes en el estado",0.376,0.39,0.38,0.135,0.134,0.071
"P24","Contribuye a la libertad de pensamiento",0.21,0.111,0.105,0.095,0.119,0.078
"P24","No sabe",0.021,0.025,0.019,0.009,0.011,0.124
"P27","Inflación",0.242,0.23,0.235,0.291,0.305,0.224
"P27","Desempleo",0.057,0.141,0.043,0.14,0.14,0.136
"P27","Corrupción",0.482,0.367,0.461,0.201,0.18,0.256
"P27","Inseguridad",0.124,0.136,0.167,0.044,0.077,0.148
