"var","categoria","Mejor","Igual","Peor","No sabe"
"P10","Siempre",0.187,0.204,0.194,0.149
"P10","Casi siempre",0.304,0.318,0.316,0.241
"P10","Casi nunca",0.349,0.349,0.339,0.378
"P10","Nunca, pero esta es una excepción",0.16,0.129,0.151,0.232
"P11","El gobierno de Javier Milei",0.021,0.162,0.622,0.135
"P11","El gobierno de Alberto Fernández",0.887,0.596,0.114,0.485
"P11","Ambos",0.058,0.189,0.225,0.217
"P11","No sabe",0.034,0.053,0.039,0.163
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.232,0.187,0.112,0.162
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.385,0.452,0.259,0.381
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.178,0.125,0.089,0.123
"P12","Retirarla y no presentar nada",0.027,0.104,0.479,0.101
"P12","Volverla a presentar igual",0.143,0.07,0.013,0.082
"P12","No sabe",0.035,0.062,0.048,0.151
"P13","Javier Milei",0.844,0.523,0.095,0.423
"P13","Los gobernadores",0.07,0.301,0.806,0.285
"P13","No sabe",0.086,0.176,0.099,0.292
"P14","Muy de acuerdo",0.065,0.153,0.474,0.143
"P14","De acuerdo",0.046,0.14,0.233,0.117
"P14","Ni de acuerdo ni en desacuerdo",0.147,0.306,0.197,0.391
"P14","En desacuerdo",0.389,0.254,0.06,0.246
"P14","Muy en desacuerdo",0.333,0.104,0.019,0.094
"P14","No sabe",0.02,0.043,0.017,0.009
"P15","Muy de acuerdo",0.687,0.377,0.114,0.302
"P15","De acuerdo",0.163,0.232,0.089,0.164
"P15","Ni de acuerdo ni en desacuerdo",0.083,0.253,0.305,0.328
"P15","En desacuerdo",0.031,0.069,0.288,0.091
"P15","Muy en desacuerdo",0.024,0.032,0.137,0.067
"P15","No sabe",0.012,0.037,0.067,0.048
"P16","Muy positivo",0.753,0.363,0.078,0.306
"P16","Positivo",0.158,0.263,0.038,0.172
"P16","Ni positivo ni negativo",0.064,0.224,0.206,0.351
"P16","Negativo",0.008,0.079,0.329,0.109
"P16","Muy negativo",0.01,0.057,0.328,0.016
"P16","No sabe",0.007,0.014,0.021,0.046
"P17","Si",0.553,0.448,0.179,0.321
"P17","No",0.371,0.495,0.768,0.589
"P17","No sabe",0.076,0.057,0.053,0.09
"P18","Salva muchas vidas",0.269,0.248,0.121,0.241
"P18","Logra disminuir la cantidad de abortos que se producen",0.141,0.155,0.117,0.122
"P18","Representa una reasignación del gasto público en algo más necesario",0.239,0.175,0.052,0.156
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.153,0.18,0.312,0.203
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.115,0.198,0.373,0.209
"P18","No sabe",0.083,0.044,0.025,0.069
"P20","Si",0.795,0.518,0.128,0.461
"P20","No",0.091,0.347,0.76,0.46
"P20","No sabe",0.114,0.135,0.112,0.079
"P21","Logra disminuir los cargos militantes presentes en el estado",0.361,0.253,0.065,0.33
"P21","Evita la manipulación de la información por parte del estado",0.19,0.194,0.116,0.146
"P21","Representa una reasignación del gasto público en algo más necesario",0.274,0.252,0.063,0.073
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.101,0.122,0.446,0.31
"P21","Es parte de la persecución ideológica",0.054,0.127,0.289,0.066
"P21","No sabe",0.02,0.052,0.021,0.075
"P23","Si",0.876,0.548,0.177,0.677
"P23","No",0.063,0.3,0.728,0.275
"P23","No sabe",0.061,0.152,0.095,0.048
"P24","Es parte de una persecución ideológica",0.065,0.106,0.256,0.072
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.052,0.127,0.423,0.265
"P24","Representa una reasignación del gasto público en algo mas necesario",0.302,0.311,0.12,0.136
"P24","Logra disminuir los cargos militantes presentes en el estado",0.401,0.29,0.109,0.249
"P24","Contribuye a la libertad de pensamiento",0.161,0.142,0.075,0.232
"P24","No sabe",0.019,0.024,0.017,0.046
"P27","Inflación",0.214,0.262,0.32,0.229
"P27","Desempleo",0.059,0.1,0.147,0.103
"P27","Corrupción",0.532,0.341,0.136,0.307
"P27","Inseguridad",0.106,0.17,0.07,0.148
"P27","Precio del dólar",0.015,0.013,0.024,0.056
"P27","Pobreza",0.035,0.043,0.175,0.058
"P27","Narcotráfico",0.013,0.01,0.011,0.014
"P27","Tarifas",0.007,0.007,0.039,0.011
"P27","Otro",0.016,0.047,0.07,0.06
"P27","No sabe",0.003,0.007,0.008,0.014
"P31","Sin deuda",0.397,0.314,0.239,0.257
"P31","Menos de 10%",0.169,0.203,0.131,0.135
"P31","Entre 10 y 20%",0.131,0.144,0.116,0.154
"P31","Entre 20 y 30%",0.079,0.095,0.107,0.09
"P31","Entre 30 y 40%",0.066,0.069,0.099,0.115
"P31","Mas del 40%",0.128,0.133,0.251,0.158
"P31","No sabe",0.03,0.042,0.057,0.091
"P32","Gran excedente habitual",0.016,0.005,0.003,0.002
"P32","Gran excedente excepcional",0.008,0.003,0.005,0.001
"P32","Pequeño excedente habitual",0.074,0.057,0.046,0.032
"P32","Pequeño excedente excepcional",0.079,0.069,0.039,0.045
"P32","Alcanza gastos familia",0.179,0.129,0.099,0.097
"P32","No alcanza gastos familia",0.113,0.126,0.137,0.151
"P32","Solo NBFamiliares",0.314,0.335,0.235,0.277
"P32","No alcanza NBFamiliares",0.201,0.267,0.427,0.37
"P32","No sabe",0.016,0.009,0.009,0.025
"P33","Muy buena",0.072,0.051,0.033,0.016
"P33","Buena",0.222,0.183,0.089,0.066
"P33","Ni buena ni mala",0.471,0.447,0.315,0.428
