"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.108,0.109,0.107,0.085,0.092,0.139,0.136,0.125,0.108,0.091,0.046,0.191,0.086,0.116,0.129,0.092,0.095,0.04,0.205,6
"Buena",0.163,0.16,0.166,0.096,0.161,0.185,0.238,0.188,0.16,0.145,0.055,0.277,0.161,0.165,0.155,0.185,0.161,0.062,0.281,6
"Ni buena ni mala",0.278,0.271,0.285,0.331,0.254,0.253,0.289,0.294,0.302,0.233,0.217,0.308,0.311,0.275,0.336,0.366,0.246,0.188,0.295,6
"Mala",0.2,0.21,0.189,0.2,0.214,0.202,0.162,0.218,0.178,0.209,0.284,0.11,0.231,0.209,0.16,0.168,0.212,0.274,0.111,6
"Muy mala",0.234,0.239,0.23,0.268,0.259,0.206,0.169,0.15,0.237,0.311,0.379,0.098,0.202,0.212,0.198,0.177,0.276,0.414,0.098,6
"No sabe",0.017,0.011,0.023,0.02,0.02,0.015,0.006,0.025,0.015,0.011,0.019,0.016,0.009,0.023,0.022,0.012,0.01,0.022,0.01,6
"Positiva",0.271,0.269,0.273,0.181,0.253,0.324,0.374,0.313,0.268,0.236,0.101,0.468,0.247,0.281,0.284,0.277,0.256,0.102,0.486,4
"Neutra",0.278,0.271,0.285,0.331,0.254,0.253,0.289,0.294,0.302,0.233,0.217,0.308,0.311,0.275,0.336,0.366,0.246,0.188,0.295,4
"Negativa",0.434,0.449,0.419,0.468,0.473,0.408,0.331,0.368,0.415,0.52,0.663,0.208,0.433,0.421,0.358,0.345,0.488,0.688,0.209,4
"No sabe",0.017,0.011,0.023,0.02,0.02,0.015,0.006,0.025,0.015,0.011,0.019,0.016,0.009,0.023,0.022,0.012,0.01,0.022,0.01,4
"Positiva",0.411,0.4,0.423,0.332,0.385,0.465,0.518,0.451,0.432,0.349,0.157,0.673,0.407,0.427,0.428,0.457,0.385,0.127,0.639,2
"Negativa",0.572,0.589,0.555,0.648,0.595,0.52,0.475,0.524,0.553,0.64,0.823,0.311,0.584,0.55,0.55,0.531,0.604,0.856,0.347,2
"No sabe",0.017,0.011,0.022,0.02,0.02,0.015,0.007,0.025,0.015,0.011,0.02,0.016,0.009,0.023,0.022,0.012,0.011,0.017,0.014,2
