"var","categoria","Mejor","Igual","Peor","No sabe"
"P10","Siempre",0.224,0.179,0.184,0.127
"P10","Casi siempre",0.271,0.348,0.303,0.274
"P10","Casi nunca",0.332,0.309,0.366,0.398
"P10","Nunca, pero esta es una excepción",0.173,0.164,0.147,0.201
"P11","El gobierno de Javier Milei",0.049,0.041,0.512,0.167
"P11","El gobierno de Alberto Fernández",0.876,0.802,0.225,0.535
"P11","Ambos",0.045,0.095,0.223,0.168
"P11","No sabe",0.03,0.062,0.04,0.13
"P12","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.243,0.229,0.121,0.153
"P12","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.346,0.382,0.315,0.435
"P12","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.192,0.173,0.092,0.102
"P12","Retirarla y no presentar nada",0.021,0.047,0.393,0.159
"P12","Volverla a presentar igual",0.149,0.124,0.026,0.058
"P12","No sabe",0.049,0.045,0.053,0.093
"P13","Javier Milei",0.859,0.722,0.196,0.462
"P13","Los gobernadores",0.077,0.13,0.684,0.343
"P13","No sabe",0.064,0.148,0.12,0.195
"P14","Muy de acuerdo",0.068,0.096,0.388,0.218
"P14","De acuerdo",0.053,0.062,0.205,0.177
"P14","Ni de acuerdo ni en desacuerdo",0.134,0.255,0.22,0.198
"P14","En desacuerdo",0.373,0.376,0.113,0.2
"P14","Muy en desacuerdo",0.34,0.196,0.057,0.176
"P14","No sabe",0.032,0.015,0.017,0.031
"P15","Muy de acuerdo",0.721,0.544,0.177,0.374
"P15","De acuerdo",0.113,0.236,0.115,0.168
"P15","Ni de acuerdo ni en desacuerdo",0.081,0.144,0.3,0.196
"P15","En desacuerdo",0.03,0.04,0.242,0.106
"P15","Muy en desacuerdo",0.033,0.023,0.11,0.105
"P15","No sabe",0.022,0.013,0.056,0.051
"P16","Muy positivo",0.802,0.572,0.138,0.33
"P16","Positivo",0.118,0.265,0.065,0.144
"P16","Ni positivo ni negativo",0.058,0.126,0.208,0.324
"P16","Negativo",0.002,0.02,0.288,0.132
"P16","Muy negativo",0.015,0.009,0.277,0.048
"P16","No sabe",0.005,0.008,0.024,0.022
"P17","Si",0.578,0.507,0.232,0.348
"P17","No",0.362,0.432,0.703,0.568
"P17","No sabe",0.06,0.061,0.065,0.084
"P18","Salva muchas vidas",0.267,0.257,0.152,0.238
"P18","Logra disminuir la cantidad de abortos que se producen",0.148,0.147,0.099,0.268
"P18","Representa una reasignación del gasto público en algo más necesario",0.247,0.234,0.068,0.166
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.147,0.145,0.307,0.125
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.122,0.123,0.346,0.14
"P18","No sabe",0.069,0.094,0.028,0.063
"P20","Si",0.795,0.722,0.203,0.497
"P20","No",0.061,0.176,0.703,0.359
"P20","No sabe",0.144,0.102,0.094,0.144
"P21","Logra disminuir los cargos militantes presentes en el estado",0.379,0.305,0.096,0.302
"P21","Evita la manipulación de la información por parte del estado",0.176,0.179,0.131,0.283
"P21","Representa una reasignación del gasto público en algo más necesario",0.231,0.287,0.108,0.121
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.108,0.134,0.396,0.173
"P21","Es parte de la persecución ideológica",0.075,0.06,0.246,0.099
"P21","No sabe",0.031,0.035,0.023,0.022
"P23","Si",0.877,0.747,0.268,0.646
"P23","No",0.068,0.145,0.643,0.224
"P23","No sabe",0.055,0.108,0.089,0.13
"P24","Es parte de una persecución ideológica",0.083,0.064,0.219,0.092
