"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Milei","opciones"
"Muy buena",0.313,0.367,0.263,0.318,0.292,0.341,0.317,0.298,0.329,0.309,0.113,0.549,0.253,0.329,0.324,0.393,0.286,0.058,0.461,6
"Buena",0.129,0.129,0.129,0.139,0.109,0.124,0.166,0.109,0.146,0.126,0.064,0.176,0.163,0.131,0.166,0.137,0.112,0.052,0.21,6
"Ni buena ni mala",0.174,0.147,0.199,0.161,0.194,0.163,0.161,0.24,0.191,0.092,0.16,0.137,0.317,0.156,0.229,0.123,0.174,0.186,0.148,6
"Mala",0.107,0.106,0.108,0.082,0.109,0.118,0.125,0.122,0.116,0.083,0.175,0.049,0.09,0.094,0.084,0.086,0.13,0.187,0.068,6
"Muy mala",0.247,0.233,0.26,0.273,0.265,0.227,0.194,0.182,0.195,0.369,0.445,0.072,0.157,0.259,0.153,0.223,0.275,0.473,0.103,6
"No sabe",0.03,0.018,0.041,0.027,0.031,0.027,0.037,0.049,0.023,0.021,0.043,0.017,0.02,0.031,0.044,0.038,0.023,0.044,0.01,6
"Positiva",0.442,0.496,0.392,0.457,0.401,0.465,0.483,0.407,0.475,0.435,0.177,0.725,0.416,0.46,0.49,0.53,0.398,0.11,0.671,4
"Neutra",0.174,0.147,0.199,0.161,0.194,0.163,0.161,0.24,0.191,0.092,0.16,0.137,0.317,0.156,0.229,0.123,0.174,0.186,0.148,4
"Negativa",0.354,0.339,0.368,0.355,0.374,0.345,0.319,0.304,0.311,0.452,0.62,0.121,0.247,0.353,0.237,0.309,0.405,0.66,0.171,4
"No sabe",0.03,0.018,0.041,0.027,0.031,0.027,0.037,0.049,0.023,0.021,0.043,0.017,0.02,0.031,0.044,0.038,0.023,0.044,0.01,4
"Positiva",0.541,0.584,0.499,0.545,0.511,0.563,0.57,0.543,0.579,0.492,0.235,0.835,0.587,0.549,0.626,0.597,0.494,0.124,0.871,2
"Negativa",0.429,0.398,0.46,0.428,0.458,0.409,0.393,0.408,0.398,0.487,0.722,0.148,0.393,0.42,0.33,0.365,0.483,0.837,0.105,2
"No sabe",0.03,0.018,0.041,0.027,0.031,0.028,0.037,0.049,0.023,0.021,0.043,0.017,0.02,0.031,0.044,0.038,0.023,0.039,0.024,2
