"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Mucho",0.541,0.372,0.461
"P06","Bastante",0.314,0.3,0.124
"P06","Poco",0.11,0.209,0.261
"P06","Nada",0.026,0.119,0.114
"P06","No sabe",0.009,0,0.04
"P07","Siempre",0.25,0.065,0.164
"P07","Casi siempre",0.373,0.581,0.14
"P07","Casi nunca",0.294,0.191,0.45
"P07","Nunca, pero esta es una excepción",0.083,0.163,0.246
"P11","Unión por la Patria",0.331,0.236,0.229
"P11","Juntos por el Cambio",0.287,0.387,0.36
"P11","Liberales",0.251,0.092,0.085
"P11","Izquierda",0.041,0.034,0.131
"P11","Otro",0.049,0.058,0.086
"P11","No sabe",0.041,0.193,0.109
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.298,0.315,0.228
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.317,0.347,0.506
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.287,0.157,0.088
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.035,0.013,0.051
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.029,0.022
"P12","Otros",0.018,0,0.024
"P12","En blanco",0.007,0.079,0.048
"P12","No sabe",0.027,0.06,0.033
"P15","Totalmente seguro",0.718,0.492,0.574
"P15","Bastante seguro",0.137,0.179,0.175
"P15","Algo seguro",0.08,0.145,0.182
"P15","Para nada seguro",0.065,0.184,0.069
"P16","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.331,0.21,0.18
"P16","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.409,0.491,0.517
"P16","Ramiro Marra por la Libertad Avanza",0.158,0.02,0.105
"P16","Vanina Biasi por el Frente de Izquierda",0.029,0.015,0.035
"P16","Otros",0.023,0.118,0.066
"P16","En blanco",0.019,0.114,0.023
"P16","No sabe",0.031,0.032,0.074
"P19","Totalmente seguro",0.731,0.463,0.54
"P19","Bastante seguro",0.136,0.252,0.219
"P19","Algo seguro",0.073,0.132,0.073
"P19","Para nada seguro",0.06,0.153,0.168
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.277,0,0.063
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.269,0.169,0.451
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.266,0.049,0.175
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.074,0.104,0
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.057,0.145
"P24","Otros",0.005,0.488,0.103
"P24","En blanco",0.045,0.06,0
"P24","No sabe",0.044,0.073,0.063
"P27","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.243,0,0.062
"P27","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.243,0.17,0.46
"P27","Ramiro Marra por la Libertad Avanza",0.209,0.105,0.06
"P27","Vanina Biasi por el Frente de Izquierda",0.117,0,0.178
"P27","Otros",0.034,0.111,0
"P27","En blanco",0.067,0.562,0.127
"P27","No sabe",0.087,0.052,0.113
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.369,0.185,0.269
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.478,0.373,0.422
"P31","En blanco",0.091,0.274,0.168
"P31","No sabe",0.062,0.168,0.141
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.381,0.417,0.493
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.288,0.173,0.211
"P32","En blanco",0.219,0.275,0.19
"P32","No sabe",0.112,0.135,0.106
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.369,0.351,0.243
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.408,0.282,0.406
"P33","En blanco",0.128,0.221,0.234
"P33","No sabe",0.095,0.146,0.117
"P34","Leandro Santoro por Union por la Patria",0.365,0.217,0.425
"P34","Jorge Macri por Juntos por el Cambio",0.52,0.497,0.333
"P34","En blanco",0.069,0.157,0.19
"P34","No sabe",0.046,0.129,0.052
"P35","Lo votaría",0.343,0.187,0.306
"P35","Puede que lo vote",0.087,0.185,0.117
"P35","Nunca lo votaría",0.527,0.551,0.535
"P35","No sabe",0.043,0.077,0.042
"P36","Lo votaría",0.391,0.266,0.462
"P36","Puede que lo vote",0.172,0.224,0
"P36","Nunca lo votaría",0.397,0.414,0.471
"P36","No sabe",0.04,0.096,0.067
"P37","Lo votaría",0.301,0.185,0.194
"P37","Puede que lo vote",0.166,0.195,0.097
"P37","Nunca lo votaría",0.493,0.564,0.685
"P37","No sabe",0.04,0.056,0.024
"P38","Lo votaría",0.113,0.066,0.234
"P38","Puede que lo vote",0.19,0.205,0.107
"P38","Nunca lo votaría",0.64,0.66,0.608
"P38","No sabe",0.057,0.069,0.051
"P39","Lo votaría",0.063,0.065,0.079
"P39","Puede que lo vote",0.162,0.247,0.152
"P39","Nunca lo votaría",0.694,0.621,0.683
"P39","No sabe",0.081,0.067,0.086
"P45","Lo votaría",0.318,0.171,0.061
"P45","Puede que lo vote",0.081,0.126,0.172
"P45","Nunca lo votaría",0.555,0.657,0.674
"P45","No sabe",0.046,0.046,0.093
"P46","Lo votaría",0.428,0.312,0.53
"P46","Puede que lo vote",0.132,0.207,0.06
"P46","Nunca lo votaría",0.417,0.422,0.303
"P46","No sabe",0.023,0.059,0.107
"P52","Si",0.453,0.571,0.217
"P52","No",0.547,0.429,0.783
