"var","categoria","A Tolosa Paz por el Frente de Todos","A Santilli y Manes por Juntos","A del Caño por el Frente de Izquierda","A Espert por Avanza libertad","A Randazzo por ""Vamos con vos""","A Hotton por “+Valores”","Votaría en blanco o anularía"
"P09","Porque me siento desanimado con la realidad del país",0.17,0.454,0,0.22,0.355,0.9,0.079
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.134,0.303,0.568,0.388,0.107,0,0.772
"P09","Nunca voy a votar",0.01,0.007,0,0,0,0,0.035
"P09","Por miedo a la pandemia",0.4,0.139,0.34,0.097,0.389,0,0.016
"P09","Porque las PASO no son elecciones importantes",0.286,0.097,0.092,0.295,0.149,0.1,0.098
"P16","A Karina Isabel Menendez por el Frente de todos",0.963,0.004,0,0,0,0,0.118
"P16","A David Mauricio Zencich por Juntos",0.004,0.995,0,0,0.013,0,0
"P16","A Flavia Luz Tesone por el Frente de Izquierda",0.015,0,1,0,0,0,0
"P16","A Martín Maximiliano Diaz por Avanza libertad",0,0,0,1,0.037,0,0
"P16","A Domingo Palma por “Vamos con vos""",0.005,0,0,0,0.95,0,0.023
"P16","A Juan Domingo Ochoa por Union Celeste y Blanco",0,0,0,0,0,0.933,0
"P16","A Gustavo Javier Marchesani por Vocación Social",0,0,0,0,0,0,0.018
"P16","A Claudio Alejandro Ferrari por Republicano Federal",0.001,0,0,0,0,0,0
"P16","Votaría en blanco o anularía",0.012,0.001,0,0,0,0.067,0.841
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.048,0.882,0.178,0.348,0.086,0.024,0.166
"P18","Victoria Tolosa Paz por el Frente de todos",0.829,0.052,0.319,0.039,0.216,0,0
"P18","Nicolás del Caño por el Frente de Izquierda",0.017,0.006,0.402,0.018,0.071,0,0
"P18","José Luis Espert por “Avanza Libertad”",0.002,0.03,0,0.514,0.098,0.589,0.19
"P18","Florencio Randazzo por “Vamos con vos”",0.003,0,0,0.038,0.367,0.045,0.089
"P18","Cynthia Hotton por “+Valores”",0,0,0.086,0.022,0,0.32,0
"P18","Ninguna en particular",0.046,0.014,0,0.014,0.088,0.022,0.361
"P18","No sabe",0.055,0.016,0.015,0.007,0.074,0,0.194
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.671,0.11,0.41,0.038,0.368,0.052,0.164
"P19","Victoria Tolosa Paz por el Frente de todos",0.126,0.786,0.373,0.513,0.461,0.708,0.328
"P19","Nicolás del Caño por el Frente de Izquierda",0.002,0.029,0,0,0.143,0,0
"P19","José Luis Espert por “Avanza Libertad”",0.041,0.009,0.055,0.066,0.01,0,0.054
"P19","Florencio Randazzo por “Vamos con vos”",0.034,0.008,0,0.091,0,0,0.071
"P19","Cynthia Hotton por “+Valores”",0.016,0,0.044,0,0,0.139,0
