codigo	texto	label	paleta
P02	Por favor indique su Sexo	Sexo	
P03	¿Cúal es su estado civil?	Estado civil	
P04	¿Tiene hijos?	Hijos	
P06	¿Podría indicarnos cuál es su situación laboral en la actualidad?	Situación laboral actual	
P07	¿Tiene algún emprendimiento comercial propio o microempresa actualmente?	Emprendimientos	
P08	¿Cúales son sus ingresos mensuales?	Ingresos mensuales	
P09	¿En los últimos 5 años solicitó alguna línea de crédito en alguna entidad financiera?	Solicitud de créditos en los últimos 5 años	
P10	¿Principalmente por qué razón no ha solicitado un préstamo en los últimos 5 años?	Razón de la solicitud de créditos (Para quienes hayan solicitado créditos)	
P11	Pensando en el último préstamo solicitado ¿En qué tipo de entidad gestionó la línea de crédito?	Tipo de entidad gestora de créditos (Para quienes hayan solicitado créditos)	
P12	Si tuviera que definir el monto del crédito solicitado en la actualidad ¿Aproximadamente de cuanto sería?	Monto del crédito	
P13	¿Tuvo algún problema o dificultad durante el proceso de gestión del crédito?	Dificultades en el proceso de gestión del crédito	
P14	¿Ha sentido algún trato diferencial durante la gestión del crédito debido a su género?	Trato diferencial en la gestión del crédito debido al género	
P15	¿El crédito solicitado le fue fue otorgado?	Otorgamiento del crédito solicitado	
P16	¿Ha recibido alguna vez capacitación o asesoramiento financiero para mejorar sus habilidades de	Capacitacion financiera	
P17	¿En alguna oportunidad recibió apoyo financiero por parte de una organización no gubernamental para emprendedores?	Apoyo financiero de ONGs para emprendedores	
P18	Si hoy en día tuviera la posibilidad de acceder a un crédito ¿Cuál es la cantidad de dinero que necesitaría para invertir en su emprendimiento?	Monto necesario para invertir	
