"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.098,0.097,0.099,0.124,0.075,0.103,0.123,0.245,0.047,0.035,0.098,0.227,0.021,0.058,0.179,0.046,0.134,0.065,6
"Buena",0.141,0.121,0.164,0.144,0.124,0.111,0.253,0.138,0.17,0.107,0.149,0.197,0.117,0.092,0.165,0.132,0.16,0.125,6
"Ni buena ni mala",0.248,0.22,0.278,0.238,0.266,0.239,0.218,0.2,0.287,0.237,0.201,0.258,0.364,0.228,0.239,0.244,0.23,0.264,6
"Mala",0.272,0.286,0.256,0.239,0.269,0.331,0.229,0.214,0.257,0.342,0.324,0.149,0.275,0.373,0.25,0.286,0.263,0.279,6
"Muy mala",0.215,0.233,0.196,0.225,0.24,0.211,0.122,0.146,0.222,0.269,0.216,0.14,0.178,0.228,0.145,0.266,0.188,0.24,6
"No sabe",0.026,0.043,0.007,0.03,0.026,0.005,0.055,0.057,0.017,0.01,0.012,0.029,0.045,0.021,0.022,0.026,0.025,0.027,6
"Positiva",0.239,0.218,0.263,0.268,0.199,0.214,0.376,0.383,0.217,0.142,0.247,0.424,0.138,0.15,0.344,0.178,0.294,0.19,4
"Neutra",0.248,0.22,0.278,0.238,0.266,0.239,0.218,0.2,0.287,0.237,0.201,0.258,0.364,0.228,0.239,0.244,0.23,0.264,4
"Negativa",0.487,0.519,0.452,0.464,0.509,0.542,0.351,0.36,0.479,0.611,0.54,0.289,0.453,0.601,0.395,0.552,0.451,0.519,4
"No sabe",0.026,0.043,0.007,0.03,0.026,0.005,0.055,0.057,0.017,0.01,0.012,0.029,0.045,0.021,0.022,0.026,0.025,0.027,4
