"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.386,0.408,0.361,0.581,0.305,0.385,0.324,0.39,0.376,0.394,0.378,0.37,0.302,0.574,0.116,0.583,0.358,0.411,6
"Buena",0.138,0.117,0.162,0.136,0.109,0.158,0.208,0.12,0.165,0.121,0.125,0.144,0.162,0.18,0.07,0.186,0.107,0.166,6
"Ni buena ni mala",0.138,0.135,0.143,0.085,0.198,0.092,0.114,0.195,0.135,0.093,0.158,0.148,0.084,0.093,0.145,0.13,0.191,0.092,6
"Mala",0.095,0.095,0.095,0.06,0.09,0.116,0.134,0.137,0.092,0.06,0.12,0.099,0.061,0.045,0.186,0.027,0.118,0.074,6
"Muy mala",0.232,0.232,0.231,0.138,0.284,0.238,0.204,0.144,0.221,0.325,0.207,0.229,0.391,0.105,0.464,0.071,0.212,0.249,6
"No sabe",0.011,0.013,0.008,0,0.014,0.011,0.016,0.014,0.011,0.007,0.012,0.01,0,0.003,0.019,0.003,0.014,0.008,6
"Positiva",0.524,0.525,0.523,0.717,0.414,0.543,0.532,0.51,0.541,0.515,0.503,0.514,0.464,0.754,0.186,0.769,0.465,0.577,4
"Neutra",0.138,0.135,0.143,0.085,0.198,0.092,0.114,0.195,0.135,0.093,0.158,0.148,0.084,0.093,0.145,0.13,0.191,0.092,4
"Negativa",0.327,0.327,0.326,0.198,0.374,0.354,0.338,0.281,0.313,0.385,0.327,0.328,0.452,0.15,0.65,0.098,0.33,0.323,4
"No sabe",0.011,0.013,0.008,0,0.014,0.011,0.016,0.014,0.011,0.007,0.012,0.01,0,0.003,0.019,0.003,0.014,0.008,4
