"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.085,0.09,0.079,0.129,0.066,0.072,0.094,0.191,0.041,0.046,0.071,0.222,0.04,0.035,0.144,0.047,0.127,0.046,6
"Buena",0.141,0.147,0.135,0.094,0.129,0.154,0.242,0.161,0.139,0.127,0.103,0.326,0.129,0.029,0.144,0.143,0.107,0.173,6
"Ni buena ni mala",0.408,0.39,0.428,0.395,0.454,0.359,0.364,0.354,0.453,0.396,0.428,0.315,0.431,0.398,0.377,0.428,0.398,0.417,6
"Mala",0.165,0.171,0.159,0.16,0.144,0.219,0.149,0.132,0.146,0.221,0.192,0.062,0.187,0.319,0.173,0.16,0.193,0.14,6
"Muy mala",0.159,0.155,0.163,0.193,0.17,0.147,0.086,0.113,0.181,0.172,0.17,0.072,0.133,0.219,0.101,0.195,0.136,0.18,6
"No sabe",0.042,0.047,0.036,0.029,0.037,0.049,0.065,0.049,0.04,0.038,0.036,0.003,0.08,0,0.061,0.027,0.039,0.044,6
"Positiva",0.226,0.237,0.214,0.223,0.195,0.226,0.336,0.352,0.18,0.173,0.174,0.548,0.169,0.064,0.288,0.19,0.234,0.219,4
"Neutra",0.408,0.39,0.428,0.395,0.454,0.359,0.364,0.354,0.453,0.396,0.428,0.315,0.431,0.398,0.377,0.428,0.398,0.417,4
"Negativa",0.324,0.326,0.322,0.353,0.314,0.366,0.235,0.245,0.327,0.393,0.362,0.134,0.32,0.538,0.274,0.355,0.329,0.32,4
"No sabe",0.042,0.047,0.036,0.029,0.037,0.049,0.065,0.049,0.04,0.038,0.036,0.003,0.08,0,0.061,0.027,0.039,0.044,4
