"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.207,0.236,0.176,0.24,0.187,0.218,0.2,0.302,0.192,0.144,0.295,0.18,0.123,0.113,0.254,0.181,0.222,0.194,6
"Buena",0.256,0.249,0.262,0.235,0.251,0.259,0.302,0.153,0.303,0.285,0.31,0.247,0.264,0.155,0.283,0.232,0.227,0.282,6
"Ni buena ni mala",0.316,0.279,0.357,0.245,0.335,0.343,0.322,0.278,0.292,0.381,0.24,0.316,0.414,0.469,0.289,0.344,0.305,0.326,6
"Mala",0.11,0.102,0.12,0.166,0.091,0.104,0.095,0.095,0.108,0.126,0.063,0.134,0.17,0.157,0.077,0.127,0.143,0.081,6
"Muy mala",0.096,0.109,0.082,0.114,0.114,0.069,0.054,0.129,0.104,0.057,0.09,0.099,0.01,0.095,0.085,0.101,0.08,0.111,6
"No sabe",0.015,0.025,0.003,0,0.022,0.007,0.027,0.043,0.001,0.007,0.002,0.024,0.019,0.011,0.012,0.015,0.023,0.006,6
"Positiva",0.463,0.485,0.438,0.475,0.438,0.477,0.502,0.455,0.495,0.429,0.605,0.427,0.387,0.268,0.537,0.413,0.449,0.476,4
"Neutra",0.316,0.279,0.357,0.245,0.335,0.343,0.322,0.278,0.292,0.381,0.24,0.316,0.414,0.469,0.289,0.344,0.305,0.326,4
"Negativa",0.206,0.211,0.202,0.28,0.205,0.173,0.149,0.224,0.212,0.183,0.153,0.233,0.18,0.252,0.162,0.228,0.223,0.192,4
"No sabe",0.015,0.025,0.003,0,0.022,0.007,0.027,0.043,0.001,0.007,0.002,0.024,0.019,0.011,0.012,0.015,0.023,0.006,4
