"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.224,0.237,0.21,0.289,0.222,0.176,0.179,0.273,0.229,0.168,0.337,0.115,0.109,0.205,0.271,0.201,0.221,0.227,6
"Buena",0.303,0.293,0.316,0.242,0.321,0.342,0.305,0.233,0.342,0.316,0.316,0.314,0.338,0.201,0.299,0.307,0.275,0.33,6
"Ni buena ni mala",0.295,0.29,0.3,0.259,0.294,0.312,0.344,0.295,0.28,0.317,0.233,0.393,0.359,0.401,0.283,0.301,0.302,0.288,6
"Mala",0.102,0.117,0.085,0.144,0.086,0.102,0.065,0.088,0.101,0.117,0.066,0.084,0.143,0.143,0.081,0.116,0.116,0.088,6
"Muy mala",0.048,0.047,0.048,0.047,0.049,0.047,0.047,0.079,0.026,0.05,0.038,0.061,0.012,0.03,0.034,0.052,0.056,0.041,6
"No sabe",0.028,0.016,0.041,0.019,0.028,0.021,0.06,0.032,0.022,0.032,0.01,0.033,0.039,0.02,0.032,0.023,0.03,0.026,6
"Positiva",0.527,0.53,0.526,0.531,0.543,0.518,0.484,0.506,0.571,0.484,0.653,0.429,0.447,0.406,0.57,0.508,0.496,0.557,4
"Neutra",0.295,0.29,0.3,0.259,0.294,0.312,0.344,0.295,0.28,0.317,0.233,0.393,0.359,0.401,0.283,0.301,0.302,0.288,4
"Negativa",0.15,0.164,0.133,0.191,0.135,0.149,0.112,0.167,0.127,0.167,0.104,0.145,0.155,0.173,0.115,0.168,0.172,0.129,4
"No sabe",0.028,0.016,0.041,0.019,0.028,0.021,0.06,0.032,0.022,0.032,0.01,0.033,0.039,0.02,0.032,0.023,0.03,0.026,4
