"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.153,0.162,0.144,0.159,0.15,0.124,0.209,0.265,0.126,0.085,0.183,0.206,0.152,0.085,0.328,0.036,0.174,0.135,6
"Buena",0.164,0.14,0.191,0.119,0.173,0.176,0.195,0.143,0.163,0.186,0.171,0.243,0.21,0.039,0.294,0.083,0.17,0.159,6
"Ni buena ni mala",0.146,0.146,0.145,0.123,0.147,0.143,0.188,0.164,0.147,0.126,0.157,0.085,0.199,0.025,0.202,0.107,0.139,0.151,6
"Mala",0.149,0.14,0.158,0.133,0.139,0.209,0.098,0.103,0.155,0.183,0.171,0.082,0.188,0.07,0.088,0.186,0.141,0.156,6
"Muy mala",0.37,0.394,0.343,0.448,0.361,0.344,0.304,0.291,0.391,0.415,0.307,0.355,0.194,0.781,0.058,0.578,0.348,0.389,6
"No sabe",0.018,0.018,0.019,0.018,0.03,0.004,0.006,0.034,0.018,0.005,0.011,0.029,0.057,0,0.03,0.01,0.028,0.01,6
"Positiva",0.317,0.302,0.335,0.278,0.323,0.3,0.404,0.408,0.289,0.271,0.354,0.449,0.362,0.124,0.622,0.119,0.344,0.294,4
"Neutra",0.146,0.146,0.145,0.123,0.147,0.143,0.188,0.164,0.147,0.126,0.157,0.085,0.199,0.025,0.202,0.107,0.139,0.151,4
"Negativa",0.519,0.534,0.501,0.581,0.5,0.553,0.402,0.394,0.546,0.598,0.478,0.437,0.382,0.851,0.146,0.764,0.489,0.545,4
"No sabe",0.018,0.018,0.019,0.018,0.03,0.004,0.006,0.034,0.018,0.005,0.011,0.029,0.057,0,0.03,0.01,0.028,0.01,4
