"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Rolo Figueroa","Muy buena",0.207,0.236,0.176,0.24,0.187,0.218,0.2,0.302,0.192,0.144,0.295,0.18,0.123,0.113,0.254,0.181,0.222,0.194
"Rolo Figueroa","Buena",0.256,0.249,0.262,0.235,0.251,0.259,0.302,0.153,0.303,0.285,0.31,0.247,0.264,0.155,0.283,0.232,0.227,0.282
"Rolo Figueroa","Ni buena ni mala",0.316,0.279,0.357,0.245,0.335,0.343,0.322,0.278,0.292,0.381,0.24,0.316,0.414,0.469,0.289,0.344,0.305,0.326
"Rolo Figueroa","Mala",0.11,0.102,0.12,0.166,0.091,0.104,0.095,0.095,0.108,0.126,0.063,0.134,0.17,0.157,0.077,0.127,0.143,0.081
"Rolo Figueroa","Muy mala",0.096,0.109,0.082,0.114,0.114,0.069,0.054,0.129,0.104,0.057,0.09,0.099,0.01,0.095,0.085,0.101,0.08,0.111
"Rolo Figueroa","No sabe",0.015,0.025,0.003,0,0.022,0.007,0.027,0.043,0.001,0.007,0.002,0.024,0.019,0.011,0.012,0.015,0.023,0.006
"Juan Schiaretti","Muy buena",0.156,0.179,0.131,0.238,0.142,0.139,0.099,0.241,0.144,0.096,0.14,0.184,0.087,0.342,0.116,0.183,0.157,0.155
"Juan Schiaretti","Buena",0.184,0.201,0.165,0.209,0.164,0.152,0.274,0.141,0.199,0.204,0.174,0.253,0.186,0.137,0.094,0.251,0.169,0.199
"Juan Schiaretti","Ni buena ni mala",0.358,0.344,0.373,0.329,0.389,0.373,0.27,0.316,0.383,0.363,0.412,0.322,0.228,0.304,0.288,0.406,0.387,0.331
"Juan Schiaretti","Mala",0.129,0.106,0.156,0.113,0.14,0.105,0.167,0.125,0.107,0.162,0.125,0.101,0.188,0.116,0.213,0.07,0.13,0.129
"Juan Schiaretti","Muy mala",0.14,0.147,0.131,0.111,0.133,0.195,0.107,0.121,0.14,0.156,0.112,0.109,0.267,0.097,0.231,0.076,0.133,0.145
"Juan Schiaretti","No sabe",0.033,0.023,0.044,0,0.032,0.036,0.083,0.056,0.027,0.019,0.037,0.031,0.044,0.004,0.058,0.014,0.024,0.041
"Mariano Gaido","Muy buena",0.124,0.139,0.108,0.105,0.131,0.107,0.166,0.216,0.088,0.091,0.122,0.258,0.083,0.058,0.205,0.07,0.176,0.078
"Mariano Gaido","Buena",0.188,0.197,0.178,0.204,0.166,0.175,0.258,0.161,0.234,0.153,0.195,0.274,0.21,0.102,0.205,0.181,0.217,0.161
"Mariano Gaido","Ni buena ni mala",0.328,0.285,0.374,0.346,0.329,0.332,0.281,0.248,0.343,0.377,0.358,0.226,0.375,0.289,0.356,0.303,0.265,0.384
"Mariano Gaido","Mala",0.169,0.148,0.192,0.158,0.176,0.18,0.148,0.15,0.161,0.198,0.148,0.148,0.154,0.38,0.118,0.202,0.2,0.142
"Mariano Gaido","Muy mala",0.139,0.166,0.11,0.153,0.146,0.133,0.102,0.159,0.13,0.132,0.13,0.056,0.126,0.167,0.072,0.186,0.121,0.155
"Mariano Gaido","No sabe",0.052,0.065,0.038,0.034,0.052,0.073,0.045,0.066,0.044,0.049,0.047,0.038,0.052,0.004,0.044,0.058,0.021,0.08
"Guillermo Francos","Muy buena",0.146,0.166,0.124,0.266,0.098,0.121,0.15,0.209,0.131,0.109,0.17,0.118,0.062,0.234,0.047,0.21,0.137,0.154
"Guillermo Francos","Buena",0.164,0.154,0.176,0.203,0.112,0.167,0.272,0.162,0.172,0.157,0.108,0.231,0.092,0.375,0.061,0.238,0.172,0.157
"Guillermo Francos","Ni buena ni mala",0.31,0.287,0.335,0.23,0.357,0.344,0.224,0.268,0.33,0.322,0.37,0.283,0.281,0.242,0.237,0.368,0.305,0.314
"Guillermo Francos","Mala",0.12,0.127,0.114,0.098,0.133,0.106,0.141,0.159,0.098,0.115,0.123,0.131,0.195,0.053,0.212,0.058,0.152,0.092
"Guillermo Francos","Muy mala",0.19,0.194,0.184,0.133,0.242,0.174,0.137,0.113,0.202,0.242,0.173,0.184,0.287,0.093,0.352,0.078,0.19,0.19
"Guillermo Francos","No sabe",0.07,0.072,0.067,0.07,0.058,0.088,0.076,0.089,0.067,0.055,0.056,0.053,0.083,0.003,0.091,0.048,0.044,0.093
"Marcos Koopman","Muy buena",0.085,0.09,0.079,0.129,0.066,0.072,0.094,0.191,0.041,0.046,0.071,0.222,0.04,0.035,0.144,0.047,0.127,0.046
"Marcos Koopman","Buena",0.141,0.147,0.135,0.094,0.129,0.154,0.242,0.161,0.139,0.127,0.103,0.326,0.129,0.029,0.144,0.143,0.107,0.173
"Marcos Koopman","Ni buena ni mala",0.408,0.39,0.428,0.395,0.454,0.359,0.364,0.354,0.453,0.396,0.428,0.315,0.431,0.398,0.377,0.428,0.398,0.417
"Marcos Koopman","Mala",0.165,0.171,0.159,0.16,0.144,0.219,0.149,0.132,0.146,0.221,0.192,0.062,0.187,0.319,0.173,0.16,0.193,0.14
"Marcos Koopman","Muy mala",0.159,0.155,0.163,0.193,0.17,0.147,0.086,0.113,0.181,0.172,0.17,0.072,0.133,0.219,0.101,0.195,0.136,0.18
"Marcos Koopman","No sabe",0.042,0.047,0.036,0.029,0.037,0.049,0.065,0.049,0.04,0.038,0.036,0.003,0.08,0,0.061,0.027,0.039,0.044
"Victoria Villarruel","Muy buena",0.386,0.408,0.361,0.581,0.305,0.385,0.324,0.39,0.376,0.394,0.378,0.37,0.302,0.574,0.116,0.583,0.358,0.411
"Victoria Villarruel","Buena",0.138,0.117,0.162,0.136,0.109,0.158,0.208,0.12,0.165,0.121,0.125,0.144,0.162,0.18,0.07,0.186,0.107,0.166
"Victoria Villarruel","Ni buena ni mala",0.138,0.135,0.143,0.085,0.198,0.092,0.114,0.195,0.135,0.093,0.158,0.148,0.084,0.093,0.145,0.13,0.191,0.092
"Victoria Villarruel","Mala",0.095,0.095,0.095,0.06,0.09,0.116,0.134,0.137,0.092,0.06,0.12,0.099,0.061,0.045,0.186,0.027,0.118,0.074
"Victoria Villarruel","Muy mala",0.232,0.232,0.231,0.138,0.284,0.238,0.204,0.144,0.221,0.325,0.207,0.229,0.391,0.105,0.464,0.071,0.212,0.249
"Victoria Villarruel","No sabe",0.011,0.013,0.008,0,0.014,0.011,0.016,0.014,0.011,0.007,0.012,0.01,0,0.003,0.019,0.003,0.014,0.008
"Ramon Rioseco","Muy buena",0.141,0.158,0.122,0.193,0.08,0.148,0.247,0.205,0.13,0.097,0.161,0.13,0.233,0.077,0.24,0.081,0.139,0.142
"Ramon Rioseco","Buena",0.177,0.178,0.175,0.168,0.183,0.171,0.18,0.129,0.181,0.213,0.163,0.172,0.332,0.091,0.245,0.136,0.123,0.225
