"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.162,0.176,0.148,0.268,0.113,0.17,0.139,0.241,0.143,0.116,0.169,0.16,0.064,0.355,0.069,0.227,0.179,0.148,6
"Buena",0.162,0.164,0.159,0.128,0.141,0.201,0.219,0.185,0.144,0.164,0.128,0.207,0.155,0.237,0.038,0.252,0.151,0.172,6
"Ni buena ni mala",0.244,0.22,0.271,0.241,0.28,0.186,0.228,0.188,0.287,0.24,0.271,0.201,0.198,0.222,0.146,0.312,0.243,0.244,6
"Mala",0.127,0.104,0.152,0.087,0.142,0.125,0.149,0.172,0.117,0.1,0.145,0.154,0.091,0.106,0.212,0.062,0.164,0.094,6
"Muy mala",0.267,0.277,0.255,0.193,0.304,0.286,0.23,0.18,0.256,0.357,0.249,0.246,0.488,0.077,0.511,0.099,0.24,0.29,6
"No sabe",0.038,0.059,0.015,0.083,0.02,0.032,0.035,0.034,0.053,0.023,0.038,0.032,0.004,0.003,0.024,0.048,0.023,0.052,6
"Positiva",0.324,0.34,0.307,0.396,0.254,0.371,0.358,0.426,0.287,0.28,0.297,0.367,0.219,0.592,0.107,0.479,0.33,0.32,4
"Neutra",0.244,0.22,0.271,0.241,0.28,0.186,0.228,0.188,0.287,0.24,0.271,0.201,0.198,0.222,0.146,0.312,0.243,0.244,4
"Negativa",0.394,0.381,0.407,0.28,0.446,0.411,0.379,0.352,0.373,0.457,0.394,0.4,0.579,0.183,0.723,0.161,0.404,0.384,4
"No sabe",0.038,0.059,0.015,0.083,0.02,0.032,0.035,0.034,0.053,0.023,0.038,0.032,0.004,0.003,0.024,0.048,0.023,0.052,4
