"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.15,0.156,0.145,0.22,0.116,0.109,0.22,0.206,0.12,0.139,0.138,0.178,0.046,0.253,0.111,0.186,0.161,0.141,6
"Buena",0.15,0.141,0.16,0.144,0.144,0.157,0.172,0.074,0.176,0.187,0.146,0.17,0.114,0.197,0.029,0.24,0.133,0.166,6
"Ni buena ni mala",0.186,0.197,0.173,0.15,0.186,0.217,0.192,0.252,0.169,0.145,0.226,0.082,0.2,0.164,0.099,0.25,0.183,0.188,6
"Mala",0.2,0.187,0.214,0.173,0.206,0.231,0.169,0.188,0.222,0.183,0.228,0.199,0.171,0.09,0.253,0.16,0.213,0.188,6
"Muy mala",0.295,0.289,0.301,0.269,0.332,0.285,0.228,0.255,0.284,0.346,0.251,0.365,0.437,0.296,0.493,0.147,0.285,0.304,6
"No sabe",0.019,0.03,0.007,0.044,0.016,0.001,0.019,0.025,0.029,0,0.011,0.006,0.032,0,0.015,0.017,0.025,0.013,6
"Positiva",0.3,0.297,0.305,0.364,0.26,0.266,0.392,0.28,0.296,0.326,0.284,0.348,0.16,0.45,0.14,0.426,0.294,0.307,4
"Neutra",0.186,0.197,0.173,0.15,0.186,0.217,0.192,0.252,0.169,0.145,0.226,0.082,0.2,0.164,0.099,0.25,0.183,0.188,4
"Negativa",0.495,0.476,0.515,0.442,0.538,0.516,0.397,0.443,0.506,0.529,0.479,0.564,0.608,0.386,0.746,0.307,0.498,0.492,4
"No sabe",0.019,0.03,0.007,0.044,0.016,0.001,0.019,0.025,0.029,0,0.011,0.006,0.032,0,0.015,0.017,0.025,0.013,4
