"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Patricia Bullrich","Muy buena",0.259,0.25,0.269,0.157,0.205,0.323,0.435,0.288,0.226,0.284,0.114,0.429,0.112
"Patricia Bullrich","Buena",0.182,0.189,0.176,0.192,0.196,0.144,0.191,0.183,0.18,0.185,0.103,0.255,0.076
"Patricia Bullrich","Ni buena ni mala",0.117,0.138,0.096,0.216,0.102,0.087,0.088,0.151,0.099,0.11,0.095,0.09,0.454
"Patricia Bullrich","Mala",0.099,0.111,0.087,0.099,0.131,0.08,0.036,0.107,0.109,0.073,0.106,0.062,0.208
"Patricia Bullrich","Muy mala",0.334,0.298,0.368,0.336,0.353,0.351,0.25,0.25,0.381,0.345,0.579,0.161,0.15
"Patricia Bullrich","No sabe",0.009,0.014,0.004,0,0.013,0.015,0,0.021,0.005,0.003,0.003,0.003,0
"Mauricio Macri","Muy buena",0.201,0.204,0.198,0.257,0.128,0.248,0.268,0.254,0.179,0.182,0.1,0.326,0.052
"Mauricio Macri","Buena",0.183,0.148,0.217,0.22,0.12,0.189,0.305,0.162,0.189,0.195,0.11,0.261,0
"Mauricio Macri","Ni buena ni mala",0.123,0.145,0.101,0.097,0.131,0.13,0.118,0.163,0.087,0.139,0.073,0.145,0.282
"Mauricio Macri","Mala",0.14,0.155,0.126,0.169,0.168,0.104,0.083,0.135,0.141,0.143,0.177,0.095,0.13
"Mauricio Macri","Muy mala",0.342,0.345,0.338,0.231,0.441,0.329,0.214,0.282,0.386,0.333,0.529,0.156,0.536
"Mauricio Macri","No sabe",0.011,0.003,0.02,0.026,0.012,0,0.012,0.004,0.018,0.008,0.011,0.017,0
"Axel Kicillof","Muy buena",0.265,0.229,0.3,0.259,0.294,0.249,0.213,0.275,0.278,0.232,0.495,0.079,0.234
"Axel Kicillof","Buena",0.093,0.11,0.077,0.153,0.108,0.039,0.063,0.076,0.121,0.066,0.153,0.058,0
"Axel Kicillof","Ni buena ni mala",0.078,0.056,0.098,0.105,0.074,0.061,0.08,0.058,0.093,0.072,0.048,0.1,0.182
"Axel Kicillof","Mala",0.072,0.072,0.073,0.087,0.05,0.066,0.13,0.061,0.09,0.055,0.04,0.095,0.058
"Axel Kicillof","Muy mala",0.48,0.517,0.443,0.396,0.455,0.573,0.504,0.504,0.407,0.575,0.249,0.665,0.526
"Axel Kicillof","No sabe",0.012,0.016,0.009,0,0.019,0.012,0.01,0.026,0.011,0,0.015,0.003,0
"Javier Milei","Muy buena",0.23,0.329,0.134,0.351,0.25,0.153,0.153,0.317,0.191,0.205,0.129,0.247,0.237
"Javier Milei","Buena",0.127,0.157,0.098,0.235,0.096,0.088,0.15,0.141,0.13,0.106,0.117,0.124,0.166
"Javier Milei","Ni buena ni mala",0.178,0.147,0.208,0.156,0.185,0.172,0.192,0.145,0.18,0.21,0.111,0.249,0.223
"Javier Milei","Mala",0.134,0.102,0.165,0.063,0.104,0.201,0.197,0.135,0.135,0.131,0.093,0.202,0.065
"Javier Milei","Muy mala",0.303,0.247,0.358,0.195,0.342,0.33,0.277,0.209,0.344,0.334,0.53,0.145,0.309
"Javier Milei","No sabe",0.028,0.018,0.037,0,0.023,0.056,0.031,0.053,0.02,0.014,0.02,0.033,0
"Segundo Cernadas","Muy buena",0.149,0.14,0.158,0.118,0.12,0.193,0.198,0.173,0.126,0.162,0.103,0.201,0.051
"Segundo Cernadas","Buena",0.201,0.182,0.219,0.256,0.149,0.19,0.297,0.168,0.226,0.194,0.123,0.278,0.097
"Segundo Cernadas","Ni buena ni mala",0.258,0.243,0.273,0.215,0.273,0.268,0.248,0.249,0.261,0.262,0.237,0.278,0.655
"Segundo Cernadas","Mala",0.111,0.13,0.093,0.155,0.113,0.117,0.048,0.096,0.091,0.161,0.166,0.053,0.197
"Segundo Cernadas","Muy mala",0.231,0.263,0.199,0.231,0.3,0.181,0.114,0.259,0.239,0.188,0.309,0.14,0
"Segundo Cernadas","No sabe",0.05,0.042,0.058,0.025,0.045,0.051,0.095,0.055,0.057,0.033,0.062,0.05,0
"CFK","Muy buena",0.269,0.234,0.302,0.286,0.265,0.277,0.243,0.252,0.282,0.265,0.519,0.079,0.052
"CFK","Buena",0.074,0.065,0.084,0.131,0.065,0.069,0.041,0.049,0.108,0.045,0.111,0.064,0
"CFK","Ni buena ni mala",0.058,0.064,0.052,0.06,0.058,0.045,0.077,0.077,0.037,0.071,0.053,0.061,0.076
"CFK","Mala",0.058,0.06,0.056,0.071,0.053,0.038,0.089,0.05,0.07,0.046,0.022,0.088,0.199
"CFK","Muy mala",0.534,0.573,0.496,0.426,0.556,0.569,0.546,0.572,0.488,0.571,0.295,0.702,0.673
"CFK","No sabe",0.007,0.004,0.01,0.026,0.003,0.002,0.004,0,0.015,0.002,0,0.006,0
"Julio Zamora","Muy buena",0.171,0.173,0.169,0.237,0.167,0.136,0.158,0.22,0.153,0.15,0.278,0.082,0.051
"Julio Zamora","Buena",0.172,0.193,0.152,0.151,0.152,0.214,0.187,0.14,0.202,0.154,0.248,0.113,0.246
"Julio Zamora","Ni buena ni mala",0.22,0.165,0.273,0.191,0.204,0.208,0.315,0.157,0.236,0.257,0.2,0.255,0.309
"Julio Zamora","Mala",0.142,0.114,0.17,0.163,0.155,0.124,0.109,0.099,0.162,0.155,0.087,0.184,0.374
"Julio Zamora","Muy mala",0.27,0.337,0.205,0.258,0.31,0.274,0.172,0.347,0.23,0.258,0.17,0.337,0
"Julio Zamora","No sabe",0.025,0.018,0.031,0,0.012,0.044,0.059,0.037,0.017,0.026,0.017,0.029,0.02
"Diego Santilli","Muy buena",0.1,0.09,0.111,0.082,0.102,0.087,0.138,0.104,0.091,0.113,0.07,0.137,0.208
"Diego Santilli","Buena",0.226,0.217,0.235,0.169,0.188,0.245,0.37,0.249,0.207,0.232,0.104,0.355,0.104
"Diego Santilli","Ni buena ni mala",0.261,0.24,0.28,0.255,0.242,0.315,0.234,0.229,0.282,0.258,0.225,0.29,0.413
"Diego Santilli","Mala",0.147,0.174,0.121,0.176,0.164,0.118,0.112,0.194,0.122,0.141,0.223,0.055,0.256
"Diego Santilli","Muy mala",0.217,0.238,0.197,0.291,0.242,0.189,0.106,0.178,0.242,0.217,0.322,0.132,0
"Diego Santilli","No sabe",0.049,0.041,0.056,0.027,0.062,0.046,0.04,0.046,0.056,0.039,0.056,0.031,0.019
"Malena Galmarini","Muy buena",0.175,0.188,0.161,0.188,0.169,0.18,0.165,0.244,0.151,0.141,0.277,0.1,0.084
"Malena Galmarini","Buena",0.141,0.117,0.165,0.15,0.145,0.126,0.144,0.096,0.182,0.12,0.201,0.086,0.278
"Malena Galmarini","Ni buena ni mala",0.174,0.153,0.195,0.213,0.166,0.14,0.205,0.17,0.177,0.174,0.183,0.125,0.427
"Malena Galmarini","Mala",0.141,0.136,0.145,0.184,0.103,0.164,0.16,0.134,0.138,0.154,0.099,0.166,0.158
"Malena Galmarini","Muy mala",0.352,0.385,0.32,0.254,0.4,0.375,0.299,0.344,0.331,0.395,0.222,0.503,0.053
"Malena Galmarini","No sabe",0.017,0.021,0.014,0.011,0.017,0.015,0.027,0.012,0.021,0.016,0.018,0.02,0
"Horacio Rodriguez Larreta","Muy buena",0.111,0.09,0.131,0.103,0.112,0.093,0.146,0.157,0.101,0.078,0.113,0.112,0.143
"Horacio Rodriguez Larreta","Buena",0.187,0.192,0.182,0.138,0.153,0.227,0.28,0.273,0.153,0.152,0.103,0.276,0.019
"Horacio Rodriguez Larreta","Ni buena ni mala",0.194,0.162,0.225,0.167,0.187,0.223,0.199,0.182,0.158,0.266,0.151,0.245,0.135
"Horacio Rodriguez Larreta","Mala",0.157,0.17,0.144,0.228,0.133,0.171,0.116,0.086,0.195,0.169,0.21,0.126,0.032
"Horacio Rodriguez Larreta","Muy mala",0.346,0.382,0.311,0.364,0.407,0.279,0.257,0.297,0.385,0.332,0.411,0.24,0.671
"Horacio Rodriguez Larreta","No sabe",0.005,0.004,0.007,0,0.008,0.007,0.002,0.005,0.008,0.003,0.012,0.001,0
"Nicolás Massot","Muy buena",0.114,0.118,0.11,0.097,0.09,0.12,0.191,0.13,0.095,0.129,0.06,0.176,0.094
"Nicolás Massot","Buena",0.18,0.175,0.185,0.231,0.114,0.191,0.284,0.196,0.181,0.161,0.117,0.233,0.033
"Nicolás Massot","Ni buena ni mala",0.312,0.307,0.316,0.228,0.363,0.333,0.235,0.377,0.285,0.288,0.285,0.352,0.397
"Nicolás Massot","Mala",0.11,0.124,0.096,0.119,0.117,0.112,0.076,0.094,0.094,0.153,0.163,0.049,0.277
