"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P04","Gran excedente habitual",0.007,0.006,0.009,0.009,0.011
"P04","Gran excedente excepcional",0.005,0.006,0.001,0.002,0.004
"P04","Pequeño excedente habitual",0.062,0.075,0.043,0.049,0.041
"P04","Pequeño excedente excepcional",0.047,0.072,0.065,0.061,0.03
"P04","Alcanza gastos familia",0.127,0.145,0.137,0.112,0.091
"P04","No alcanza gastos familia",0.155,0.152,0.15,0.152,0.183
"P04","Solo NBFamiliares",0.212,0.314,0.263,0.269,0.225
"P04","No alcanza NBFamiliares",0.357,0.21,0.315,0.325,0.392
"P04","No sabe",0.028,0.02,0.017,0.021,0.023
"P05","Todos los días",0.286,0.223,0.231,0.267,0.271
"P05","Hasta 5 veces por semana",0.156,0.143,0.145,0.169,0.119
"P05","Entre 4 y 1 vez por semana",0.176,0.187,0.18,0.121,0.108
"P05","Ocasionalmente/ A veces",0.218,0.266,0.24,0.241,0.203
"P05","Nunca",0.164,0.181,0.204,0.202,0.299
"P06","Colectivo",0.628,0.594,0.61,0.628,0.574
"P06","Subte",0.084,0.084,0.078,0.084,0.082
"P06","Tren",0.089,0.088,0.084,0.078,0.059
"P06","Premetro",0.035,0.041,0.027,0.016,0.027
"P06","Taxi",0.087,0.101,0.105,0.104,0.118
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.077,0.092,0.096,0.09,0.14
"P07","Todos los días",0.285,0.163,0.188,0.219,0.273
"P07","Hasta 5 veces por semana",0.084,0.091,0.065,0.121,0.05
"P07","Entre 4 y 1 vez por semana",0.123,0.118,0.115,0.111,0.071
"P07","Ocasionalmente/ A veces",0.159,0.27,0.246,0.194,0.165
"P07","Nunca",0.349,0.358,0.386,0.355,0.441
"P08","Menos de 30 minutos por día",0.463,0.465,0.438,0.397,0.405
"P08","Entre 30 minutos y 1 hora por día",0.264,0.268,0.293,0.264,0.185
"P08","Entre 1 y 2 horas por día",0.169,0.154,0.141,0.19,0.162
"P08","Más de 2 horas por día",0.104,0.113,0.128,0.149,0.248
"P09","Todos los días",0.163,0.061,0.065,0.059,0.081
"P09","Hasta 5 veces por semana",0.087,0.053,0.052,0.045,0.019
"P09","Entre 4 y 1 vez por semana",0.083,0.068,0.075,0.069,0.029
"P09","Ocasionalmente/ A veces",0.176,0.29,0.258,0.277,0.206
"P09","Nunca",0.491,0.528,0.55,0.55,0.665
"P10","Todos los días",0.11,0.031,0.03,0.041,0.06
"P10","Hasta 5 veces por semana",0.037,0.029,0.019,0.024,0.017
"P10","Entre 4 y 1 vez por semana",0.06,0.062,0.047,0.042,0.024
"P10","Ocasionalmente/ A veces",0.285,0.395,0.331,0.312,0.245
"P10","Nunca",0.091,0.104,0.074,0.098,0.078
"P10","No existen esos servicios donde vivo",0.417,0.379,0.499,0.483,0.576
"P11","Taxis tradicionales",0.27,0.245,0.185,0.179,0.171
"P11","Aplicaciones de transporte",0.339,0.353,0.289,0.312,0.299
"P11","No tengo preferencia por ninguna",0.254,0.27,0.315,0.316,0.271
"P11","No existen servicios de aplicaciones donde vivo",0.137,0.132,0.211,0.193,0.259
"P12","Más de 5000 pesos mensuales",0.328,0.268,0.26,0.377,0.421
"P12","Entre 5000 y 2500 pesos mensuales",0.236,0.264,0.281,0.236,0.193
"P12","Menos de 2500 pesos mensuales",0.436,0.468,0.459,0.387,0.386
"P13","Muy caro",0.336,0.212,0.276,0.375,0.561
"P13","Caro",0.188,0.266,0.226,0.222,0.154
"P13","Ni caro ni barato",0.264,0.358,0.342,0.26,0.149
"P13","Barato",0.095,0.076,0.048,0.039,0.024
"P13","Muy barato",0.057,0.043,0.025,0.03,0.039
"P13","No sabe",0.06,0.045,0.083,0.074,0.073
"P14","Sí, han aumentado significativamente",0.604,0.35,0.369,0.496,0.615
"P14","Sí, han aumentado ligeramente",0.147,0.389,0.278,0.223,0.138
"P14","No, se han mantenido iguales",0.141,0.132,0.187,0.089,0.083
"P14","No sabe",0.108,0.129,0.166,0.192,0.164
"P16","Falta de mantenimiento de estaciones y vehículos",0.329,0.133,0.185,0.269,0.249
"P16","Insuficiente cantidad de paradas/estaciones",0.064,0.185,0.056,0.05,0.024
"P16","Escasez de señalización",0.073,0.055,0.157,0.028,0.026
"P16","Insuficiencia en los horarios",0.174,0.263,0.303,0.44,0.341
"P16","Malas conexiones entre medios de transporte",0.034,0.052,0.041,0.056,0.151
"P16","Falta de seguridad de estaciones y vehículos",0.086,0.081,0.059,0.052,0.073
"P16","Mala accesibilidad para personas con movilidad reducida",0.041,0.069,0.054,0.037,0.048
"P16","No sabe",0.199,0.162,0.145,0.068,0.088
"P17","WiFi gratuito en estaciones y vehículos",0.379,0.261,0.265,0.285,0.192
"P17","Cargadores USB en los vehículos",0.108,0.109,0.081,0.067,0.071
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.199,0.253,0.216,0.212,0.174
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.314,0.377,0.438,0.436,0.563
"P18","Muy buena",0.348,0.052,0.048,0.062,0.029
"P18","Buena",0.279,0.43,0.111,0.068,0.01
"P18","Ni buena ni mala",0.217,0.411,0.646,0.369,0.149
"P18","Mala",0.09,0.093,0.148,0.415,0.276
"P18","Muy mala",0.066,0.014,0.047,0.086,0.536
"P19","Sí, con frecuencia",0.342,0.221,0.321,0.523,0.664
"P19","Sí, ocasionalmente",0.267,0.412,0.311,0.218,0.127
"P19","No, rara vez",0.25,0.283,0.253,0.15,0.111
"P19","No, nunca he experimentado problemas de congestión o demoras",0.141,0.084,0.115,0.109,0.098
"P20","Sí, siempre me siento seguro/a",0.453,0.256,0.209,0.157,0.131
"P20","Sí, en su mayoría me siento seguro/a",0.156,0.343,0.232,0.199,0.086
"P20","A veces me siento seguro/a, a veces no",0.204,0.263,0.32,0.298,0.186
"P20","No me siento seguro/a la mayoría de las veces",0.111,0.109,0.183,0.253,0.261
"P20","No me siento seguro/a en absoluto",0.076,0.029,0.056,0.093,0.336
"P21","Sí, en más de una ocasión",0.299,0.127,0.142,0.257,0.357
"P21","Sí, en una ocasión",0.204,0.244,0.187,0.197,0.172
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.417,0.551,0.548,0.443,0.306
"P21","Prefiero no responder",0.08,0.078,0.123,0.103,0.165
"P22","Sí, en más de una ocasión",0.213,0.073,0.097,0.137,0.267
"P22","Sí, en una ocasión",0.172,0.149,0.137,0.16,0.167
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.553,0.706,0.662,0.587,0.463
"P22","Prefiero no responder",0.062,0.072,0.104,0.116,0.103
