"var","categoria","Muy caro","Caro","Ni caro ni barato","Barato","Muy barato","No sabe"
"P04","Gran excedente habitual",0.003,0.01,0.009,0.013,0.04,0.014
"P04","Gran excedente excepcional",0.003,0.001,0.003,0.004,0.013,0.002
"P04","Pequeño excedente habitual",0.027,0.039,0.057,0.105,0.198,0.08
"P04","Pequeño excedente excepcional",0.031,0.039,0.08,0.135,0.113,0.078
"P04","Alcanza gastos familia",0.075,0.117,0.173,0.186,0.161,0.135
"P04","No alcanza gastos familia",0.149,0.181,0.153,0.168,0.091,0.166
"P04","Solo NBFamiliares",0.251,0.312,0.283,0.209,0.167,0.182
"P04","No alcanza NBFamiliares",0.454,0.279,0.224,0.169,0.19,0.249
"P04","No sabe",0.007,0.022,0.018,0.011,0.027,0.094
"P05","Todos los días",0.345,0.241,0.209,0.164,0.115,0.09
"P05","Hasta 5 veces por semana",0.148,0.19,0.132,0.187,0.117,0.053
"P05","Entre 4 y 1 vez por semana",0.147,0.173,0.167,0.191,0.133,0.112
"P05","Ocasionalmente/ A veces",0.19,0.254,0.268,0.312,0.316,0.215
"P05","Nunca",0.17,0.142,0.224,0.146,0.319,0.53
"P06","Colectivo",0.704,0.64,0.561,0.563,0.436,0.373
"P06","Subte",0.056,0.095,0.089,0.12,0.089,0.076
"P06","Tren",0.061,0.072,0.098,0.132,0.115,0.048
"P06","Premetro",0.016,0.035,0.043,0.026,0.024,0.034
"P06","Taxi",0.093,0.072,0.112,0.075,0.114,0.228
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.07,0.086,0.097,0.084,0.222,0.241
"P07","Todos los días",0.342,0.175,0.163,0.105,0.154,0.086
"P07","Hasta 5 veces por semana",0.089,0.101,0.077,0.045,0.069,0.029
"P07","Entre 4 y 1 vez por semana",0.092,0.13,0.112,0.177,0.082,0.043
"P07","Ocasionalmente/ A veces",0.153,0.223,0.269,0.311,0.203,0.181
"P07","Nunca",0.324,0.371,0.379,0.362,0.492,0.661
"P08","Menos de 30 minutos por día",0.371,0.409,0.458,0.51,0.569,0.616
"P08","Entre 30 minutos y 1 hora por día",0.283,0.291,0.259,0.265,0.195,0.125
"P08","Entre 1 y 2 horas por día",0.176,0.185,0.148,0.112,0.151,0.086
"P08","Más de 2 horas por día",0.17,0.115,0.135,0.113,0.085,0.173
"P09","Todos los días",0.104,0.052,0.073,0.063,0.112,0.087
"P09","Hasta 5 veces por semana",0.066,0.062,0.036,0.048,0.035,0.013
"P09","Entre 4 y 1 vez por semana",0.068,0.081,0.077,0.065,0.017,0.028
"P09","Ocasionalmente/ A veces",0.257,0.276,0.254,0.269,0.165,0.159
"P09","Nunca",0.505,0.529,0.56,0.555,0.671,0.713
"P10","Todos los días",0.085,0.028,0.016,0.05,0.091,0.032
"P10","Hasta 5 veces por semana",0.033,0.03,0.021,0.021,0.003,0.005
"P10","Entre 4 y 1 vez por semana",0.042,0.052,0.066,0.061,0.023,0.011
"P10","Ocasionalmente/ A veces",0.27,0.352,0.378,0.426,0.296,0.175
"P10","Nunca",0.058,0.089,0.095,0.131,0.143,0.152
"P10","No existen esos servicios donde vivo",0.512,0.449,0.424,0.311,0.444,0.625
"P11","Taxis tradicionales",0.238,0.217,0.185,0.195,0.214,0.092
"P11","Aplicaciones de transporte",0.289,0.329,0.339,0.398,0.364,0.171
"P11","No tengo preferencia por ninguna",0.271,0.292,0.317,0.302,0.295,0.322
"P11","No existen servicios de aplicaciones donde vivo",0.202,0.162,0.159,0.105,0.127,0.415
"P12","Más de 5000 pesos mensuales",0.52,0.259,0.196,0.207,0.206,0.132
"P12","Entre 5000 y 2500 pesos mensuales",0.221,0.379,0.244,0.277,0.138,0.081
"P12","Menos de 2500 pesos mensuales",0.259,0.362,0.56,0.516,0.656,0.787
"P14","Sí, han aumentado significativamente",0.702,0.458,0.307,0.208,0.157,0.201
"P14","Sí, han aumentado ligeramente",0.142,0.337,0.306,0.418,0.284,0.16
"P14","No, se han mantenido iguales",0.081,0.101,0.226,0.181,0.228,0.028
"P14","No sabe",0.075,0.104,0.161,0.193,0.331,0.611
"P15","Muy buena",0.13,0.109,0.116,0.221,0.203,0.112
"P15","Buena",0.133,0.252,0.256,0.289,0.251,0.137
"P15","Ni buena ni mala",0.257,0.319,0.362,0.272,0.212,0.371
"P15","Mala",0.25,0.224,0.197,0.158,0.186,0.236
"P15","Muy mala",0.23,0.096,0.069,0.06,0.148,0.144
"P16","Falta de mantenimiento de estaciones y vehículos",0.3,0.22,0.177,0.189,0.134,0.081
"P16","Insuficiente cantidad de paradas/estaciones",0.083,0.1,0.07,0.067,0.077,0.024
"P16","Escasez de señalización",0.066,0.082,0.087,0.086,0.119,0.065
"P16","Insuficiencia en los horarios",0.315,0.349,0.332,0.307,0.231,0.173
"P16","Malas conexiones entre medios de transporte",0.057,0.059,0.07,0.049,0.068,0.048
"P16","Falta de seguridad de estaciones y vehículos",0.058,0.067,0.065,0.071,0.142,0.088
"P16","Mala accesibilidad para personas con movilidad reducida",0.056,0.047,0.037,0.057,0.046,0.098
"P16","No sabe",0.065,0.076,0.162,0.174,0.183,0.423
"P17","WiFi gratuito en estaciones y vehículos",0.311,0.272,0.243,0.294,0.159,0.265
"P17","Cargadores USB en los vehículos",0.094,0.074,0.089,0.052,0.089,0.094
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.166,0.239,0.245,0.229,0.241,0.224
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.429,0.415,0.423,0.425,0.511,0.417
"P18","Muy buena",0.08,0.073,0.073,0.14,0.223,0.102
"P18","Buena",0.117,0.187,0.234,0.284,0.129,0.098
"P18","Ni buena ni mala",0.344,0.444,0.465,0.379,0.382,0.483
"P18","Mala",0.255,0.226,0.177,0.144,0.136,0.129
"P18","Muy mala",0.204,0.07,0.051,0.053,0.13,0.188
"P19","Sí, con frecuencia",0.586,0.349,0.287,0.275,0.305,0.216
"P19","Sí, ocasionalmente",0.209,0.345,0.329,0.338,0.232,0.189
"P19","No, rara vez",0.136,0.217,0.272,0.304,0.29,0.258
"P19","No, nunca he experimentado problemas de congestión o demoras",0.069,0.089,0.112,0.083,0.173,0.337
"P20","Sí, siempre me siento seguro/a",0.226,0.168,0.245,0.276,0.326,0.259
"P20","Sí, en su mayoría me siento seguro/a",0.151,0.28,0.253,0.288,0.21,0.137
"P20","A veces me siento seguro/a, a veces no",0.246,0.297,0.295,0.259,0.209,0.239
"P20","No me siento seguro/a la mayoría de las veces",0.231,0.191,0.149,0.104,0.102,0.206
"P20","No me siento seguro/a en absoluto",0.146,0.064,0.058,0.073,0.153,0.159
"P21","Sí, en más de una ocasión",0.308,0.187,0.148,0.175,0.253,0.135
"P21","Sí, en una ocasión",0.167,0.251,0.225,0.214,0.167,0.104
