"var","categoria","WiFi gratuito en estaciones y vehículos","Cargadores USB en los vehículos","Pantallas de información en tiempo real en estaciones y vehículos","Buenas instalaciones de espera y descanso en las estaciones"
"P04","Gran excedente habitual",0.008,0.014,0.015,0.005
"P04","Gran excedente excepcional",0.005,0.012,0,0.002
"P04","Pequeño excedente habitual",0.037,0.053,0.067,0.055
"P04","Pequeño excedente excepcional",0.058,0.032,0.068,0.058
"P04","Alcanza gastos familia",0.107,0.105,0.158,0.132
"P04","No alcanza gastos familia",0.144,0.164,0.172,0.164
"P04","Solo NBFamiliares",0.238,0.258,0.301,0.251
"P04","No alcanza NBFamiliares",0.382,0.312,0.206,0.315
"P04","No sabe",0.021,0.05,0.013,0.018
"P05","Todos los días",0.278,0.251,0.232,0.238
"P05","Hasta 5 veces por semana",0.155,0.109,0.137,0.156
"P05","Entre 4 y 1 vez por semana",0.146,0.155,0.188,0.156
"P05","Ocasionalmente/ A veces",0.195,0.235,0.283,0.254
"P05","Nunca",0.226,0.25,0.16,0.196
"P06","Colectivo",0.603,0.581,0.574,0.636
"P06","Subte",0.074,0.089,0.107,0.076
"P06","Tren",0.078,0.052,0.107,0.078
"P06","Premetro",0.029,0.044,0.028,0.026
"P06","Taxi",0.126,0.127,0.08,0.09
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.09,0.107,0.104,0.094
"P07","Todos los días",0.269,0.251,0.156,0.181
"P07","Hasta 5 veces por semana",0.087,0.083,0.09,0.076
"P07","Entre 4 y 1 vez por semana",0.107,0.103,0.127,0.106
"P07","Ocasionalmente/ A veces",0.202,0.21,0.255,0.231
"P07","Nunca",0.335,0.353,0.372,0.406
"P08","Menos de 30 minutos por día",0.452,0.405,0.394,0.448
"P08","Entre 30 minutos y 1 hora por día",0.259,0.32,0.287,0.246
"P08","Entre 1 y 2 horas por día",0.146,0.131,0.194,0.164
"P08","Más de 2 horas por día",0.143,0.144,0.125,0.142
"P09","Todos los días",0.12,0.099,0.061,0.056
"P09","Hasta 5 veces por semana",0.067,0.097,0.046,0.034
"P09","Entre 4 y 1 vez por semana",0.06,0.083,0.062,0.063
"P09","Ocasionalmente/ A veces",0.235,0.287,0.259,0.251
"P09","Nunca",0.518,0.434,0.572,0.596
"P10","Todos los días",0.09,0.088,0.027,0.026
"P10","Hasta 5 veces por semana",0.033,0.035,0.021,0.014
"P10","Entre 4 y 1 vez por semana",0.036,0.07,0.052,0.042
"P10","Ocasionalmente/ A veces",0.307,0.334,0.354,0.313
"P10","Nunca",0.077,0.039,0.113,0.096
"P10","No existen esos servicios donde vivo",0.457,0.434,0.433,0.509
"P11","Taxis tradicionales",0.243,0.23,0.172,0.2
"P11","Aplicaciones de transporte",0.299,0.374,0.387,0.276
"P11","No tengo preferencia por ninguna",0.268,0.245,0.29,0.32
"P11","No existen servicios de aplicaciones donde vivo",0.19,0.151,0.151,0.204
"P12","Más de 5000 pesos mensuales",0.363,0.338,0.255,0.314
"P12","Entre 5000 y 2500 pesos mensuales",0.233,0.268,0.299,0.233
"P12","Menos de 2500 pesos mensuales",0.404,0.394,0.446,0.453
"P13","Muy caro",0.374,0.361,0.254,0.331
"P13","Caro",0.22,0.189,0.244,0.215
"P13","Ni caro ni barato",0.26,0.305,0.333,0.29
"P13","Barato",0.06,0.034,0.06,0.056
"P13","Muy barato",0.02,0.036,0.039,0.042
"P13","No sabe",0.066,0.075,0.07,0.066
"P14","Sí, han aumentado significativamente",0.505,0.42,0.405,0.461
"P14","Sí, han aumentado ligeramente",0.235,0.252,0.311,0.243
"P14","No, se han mantenido iguales",0.114,0.145,0.139,0.145
"P14","No sabe",0.146,0.183,0.145,0.151
"P15","Muy buena",0.172,0.155,0.114,0.091
"P15","Buena",0.201,0.268,0.248,0.186
"P15","Ni buena ni mala",0.298,0.29,0.308,0.316
"P15","Mala",0.236,0.177,0.223,0.231
"P15","Muy mala",0.093,0.11,0.107,0.176
"P16","Falta de mantenimiento de estaciones y vehículos",0.348,0.188,0.147,0.189
"P16","Insuficiente cantidad de paradas/estaciones",0.104,0.223,0.045,0.05
"P16","Escasez de señalización",0.073,0.051,0.1,0.075
"P16","Insuficiencia en los horarios",0.233,0.24,0.384,0.358
"P16","Malas conexiones entre medios de transporte",0.042,0.04,0.06,0.079
"P16","Falta de seguridad de estaciones y vehículos",0.042,0.062,0.088,0.071
"P16","Mala accesibilidad para personas con movilidad reducida",0.042,0.057,0.047,0.059
"P16","No sabe",0.116,0.139,0.129,0.119
"P18","Muy buena",0.211,0.056,0.034,0.04
"P18","Buena",0.17,0.319,0.181,0.146
"P18","Ni buena ni mala",0.389,0.407,0.526,0.376
"P18","Mala",0.138,0.126,0.169,0.286
"P18","Muy mala",0.092,0.092,0.09,0.152
"P19","Sí, con frecuencia",0.396,0.369,0.323,0.434
"P19","Sí, ocasionalmente",0.264,0.292,0.356,0.251
"P19","No, rara vez",0.231,0.247,0.216,0.203
"P19","No, nunca he experimentado problemas de congestión o demoras",0.109,0.092,0.105,0.112
"P20","Sí, siempre me siento seguro/a",0.281,0.224,0.187,0.214
"P20","Sí, en su mayoría me siento seguro/a",0.226,0.217,0.286,0.179
"P20","A veces me siento seguro/a, a veces no",0.255,0.294,0.278,0.273
"P20","No me siento seguro/a la mayoría de las veces",0.15,0.173,0.166,0.219
"P20","No me siento seguro/a en absoluto",0.088,0.092,0.083,0.115
"P21","Sí, en más de una ocasión",0.264,0.205,0.161,0.21
"P21","Sí, en una ocasión",0.164,0.231,0.233,0.203
"P21","No, nunca he presenciado un incidente de seguridad en el trasporte público",0.462,0.422,0.517,0.474
"P21","Prefiero no responder",0.11,0.142,0.089,0.113
"P22","Sí, en más de una ocasión",0.226,0.132,0.071,0.12
"P22","Sí, en una ocasión",0.142,0.203,0.164,0.146
"P22","No, nunca he sido víctima de un incidente de seguridad en el trasporte público",0.557,0.597,0.676,0.62
"P22","Prefiero no responder",0.075,0.068,0.089,0.114
