"var","categoria","Menos de 30 minutos por día","Entre 30 minutos y 1 hora por día","Entre 1 y 2 horas por día","Más de 2 horas por día"
"P04","Gran excedente habitual",0.015,0.005,0.004,0.006
"P04","Gran excedente excepcional",0.003,0.006,0.003,0.004
"P04","Pequeño excedente habitual",0.075,0.03,0.047,0.025
"P04","Pequeño excedente excepcional",0.088,0.042,0.031,0.037
"P04","Alcanza gastos familia",0.164,0.105,0.093,0.095
"P04","No alcanza gastos familia",0.133,0.168,0.225,0.145
"P04","Solo NBFamiliares",0.233,0.298,0.239,0.281
"P04","No alcanza NBFamiliares",0.263,0.332,0.339,0.386
"P04","No sabe",0.026,0.014,0.019,0.021
"P05","Todos los días",0.137,0.306,0.359,0.317
"P05","Hasta 5 veces por semana",0.073,0.249,0.196,0.12
"P05","Entre 4 y 1 vez por semana",0.125,0.194,0.238,0.116
"P05","Ocasionalmente/ A veces",0.306,0.184,0.151,0.219
"P05","Nunca",0.359,0.067,0.056,0.228
"P06","Colectivo",0.54,0.72,0.698,0.559
"P06","Subte",0.06,0.106,0.078,0.09
"P06","Tren",0.045,0.071,0.152,0.092
"P06","Premetro",0.026,0.018,0.019,0.057
"P06","Taxi",0.16,0.047,0.023,0.102
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.169,0.038,0.03,0.1
"P07","Todos los días",0.181,0.237,0.273,0.225
"P07","Hasta 5 veces por semana",0.021,0.142,0.134,0.092
"P07","Entre 4 y 1 vez por semana",0.045,0.14,0.208,0.103
"P07","Ocasionalmente/ A veces",0.181,0.215,0.186,0.274
"P07","Nunca",0.572,0.266,0.199,0.306
"P09","Todos los días",0.148,0.024,0.028,0.048
"P09","Hasta 5 veces por semana",0.018,0.126,0.022,0.026
"P09","Entre 4 y 1 vez por semana",0.046,0.064,0.149,0.035
"P09","Ocasionalmente/ A veces",0.231,0.23,0.213,0.295
"P09","Nunca",0.557,0.556,0.588,0.596
"P10","Todos los días",0.057,0.036,0.028,0.069
"P10","Hasta 5 veces por semana",0.018,0.038,0.026,0.02
"P10","Entre 4 y 1 vez por semana",0.038,0.062,0.08,0.039
"P10","Ocasionalmente/ A veces",0.311,0.335,0.314,0.294
"P10","Nunca",0.085,0.089,0.121,0.073
"P10","No existen esos servicios donde vivo",0.491,0.44,0.431,0.505
"P11","Taxis tradicionales",0.23,0.212,0.154,0.159
"P11","Aplicaciones de transporte",0.287,0.329,0.351,0.283
"P11","No tengo preferencia por ninguna",0.274,0.297,0.338,0.307
"P11","No existen servicios de aplicaciones donde vivo",0.209,0.162,0.157,0.251
"P12","Más de 5000 pesos mensuales",0.219,0.367,0.41,0.39
"P12","Entre 5000 y 2500 pesos mensuales",0.174,0.339,0.312,0.254
"P12","Menos de 2500 pesos mensuales",0.607,0.294,0.278,0.356
"P13","Muy caro",0.277,0.353,0.362,0.392
"P13","Caro",0.2,0.237,0.249,0.172
"P13","Ni caro ni barato",0.309,0.293,0.276,0.282
"P13","Barato",0.065,0.056,0.039,0.044
"P13","Muy barato",0.048,0.027,0.035,0.022
"P13","No sabe",0.101,0.034,0.039,0.088
"P14","Sí, han aumentado significativamente",0.382,0.497,0.52,0.509
"P14","Sí, han aumentado ligeramente",0.239,0.256,0.298,0.245
"P14","No, se han mantenido iguales",0.135,0.16,0.101,0.124
"P14","No sabe",0.244,0.087,0.081,0.122
"P15","Muy buena",0.136,0.128,0.134,0.093
"P15","Buena",0.223,0.212,0.198,0.165
"P15","Ni buena ni mala",0.312,0.343,0.271,0.276
"P15","Mala",0.202,0.221,0.261,0.23
"P15","Muy mala",0.127,0.096,0.136,0.236
"P16","Falta de mantenimiento de estaciones y vehículos",0.203,0.239,0.234,0.221
"P16","Insuficiente cantidad de paradas/estaciones",0.076,0.093,0.056,0.079
"P16","Escasez de señalización",0.078,0.07,0.077,0.1
"P16","Insuficiencia en los horarios",0.272,0.358,0.344,0.331
"P16","Malas conexiones entre medios de transporte",0.064,0.039,0.091,0.056
"P16","Falta de seguridad de estaciones y vehículos",0.069,0.053,0.092,0.06
"P16","Mala accesibilidad para personas con movilidad reducida",0.064,0.044,0.038,0.036
"P16","No sabe",0.174,0.104,0.068,0.117
"P17","WiFi gratuito en estaciones y vehículos",0.285,0.267,0.245,0.281
"P17","Cargadores USB en los vehículos",0.08,0.103,0.069,0.089
"P17","Pantallas de información en tiempo real en estaciones y vehículos",0.196,0.233,0.257,0.194
"P17","Buenas instalaciones de espera y descanso en las estaciones",0.439,0.397,0.429,0.436
"P18","Muy buena",0.113,0.055,0.083,0.068
"P18","Buena",0.171,0.219,0.156,0.129
"P18","Ni buena ni mala",0.451,0.439,0.371,0.307
"P18","Mala",0.17,0.199,0.266,0.264
"P18","Muy mala",0.095,0.088,0.124,0.232
"P19","Sí, con frecuencia",0.316,0.409,0.487,0.498
"P19","Sí, ocasionalmente",0.271,0.324,0.311,0.194
"P19","No, rara vez",0.257,0.205,0.159,0.183
"P19","No, nunca he experimentado problemas de congestión o demoras",0.156,0.062,0.043,0.125
"P20","Sí, siempre me siento seguro/a",0.256,0.211,0.205,0.197
"P20","Sí, en su mayoría me siento seguro/a",0.222,0.244,0.209,0.168
