"var","categoria","Colectivo","Subte","Tren","Premetro","Taxi","Aplicaciones como Uber, Cabify, Didi o similares"
"P04","Gran excedente habitual",0.004,0.011,0.002,0.001,0.013,0.036
"P04","Gran excedente excepcional",0.001,0.01,0.004,0,0.002,0.014
"P04","Pequeño excedente habitual",0.03,0.074,0.044,0.044,0.095,0.094
"P04","Pequeño excedente excepcional",0.039,0.102,0.045,0.051,0.113,0.084
"P04","Alcanza gastos familia",0.105,0.144,0.123,0.167,0.179,0.199
"P04","No alcanza gastos familia",0.16,0.169,0.176,0.169,0.162,0.166
"P04","Solo NBFamiliares",0.267,0.234,0.268,0.313,0.211,0.212
"P04","No alcanza NBFamiliares",0.371,0.226,0.317,0.242,0.206,0.175
"P04","No sabe",0.023,0.03,0.021,0.013,0.019,0.02
"P05","Todos los días",0.321,0.143,0.179,0.024,0.027,0.036
"P05","Hasta 5 veces por semana",0.16,0.323,0.149,0.04,0.009,0.017
"P05","Entre 4 y 1 vez por semana",0.165,0.148,0.368,0.039,0.036,0.059
"P05","Ocasionalmente/ A veces",0.245,0.249,0.211,0.756,0.143,0.153
"P05","Nunca",0.109,0.137,0.093,0.141,0.785,0.735
"P07","Todos los días",0.299,0.133,0.165,0.021,0.034,0.042
"P07","Hasta 5 veces por semana",0.077,0.219,0.121,0.043,0.018,0.014
"P07","Entre 4 y 1 vez por semana",0.103,0.13,0.256,0.036,0.017,0.037
"P07","Ocasionalmente/ A veces",0.206,0.267,0.257,0.448,0.107,0.116
"P07","Nunca",0.315,0.251,0.201,0.452,0.824,0.791
"P08","Menos de 30 minutos por día",0.387,0.333,0.263,0.417,0.697,0.719
"P08","Entre 30 minutos y 1 hora por día",0.303,0.346,0.245,0.17,0.12,0.094
"P08","Entre 1 y 2 horas por día",0.176,0.154,0.312,0.106,0.034,0.045
"P08","Más de 2 horas por día",0.134,0.167,0.18,0.307,0.149,0.142
"P09","Todos los días",0.072,0.044,0.061,0.108,0.168,0.095
"P09","Hasta 5 veces por semana",0.046,0.082,0.05,0.083,0.056,0.021
"P09","Entre 4 y 1 vez por semana",0.058,0.104,0.091,0.127,0.08,0.028
"P09","Ocasionalmente/ A veces",0.231,0.257,0.169,0.239,0.336,0.213
"P09","Nunca",0.593,0.513,0.629,0.443,0.36,0.643
"P10","Todos los días",0.049,0.033,0.044,0.022,0.052,0.066
"P10","Hasta 5 veces por semana",0.023,0.016,0.05,0.03,0.022,0.025
"P10","Entre 4 y 1 vez por semana",0.049,0.082,0.041,0.102,0.021,0.062
