"var","categoria","Sí, con frecuencia","Sí, ocasionalmente","No, rara vez","No, nunca he experimentado problemas de congestión o demoras"
"P04","Gran excedente habitual",0.008,0.006,0.011,0.013
"P04","Gran excedente excepcional",0.003,0.003,0.006,0
"P04","Pequeño excedente habitual",0.029,0.056,0.067,0.103
"P04","Pequeño excedente excepcional",0.031,0.075,0.07,0.091
"P04","Alcanza gastos familia",0.087,0.162,0.136,0.181
"P04","No alcanza gastos familia",0.177,0.146,0.156,0.155
"P04","Solo NBFamiliares",0.25,0.299,0.237,0.208
"P04","No alcanza NBFamiliares",0.398,0.237,0.29,0.23
"P04","No sabe",0.017,0.016,0.027,0.019
"P05","Todos los días",0.358,0.221,0.152,0.145
"P05","Hasta 5 veces por semana",0.179,0.161,0.11,0.073
"P05","Entre 4 y 1 vez por semana",0.142,0.198,0.187,0.118
"P05","Ocasionalmente/ A veces",0.183,0.282,0.311,0.233
"P05","Nunca",0.138,0.138,0.24,0.431
"P06","Colectivo",0.686,0.618,0.572,0.438
"P06","Subte",0.085,0.103,0.061,0.069
"P06","Tren",0.079,0.091,0.085,0.075
"P06","Premetro",0.017,0.033,0.042,0.029
"P06","Taxi",0.062,0.067,0.13,0.221
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.071,0.088,0.11,0.168
"P07","Todos los días",0.289,0.164,0.134,0.16
"P07","Hasta 5 veces por semana",0.116,0.077,0.055,0.028
"P07","Entre 4 y 1 vez por semana",0.112,0.132,0.111,0.061
"P07","Ocasionalmente/ A veces",0.196,0.283,0.266,0.18
"P07","Nunca",0.287,0.344,0.434,0.571
"P08","Menos de 30 minutos por día",0.344,0.415,0.51,0.619
"P08","Entre 30 minutos y 1 hora por día",0.274,0.305,0.25,0.153
"P08","Entre 1 y 2 horas por día",0.204,0.183,0.121,0.066
"P08","Más de 2 horas por día",0.178,0.097,0.119,0.162
"P09","Todos los días",0.088,0.059,0.087,0.088
"P09","Hasta 5 veces por semana",0.064,0.046,0.043,0.031
"P09","Entre 4 y 1 vez por semana",0.072,0.059,0.078,0.016
"P09","Ocasionalmente/ A veces",0.222,0.292,0.261,0.235
"P09","Nunca",0.554,0.544,0.531,0.63
"P10","Todos los días",0.075,0.022,0.043,0.039
"P10","Hasta 5 veces por semana",0.025,0.028,0.009,0.034
"P10","Entre 4 y 1 vez por semana",0.044,0.052,0.051,0.022
"P10","Ocasionalmente/ A veces",0.3,0.406,0.313,0.223
"P10","Nunca",0.09,0.089,0.082,0.092
"P10","No existen esos servicios donde vivo",0.466,0.403,0.502,0.59
"P11","Taxis tradicionales",0.211,0.187,0.221,0.197
