"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P05","Todos los días",0.137,0.149,0.133,0.073,0.101,0.189,0.151,0.352,0.235
"P05","Hasta 5 veces por semana",0.065,0.045,0.065,0.063,0.05,0.118,0.197,0.132,0.131
"P05","Entre 4 y 1 vez por semana",0.104,0.192,0.073,0.092,0.112,0.196,0.144,0.131,0.182
"P05","Ocasionalmente/ A veces",0.083,0.12,0.199,0.214,0.356,0.198,0.251,0.177,0.233
"P05","Nunca",0.611,0.494,0.53,0.558,0.381,0.299,0.257,0.208,0.219
"P06","Colectivo",0.262,0.206,0.346,0.385,0.466,0.572,0.617,0.701,0.603
"P06","Subte",0.089,0.205,0.114,0.134,0.084,0.08,0.071,0.056,0.102
"P06","Tren",0.013,0.074,0.062,0.054,0.066,0.076,0.075,0.073,0.067
"P06","Premetro",0.002,0,0.024,0.025,0.036,0.029,0.035,0.022,0.017
"P06","Taxi",0.152,0.056,0.212,0.217,0.152,0.111,0.094,0.075,0.095
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.482,0.459,0.242,0.185,0.196,0.132,0.108,0.073,0.116
"P07","Todos los días",0.082,0.142,0.108,0.08,0.111,0.207,0.189,0.318,0.224
"P07","Hasta 5 veces por semana",0.038,0.183,0.032,0.062,0.039,0.093,0.079,0.094,0.03
"P07","Entre 4 y 1 vez por semana",0.02,0.146,0.038,0.076,0.082,0.123,0.104,0.097,0.142
"P07","Ocasionalmente/ A veces",0.269,0.091,0.167,0.163,0.238,0.184,0.229,0.178,0.21
"P07","Nunca",0.591,0.438,0.655,0.619,0.53,0.393,0.399,0.313,0.394
"P08","Menos de 30 minutos por día",0.697,0.355,0.637,0.647,0.565,0.37,0.398,0.373,0.545
"P08","Entre 30 minutos y 1 hora por día",0.14,0.404,0.152,0.181,0.213,0.275,0.298,0.275,0.166
"P08","Entre 1 y 2 horas por día",0.063,0.106,0.14,0.081,0.113,0.22,0.144,0.169,0.14
"P08","Más de 2 horas por día",0.1,0.135,0.071,0.091,0.109,0.135,0.16,0.183,0.149
"P09","Todos los días",0.142,0.104,0.058,0.084,0.079,0.077,0.074,0.083,0.236
"P09","Hasta 5 veces por semana",0.045,0.073,0.015,0.062,0.035,0.051,0.037,0.066,0.021
"P09","Entre 4 y 1 vez por semana",0.024,0.069,0.07,0.05,0.054,0.082,0.055,0.076,0.037
"P09","Ocasionalmente/ A veces",0.302,0.417,0.256,0.248,0.293,0.229,0.257,0.199,0.158
