"var","categoria","Todos los días","Hasta 5 veces por semana","Entre 4 y 1 vez por semana","Ocasionalmente/ A veces","No existen esos servicios donde vivo","Nunca"
"P04","Gran excedente habitual",0.036,0.01,0.017,0.006,0.009,0.006
"P04","Gran excedente excepcional",0.008,0.004,0.006,0.004,0.001,0.004
"P04","Pequeño excedente habitual",0.013,0.023,0.044,0.059,0.044,0.079
"P04","Pequeño excedente excepcional",0.018,0.056,0.057,0.069,0.055,0.078
"P04","Alcanza gastos familia",0.083,0.088,0.109,0.158,0.109,0.131
"P04","No alcanza gastos familia",0.143,0.171,0.204,0.154,0.15,0.181
"P04","Solo NBFamiliares",0.182,0.169,0.238,0.274,0.265,0.245
"P04","No alcanza NBFamiliares",0.441,0.479,0.307,0.259,0.351,0.232
"P04","No sabe",0.076,0,0.018,0.017,0.016,0.044
"P05","Todos los días",0.44,0.284,0.316,0.24,0.218,0.217
"P05","Hasta 5 veces por semana",0.1,0.205,0.175,0.147,0.152,0.144
"P05","Entre 4 y 1 vez por semana",0.125,0.211,0.231,0.176,0.131,0.19
"P05","Ocasionalmente/ A veces",0.124,0.155,0.177,0.263,0.236,0.273
"P05","Nunca",0.211,0.145,0.101,0.174,0.263,0.176
"P06","Colectivo",0.609,0.565,0.583,0.57,0.633,0.619
"P06","Subte",0.054,0.051,0.126,0.092,0.067,0.091
"P06","Tren",0.069,0.155,0.062,0.082,0.067,0.106
"P06","Premetro",0.013,0.035,0.057,0.025,0.029,0.027
"P06","Taxi",0.109,0.088,0.042,0.084,0.121,0.098
"P06","Aplicaciones como Uber, Cabify, Didi o similares",0.146,0.106,0.13,0.147,0.083,0.059
"P07","Todos los días",0.502,0.413,0.274,0.201,0.196,0.137
"P07","Hasta 5 veces por semana",0.145,0.192,0.12,0.08,0.063,0.093
"P07","Entre 4 y 1 vez por semana",0.077,0.046,0.175,0.117,0.094,0.133
"P07","Ocasionalmente/ A veces",0.071,0.213,0.215,0.268,0.18,0.21
"P07","Nunca",0.205,0.136,0.216,0.334,0.467,0.427
"P08","Menos de 30 minutos por día",0.516,0.316,0.327,0.433,0.458,0.415
"P08","Entre 30 minutos y 1 hora por día",0.187,0.394,0.312,0.272,0.239,0.253
"P08","Entre 1 y 2 horas por día",0.091,0.168,0.25,0.159,0.146,0.214
"P08","Más de 2 horas por día",0.206,0.122,0.111,0.136,0.157,0.118
"P09","Todos los días",0.622,0.194,0.044,0.059,0.049,0.024
"P09","Hasta 5 veces por semana",0.084,0.317,0.088,0.043,0.035,0.024
"P09","Entre 4 y 1 vez por semana",0.062,0.11,0.435,0.064,0.036,0.039
"P09","Ocasionalmente/ A veces",0.152,0.126,0.212,0.413,0.174,0.161
"P09","Nunca",0.08,0.253,0.221,0.421,0.706,0.752
"P11","Taxis tradicionales",0.52,0.198,0.16,0.159,0.203,0.21
"P11","Aplicaciones de transporte",0.283,0.61,0.559,0.415,0.211,0.214
"P11","No tengo preferencia por ninguna",0.157,0.081,0.248,0.297,0.285,0.499
"P11","No existen servicios de aplicaciones donde vivo",0.04,0.111,0.033,0.129,0.301,0.077
"P12","Más de 5000 pesos mensuales",0.704,0.487,0.4,0.262,0.313,0.185
"P12","Entre 5000 y 2500 pesos mensuales",0.156,0.384,0.299,0.319,0.204,0.232
"P12","Menos de 2500 pesos mensuales",0.14,0.129,0.301,0.419,0.483,0.583
"P13","Muy caro",0.594,0.43,0.275,0.274,0.358,0.212
"P13","Caro",0.129,0.256,0.225,0.233,0.205,0.213
"P13","Ni caro ni barato",0.098,0.249,0.398,0.347,0.269,0.313
"P13","Barato",0.058,0.046,0.069,0.073,0.037,0.081
"P13","Muy barato",0.072,0.004,0.017,0.034,0.035,0.059
"P13","No sabe",0.049,0.015,0.016,0.039,0.096,0.122
"P14","Sí, han aumentado significativamente",0.637,0.555,0.469,0.451,0.442,0.372
"P14","Sí, han aumentado ligeramente",0.19,0.236,0.315,0.289,0.222,0.301
"P14","No, se han mantenido iguales",0.059,0.168,0.181,0.134,0.144,0.094
"P14","No sabe",0.114,0.041,0.035,0.126,0.192,0.233
"P15","Muy buena",0.299,0.195,0.16,0.113,0.113,0.132
"P15","Buena",0.137,0.247,0.27,0.255,0.168,0.244
"P15","Ni buena ni mala",0.199,0.241,0.305,0.316,0.327,0.26
"P15","Mala",0.191,0.222,0.196,0.213,0.226,0.244
"P15","Muy mala",0.174,0.095,0.069,0.103,0.166,0.12
"P16","Falta de mantenimiento de estaciones y vehículos",0.404,0.291,0.264,0.207,0.218,0.133
"P16","Insuficiente cantidad de paradas/estaciones",0.116,0.142,0.098,0.079,0.074,0.049
"P16","Escasez de señalización",0.06,0.12,0.088,0.084,0.082,0.038
"P16","Insuficiencia en los horarios",0.172,0.183,0.325,0.322,0.321,0.361
