"var","categoria","A Gustavo Menendez por el Frente de Todos","A David Zencich por Juntos por el Cambio","A Pablo Cocuzza por Juntos por el Cambio","Al candidato de Javier Milei","A Cristian Franco por el Frente de Izquierda","A otro candidato"
"P09","A Gustavo Menendez por el Frente de Todos",0.815,0.144,0.245,0,0.009,0.069
"P09","A David Zencich por Juntos por el Cambio",0.056,0.679,0.366,0.047,0.048,0.203
"P09","Al candidato de Javier Milei",0.052,0.097,0.323,0.79,0.086,0.042
"P09","A Cristian Franco por el Frente de Izquierda",0.018,0.023,0.015,0.13,0.395,0.048
"P09","A otro candidato",0.059,0.057,0.051,0.033,0.462,0.638
"P11","A Gustavo Menendez por el Frente de Todos",0.812,0.191,0.192,0.07,0.034,0.149
"P11","A Pablo Cocuzza por Juntos por el Cambio",0.098,0.467,0.502,0.025,0.037,0.103
"P11","Al candidato de Javier Milei",0.036,0.168,0.28,0.768,0.077,0.023
"P11","A Cristian Franco por el Frente de Izquierda",0.006,0.043,0.02,0.079,0.637,0.063
"P11","A otro candidato",0.048,0.131,0.006,0.058,0.215,0.662
"P13","Muy buena",0.388,0.095,0.269,0.066,0,0.017
"P13","Buena",0.385,0.127,0.122,0.03,0.067,0.039
"P13","Ni buena ni mala",0.162,0.175,0.167,0.214,0.239,0.197
"P13","Mala",0.009,0.211,0.208,0.138,0.273,0.277
"P13","Muy mala",0.029,0.378,0.226,0.552,0.421,0.338
"P13","No sabe",0.027,0.014,0.008,0,0,0.132
"P14","Muy buena",0.116,0.331,0.136,0.071,0.011,0.01
"P14","Buena",0.077,0.276,0.143,0.109,0.023,0.019
"P14","Ni buena ni mala",0.304,0.272,0.475,0.439,0.413,0.258
"P14","Mala",0.163,0.029,0.156,0.066,0.215,0.189
"P14","Muy mala",0.113,0.065,0.037,0.161,0.249,0.226
"P14","No sabe",0.227,0.027,0.053,0.154,0.089,0.298
"P15","Muy buena",0.343,0.145,0.109,0.014,0,0.015
"P15","Buena",0.305,0.05,0.072,0.039,0.023,0.068
"P15","Ni buena ni mala",0.225,0.169,0.335,0.16,0.359,0.313
"P15","Mala",0.01,0.197,0.192,0.241,0.093,0.156
"P15","Muy mala",0.032,0.403,0.23,0.492,0.481,0.281
"P15","No sabe",0.085,0.036,0.062,0.054,0.044,0.167
"P16","Muy buena",0.057,0.16,0.129,0.08,0,0.01
"P16","Buena",0.059,0.115,0.141,0.099,0,0.018
"P16","Ni buena ni mala",0.353,0.348,0.482,0.391,0.229,0.347
"P16","Mala",0.138,0.071,0.131,0.134,0.095,0.114
"P16","Muy mala",0.156,0.124,0.065,0.108,0.569,0.205
"P16","No sabe",0.237,0.182,0.052,0.188,0.107,0.306
"P17","Muy buena",0.088,0.094,0.26,0.026,0.034,0.045
"P17","Buena",0.066,0.219,0.088,0.119,0.019,0.105
"P17","Ni buena ni mala",0.306,0.201,0.258,0.164,0.193,0.216
"P17","Mala",0.212,0.153,0.198,0.271,0.221,0.151
"P17","Muy mala",0.219,0.264,0.155,0.381,0.485,0.331
"P17","No sabe",0.109,0.069,0.041,0.039,0.048,0.152
"P18","Muy buena",0.082,0.269,0.209,0.029,0.079,0.006
"P18","Buena",0.042,0.09,0.163,0.074,0.011,0.04
"P18","Ni buena ni mala",0.401,0.306,0.377,0.331,0.359,0.379
"P18","Mala",0.111,0.139,0.124,0.079,0.116,0.051
"P18","Muy mala",0.112,0.072,0.036,0.154,0.153,0.142
"P18","No sabe",0.252,0.124,0.091,0.333,0.282,0.382
"P19","Muy buena",0.061,0.13,0.184,0,0.044,0.063
"P19","Buena",0.082,0.062,0.029,0.038,0.03,0.021
"P19","Ni buena ni mala",0.426,0.349,0.561,0.365,0.458,0.373
"P19","Mala",0.093,0.079,0.072,0.075,0.053,0.032
"P19","Muy mala",0.1,0.077,0.011,0.143,0.062,0.109
"P19","No sabe",0.238,0.303,0.143,0.379,0.353,0.402
"P20","Muy buena",0.044,0.021,0.053,0,0.031,0.007
"P20","Buena",0.018,0.056,0.097,0,0.025,0.01
"P20","Ni buena ni mala",0.478,0.337,0.541,0.385,0.49,0.414
"P20","Mala",0.094,0.086,0.104,0.053,0.054,0.016
"P20","Muy mala",0.067,0.072,0.018,0.089,0.055,0.105
"P20","No sabe",0.299,0.428,0.187,0.473,0.345,0.448
"P21","La seguridad",0.052,0.043,0.081,0.072,0.051,0.045
"P21","El tránsito",0.012,0.071,0.135,0.102,0,0.015
"P21","El arreglo de las calles",0.289,0.187,0.122,0.068,0.109,0.109
"P21","Los parques y espacios públicos",0.309,0.156,0.144,0.103,0.119,0.268
"P21","El sistema de salud",0.054,0.062,0.008,0.006,0.045,0.037
"P21","La limpieza de las calles",0.089,0.133,0.09,0.071,0.181,0.067
"P21","El deporte y la cultura",0.068,0.014,0,0.075,0.149,0.091
"P21","La luminaria",0.008,0.027,0.067,0.037,0,0.061
"P21","No sabe",0.119,0.307,0.353,0.466,0.346,0.307
"P22","La seguridad",0.345,0.554,0.711,0.525,0.268,0.406
"P22","El tránsito",0.026,0.021,0.033,0.054,0.118,0.048
"P22","El arreglo de las calles",0.303,0.101,0.071,0.112,0.2,0.181
"P22","Los parques y espacios públicos",0.021,0.055,0,0.011,0,0.014
"P22","El sistema de salud",0.086,0.126,0.08,0.029,0.25,0.245
"P22","La limpieza de las calles",0.079,0.057,0.016,0.045,0.022,0.02
"P22","El deporte y la cultura",0.019,0.002,0,0.026,0.08,0
"P22","La luminaria",0.032,0.003,0.044,0,0.012,0.028
"P22","No sabe",0.089,0.081,0.045,0.198,0.05,0.058
"P23","Agua corriente y cloacas",0.558,0.511,0.6,0.409,0.535,0.656
"P23","Energía eléctrica",0.037,0.161,0.062,0.171,0.123,0.03
"P23","Red de gas natural",0.168,0.113,0.211,0.072,0.101,0.029
"P23","Recolección de residuos",0.079,0.073,0.075,0.182,0.186,0.091
"P23","Ninguno",0.158,0.142,0.052,0.166,0.055,0.194
"P24","Los robos",0.54,0.451,0.434,0.516,0.537,0.499
"P24","El narcotráfico",0.102,0.24,0.132,0.094,0.077,0.184
"P24","La ausencia de patrulleros y personal policial",0.225,0.227,0.335,0.219,0.276,0.226
"P24","Otro",0.066,0.034,0.087,0.171,0.104,0.091
"P24","Ninguno",0.067,0.048,0.012,0,0.006,0
"P25","Muy buena",0.291,0.065,0.161,0.082,0.044,0.014
"P25","Buena",0.252,0.157,0.036,0.027,0.183,0.21
"P25","Ni buena ni mala",0.242,0.24,0.22,0.197,0.358,0.394
"P25","Mala",0.04,0.25,0.381,0.401,0.249,0.148
"P25","Muy mala",0.105,0.18,0.077,0.278,0.103,0.138
"P25","No sabe",0.07,0.108,0.125,0.015,0.063,0.096
"P26","Muy buena",0.195,0.019,0.028,0.048,0.007,0.025
"P26","Buena",0.273,0.15,0.143,0.041,0.207,0.16
"P26","Ni buena ni mala",0.318,0.355,0.209,0.352,0.245,0.404
"P26","Mala",0.063,0.235,0.494,0.432,0.383,0.2
"P26","Muy mala",0.104,0.222,0.073,0.117,0.138,0.168
"P26","No sabe",0.047,0.019,0.053,0.01,0.02,0.043
"P27","Frente de Todos y el peronismo",0.743,0.116,0.054,0.084,0.252,0.341
"P27","Cambiemos",0.13,0.578,0.489,0.093,0,0.084
"P27","Liberales",0.069,0.195,0.264,0.633,0.063,0.05
"P27","Izquierda",0.008,0.058,0.013,0.092,0.52,0.132
"P27","No sabe",0.05,0.053,0.18,0.098,0.165,0.393
"P29","A Alberto Fernández",0.327,0.118,0.048,0.16,0.283,0.071
"P29","A Sergio Massa",0.17,0.664,0.936,0,0.094,0.039
"P29","A algún candidato del peronismo",0.209,0.03,0,0.84,0.027,0.157
"P29","A algún candidato del kirchnerismo",0.294,0.188,0.016,0,0.596,0.733
"P30","A Alberto Fernández",0.33,0.112,0.05,0.489,0.288,0.008
"P30","A Sergio Massa",0.129,0.518,0.934,0,0.552,0.032
"P30","A algún candidato del peronismo",0.178,0,0,0.347,0,0.16
"P30","A Cristina Fernández de Kirchner",0.363,0.37,0.016,0.164,0.16,0.8
"P31","A Horacio Rodriguez Larreta",0.442,0.387,0.28,0.53,0,0.292
"P31","A Mauricio Macri",0.484,0.207,0.397,0,0,0.641
"P31","A Patricia Bullrich",0.013,0.356,0.279,0.068,0,0.067
"P31","A Facundo Manes",0,0.048,0,0.402,0,0
"P31","A Martín Lousteau",0.061,0.002,0.044,0,0,0
"P32","Seguro lo votaria",0.586,0.248,0.145,0.937,0,0
"P32","Quizás lo votaría",0.019,0.339,0.45,0.049,0,0
"P32","Nunca lo votaría",0.395,0.413,0.405,0.014,0,1
"P33","Muy buena",0.199,0.06,0.127,0.045,0.025,0.048
"P33","Buena",0.203,0.082,0.08,0.004,0.123,0.172
"P33","Ni buena ni mala",0.34,0.132,0.136,0.296,0.149,0.26
"P33","Mala",0.14,0.33,0.209,0.104,0.234,0.229
"P33","Muy mala",0.098,0.396,0.448,0.526,0.458,0.266
"P33","No sabe",0.02,0,0,0.025,0.011,0.025
"P34","Muy buena",0.023,0.257,0.112,0.158,0,0.005
"P34","Buena",0.079,0.249,0.262,0.152,0.107,0.064
"P34","Ni buena ni mala",0.083,0.169,0.161,0.314,0.043,0.078
"P34","Mala",0.272,0.189,0.4,0.095,0.084,0.15
"P34","Muy mala",0.506,0.133,0.065,0.281,0.755,0.62
"P34","No sabe",0.037,0.003,0,0,0.011,0.083
"P35","Muy buena",0.583,0.153,0.247,0.08,0.188,0.406
"P35","Buena",0.14,0.031,0.116,0.033,0.295,0.072
"P35","Ni buena ni mala",0.118,0.03,0.019,0.107,0.226,0.199
"P35","Mala",0.003,0.161,0.197,0.088,0.042,0.098
"P35","Muy mala",0.15,0.625,0.421,0.687,0.249,0.196
