"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P07","A Gustavo Menendez por el Frente de Todos",0.346,0.218,0.298,0.265,0.601
"P07","A David Zencich por Juntos por el Cambio",0.233,0.414,0.243,0.111,0.35
"P07","A Pablo Cocuzza por Juntos por el Cambio",0.095,0.097,0.153,0.121,0.038
"P07","Al candidato de Javier Milei",0.132,0.081,0.116,0.275,0
"P07","A Cristian Franco por el Frente de Izquierda",0.065,0.031,0.069,0.079,0.011
"P07","A otro candidato",0.129,0.159,0.121,0.149,0
"P09","A Gustavo Menendez por el Frente de Todos",0.39,0.203,0.298,0.297,0.592
"P09","A David Zencich por Juntos por el Cambio",0.223,0.435,0.212,0.218,0.348
"P09","Al candidato de Javier Milei",0.186,0.199,0.225,0.276,0.049
"P09","A Cristian Franco por el Frente de Izquierda",0.055,0.034,0.074,0.063,0
"P09","A otro candidato",0.146,0.129,0.191,0.146,0.011
"P11","A Gustavo Menendez por el Frente de Todos",0.356,0.305,0.271,0.294,0.783
"P11","A Pablo Cocuzza por Juntos por el Cambio",0.198,0.319,0.265,0.237,0.157
"P11","Al candidato de Javier Milei",0.217,0.129,0.191,0.276,0.04
"P11","A Cristian Franco por el Frente de Izquierda",0.068,0.08,0.077,0.063,0.009
"P11","A otro candidato",0.161,0.167,0.196,0.13,0.011
"P13","Muy buena",0.137,0.216,0.131,0.226,0.546
"P13","Buena",0.224,0.123,0.227,0.065,0.086
"P13","Ni buena ni mala",0.176,0.139,0.175,0.253,0.039
"P13","Mala",0.155,0.122,0.239,0.031,0
"P13","Muy mala",0.293,0.362,0.205,0.409,0.328
"P13","No sabe",0.015,0.038,0.023,0.016,0.001
"P14","Muy buena",0.104,0.196,0.174,0.136,0.349
"P14","Buena",0.161,0.164,0.086,0.095,0
"P14","Ni buena ni mala",0.294,0.353,0.315,0.45,0.44
"P14","Mala",0.139,0.082,0.202,0.038,0.012
"P14","Muy mala",0.154,0.118,0.068,0.167,0.08
"P14","No sabe",0.148,0.087,0.155,0.114,0.119
"P15","Muy buena",0.131,0.221,0.104,0.149,0.583
"P15","Buena",0.142,0.106,0.104,0.09,0.333
"P15","Ni buena ni mala",0.25,0.164,0.243,0.3,0.064
"P15","Mala",0.148,0.102,0.205,0.137,0.001
"P15","Muy mala",0.269,0.358,0.255,0.309,0.019
"P15","No sabe",0.06,0.049,0.089,0.015,0
"P16","Muy buena",0.054,0.113,0.154,0.015,0
"P16","Buena",0.087,0.106,0.043,0.133,0
"P16","Ni buena ni mala",0.394,0.296,0.361,0.31,0.107
"P16","Mala",0.136,0.11,0.151,0.244,0.041
"P16","Muy mala",0.153,0.233,0.119,0.107,0.076
"P16","No sabe",0.176,0.142,0.172,0.191,0.776
"P17","Muy buena",0.134,0.081,0.063,0.015,0
"P17","Buena",0.084,0.234,0.17,0.088,0.002
"P17","Ni buena ni mala",0.303,0.098,0.247,0.221,0.157
"P17","Mala",0.19,0.226,0.193,0.25,0
"P17","Muy mala",0.208,0.319,0.296,0.309,0.509
"P17","No sabe",0.081,0.042,0.031,0.117,0.332
"P18","Muy buena",0.128,0.239,0.075,0.036,0.31
"P18","Buena",0.051,0.128,0.055,0.093,0.011
"P18","Ni buena ni mala",0.448,0.246,0.313,0.374,0.169
"P18","Mala",0.055,0.158,0.209,0.165,0.022
"P18","Muy mala",0.087,0.104,0.107,0.08,0.082
"P18","No sabe",0.231,0.125,0.241,0.252,0.406
"P19","Muy buena",0.072,0.19,0.111,0.039,0.01
"P19","Buena",0.041,0.077,0.082,0.15,0
"P19","Ni buena ni mala",0.503,0.258,0.36,0.421,0.183
"P19","Mala",0.039,0.099,0.116,0.066,0
"P19","Muy mala",0.077,0.092,0.049,0.023,0.056
"P19","No sabe",0.268,0.284,0.282,0.301,0.751
"P20","Muy buena",0.048,0.04,0.003,0.009,0.01
"P20","Buena",0.025,0.076,0.067,0,0
"P20","Ni buena ni mala",0.488,0.292,0.378,0.533,0.183
"P20","Mala",0.025,0.084,0.161,0.042,0
"P20","Muy mala",0.058,0.102,0.063,0.017,0.056
"P20","No sabe",0.356,0.406,0.328,0.399,0.751
"P21","La seguridad",0.05,0.039,0.06,0.028,0.014
"P21","El tránsito",0.017,0.123,0.06,0.154,0
"P21","El arreglo de las calles",0.21,0.22,0.153,0.091,0.15
"P21","Los parques y espacios públicos",0.241,0.162,0.197,0.251,0.063
"P21","El sistema de salud",0.03,0.042,0.096,0,0.011
"P21","La limpieza de las calles",0.106,0.111,0.108,0.004,0.086
"P21","El deporte y la cultura",0.072,0.023,0.071,0.028,0
"P21","La luminaria",0.042,0.032,0.008,0.04,0
"P21","No sabe",0.232,0.248,0.247,0.404,0.676
"P22","La seguridad",0.519,0.483,0.404,0.428,0.126
"P22","El tránsito",0.033,0.014,0.053,0.084,0
"P22","El arreglo de las calles",0.161,0.268,0.186,0.122,0.323
"P22","Los parques y espacios públicos",0.017,0.083,0.008,0.01,0
"P22","El sistema de salud",0.101,0.057,0.202,0.082,0.122
"P22","La limpieza de las calles",0.062,0.046,0.042,0.047,0
"P22","El deporte y la cultura",0.019,0,0.014,0.023,0
"P22","La luminaria",0.012,0.04,0.011,0.072,0.022
"P22","No sabe",0.076,0.009,0.08,0.132,0.407
"P23","Agua corriente y cloacas",0.579,0.535,0.532,0.537,0.334
"P23","Energía eléctrica",0.076,0.284,0.023,0.097,0
"P23","Red de gas natural",0.104,0.104,0.195,0.037,0
"P23","Recolección de residuos",0.101,0.048,0.134,0.117,0
"P23","Ninguno",0.14,0.029,0.116,0.212,0.666
"P25","Muy buena",0.208,0.082,0.04,0.15,0.124
"P25","Buena",0.151,0.19,0.226,0.116,0
"P25","Ni buena ni mala",0.307,0.231,0.272,0.066,0.101
"P25","Mala",0.15,0.266,0.214,0.321,0.319
"P25","Muy mala",0.132,0.13,0.139,0.221,0.32
"P25","No sabe",0.052,0.101,0.109,0.126,0.136
"P26","Muy buena",0.091,0.046,0.042,0.12,0.219
"P26","Buena",0.162,0.187,0.241,0.154,0.038
"P26","Ni buena ni mala",0.395,0.339,0.229,0.294,0.084
"P26","Mala",0.202,0.244,0.302,0.198,0.333
"P26","Muy mala",0.11,0.174,0.165,0.143,0.326
"P26","No sabe",0.04,0.01,0.021,0.091,0
"P27","Frente de Todos y el peronismo",0.358,0.264,0.346,0.316,0.609
"P27","Cambiemos",0.255,0.337,0.232,0.296,0.296
"P27","Liberales",0.224,0.192,0.14,0.154,0.042
"P27","Izquierda",0.071,0.067,0.119,0.073,0
"P27","No sabe",0.092,0.14,0.163,0.161,0.053
"P29","A Alberto Fernández",0.245,0.378,0.012,0.626,0.474
"P29","A Sergio Massa",0.187,0.234,0.321,0.016,0.064
"P29","A algún candidato del peronismo",0.311,0.283,0.092,0.016,0.028
"P29","A algún candidato del kirchnerismo",0.257,0.105,0.575,0.342,0.434
"P30","A Alberto Fernández",0.321,0.406,0.013,0.324,0.464
"P30","A Sergio Massa",0.228,0.193,0.191,0.016,0
"P30","A algún candidato del peronismo",0.21,0.191,0.069,0.016,0
"P30","A Cristina Fernández de Kirchner",0.241,0.21,0.727,0.644,0.536
"P31","A Horacio Rodriguez Larreta",0.347,0.65,0.297,0.249,0
"P31","A Mauricio Macri",0.238,0.026,0.587,0.02,1
"P31","A Patricia Bullrich",0.319,0.324,0.097,0.461,0
"P31","A Facundo Manes",0.066,0,0.015,0.27,0
"P31","A Martín Lousteau",0.03,0,0.004,0,0
