"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.105,0.048,0.161,0.126,0.104,0.093,0.088,0,0.183,0.088,0.112,0.074,0.049,0.013,0.184,0,0,0,6
"Buena",0.148,0.14,0.155,0.025,0.201,0.146,0.241,0.052,0.18,0.182,0.1,0.245,0,0.108,0.202,0,0,0,6
"Ni buena ni mala",0.227,0.221,0.233,0.519,0.096,0.138,0.177,0.183,0.318,0.142,0.032,0.365,0,0.231,0.253,0,0,0,6
"Mala",0.294,0.331,0.259,0.219,0.357,0.176,0.451,0.38,0.284,0.239,0.558,0.124,0.771,0.28,0.186,0,0,0,6
"Muy mala",0.226,0.26,0.192,0.111,0.242,0.447,0.043,0.385,0.035,0.349,0.198,0.192,0.18,0.368,0.175,0,0,0,6
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.253,0.188,0.316,0.151,0.305,0.239,0.329,0.052,0.363,0.27,0.212,0.319,0.049,0.121,0.386,0,0,0,4
"Neutra",0.227,0.221,0.233,0.519,0.096,0.138,0.177,0.183,0.318,0.142,0.032,0.365,0,0.231,0.253,0,0,0,4
"Negativa",0.52,0.591,0.451,0.33,0.599,0.623,0.494,0.765,0.319,0.588,0.756,0.316,0.951,0.648,0.361,0,0,0,4
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
